delta,psi,objective,z_total,max_u,max_dual,tail_scenarios,Price_max,Price_min,PV,Wind_Onshore,Wind_Offshore,Gas,Gas_CCS,Nuclear,BESS_P,BESS_E,Duration,H2_P,H2_E,Duration_H2
1,0.5,1.09E+10,24.42869569,6102.496309,1.35E-09,"Tuple{Int64, Float64}[]",20299.97356,1.000152174,59.28838695,44.99988457,92.99789286,7.999983871,36.95886712,5.999989244,9.977650914,158.560887,15.89160499,19.21539902,4030.955432,209.7773473
0.9,0.5,1.09E+10,1.09E+10,9.00E+06,-4.88E-07,"Tuple{Int64, Float64}[]",20299.76472,1.001031748,60.84475123,44.99984898,93.10573903,7.999978859,37.04718359,5.99998584,9.758750662,155.7444117,15.95946214,19.31977138,4067.492761,210.5352429
0.8,0.5,1.09E+10,1.09E+10,8.65E+06,-6.05E-07,"Tuple{Int64, Float64}[]",20299.62289,1.001468525,62.78707814,44.99992253,93.25276851,7.999989103,37.02488966,5.999992652,9.503176676,152.0117212,15.99588499,19.51088594,4105.244416,210.4078938
0.7,0.5,1.09E+10,1.09E+10,8.35E+06,-1.63E-07,"Tuple{Int64, Float64}[]",20299.81487,1.000534822,64.06039852,44.99987037,93.51716626,7.999981904,37.11307806,5.999987926,9.310708916,149.4895918,16.05566162,19.58971865,4115.887978,210.1044967
0.6,0.5,1.09E+10,1.09E+10,8.05E+06,-1.65E-06,"Tuple{Int64, Float64}[]",20299.36035,1.00419293,66.04015236,44.99983725,93.95656728,7.999977073,36.97463475,5.999984516,9.281322666,148.5236609,16.00242403,19.76935034,4161.430641,210.4991094
0.5,0.5,1.09E+10,1.09E+10,7.79E+06,-1.10E-06,"Tuple{Int64, Float64}[]",20299.73391,1.002575379,68.06940228,44.99972926,94.14045691,7.999962139,36.95266681,5.999974682,9.090314679,145.7742628,16.03621744,19.92543202,4183.204136,209.9429579
0.4,0.5,1.09E+10,1.09E+10,7.52E+06,-2.05E-06,"Tuple{Int64, Float64}[]",20299.68703,1.001991751,70.2588883,44.99973401,94.37000791,7.999962862,36.8209029,5.999975209,8.970864688,143.9568848,16.0471582,20.13869337,4226.914198,209.890191
0.3,0.5,1.09E+10,1.09E+10,7.30E+06,-5.27E-06,"Tuple{Int64, Float64}[]",20299.56075,1.003145861,71.68158635,44.99958065,94.65526749,7.999941078,36.68424626,5.999960339,8.999594469,142.9537286,15.88446336,20.34392126,4270.726338,209.9264092
0.2,0.5,1.09E+10,1.09E+10,7.10E+06,-2.64E-05,"Tuple{Int64, Float64}[]",20299.16561,1.003959786,72.95442936,44.99934056,95.10906499,7.999907219,36.4398811,5.999937459,9.055219614,142.8928945,15.78016885,20.60024227,4335.214123,210.4448126
0.1,0.5,1.09E+10,1.09E+10,6.91E+06,-0.000109463,"Tuple{Int64, Float64}[]",20298.60475,1.005693692,74.24316264,44.99897936,95.48929872,7.999857178,36.1819431,5.999904119,9.186025768,143.3616029,15.60648821,20.81716493,4401.100487,211.4169006
