Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
H2,1,10,-414.0283954775618,-0.0011711709244376187,-1.1524595792846733e-5
H2,1,12,-0.001342699537442421,-0.001434120362769212,-5.242630734426182e-5
H2,1,14,-2.019781258900431,-0.0012082771023853777,-2.9527355316640213e-5
H2,1,17,-0.0015258634453298278,-0.001179784594547701,-3.112900989347584e-5
H2,1,18,-0.0011719421547062689,-76.18450516315131,-0.00010711888425287932
H2,1,21,-0.002849834505571404,-0.0011853767930171569,-2.437354118534759e-5
H2,1,22,-0.001190651818948512,-0.0023226631347890475,-9.479728477173855e-5
H2,1,23,-0.0026835399819886588,-0.0011734999405807387,-3.474650484036194e-5
H2,1,24,-0.0011904351544532832,-0.9653201653592676,-8.181134755488521e-5
H2,1,27,-0.0011725964734971349,-0.0011727908019284886,-5.275821669536126e-5
H2,1,29,-0.006286072553127044,-0.0011903912702115897,-1.5419006862253613e-5
H2,1,2,-0.001240814702581897,-0.0015335821715899407,-5.637588659348836e-5
H2,1,6,-0.0011748772505071482,-0.04383757130271304,-0.00018386075860593005
H2,1,7,-0.0012570580949690508,-0.001426419707427438,-5.46217790518517e-5
H2,1,8,-0.0014530366919060776,-0.0012599344396145313,-4.8371519392644665e-5
H2,2,10,-0.002617967656551855,-0.0011761699571647855,-8.443185668327396e-6
H2,2,12,-0.0013302839836888732,-0.0015710420724135384,-5.289787163398139e-5
H2,2,14,-3.939183802854373,-0.0011946388067598996,-1.2900034510819543e-5
H2,2,17,-168.55072956608439,-0.0011722123029386672,-1.7443212485792005e-5
H2,2,18,-0.0011918010241528752,-0.0011770349396949059,-0.00010499991033480206
H2,2,21,-0.0012270895708502289,-0.001237266206254181,-2.3949910455813067e-5
H2,2,22,-0.001202391042466353,-0.0019040957721441199,-0.00013453799128162151
H2,2,23,-0.002306406288970636,-0.0011771334909322284,-3.0093624900591957e-5
H2,2,24,-0.0011854587609097804,-0.0012040269320138415,-7.836337190655215e-5
H2,2,27,-0.002037104740353977,-0.001172417709724401,-3.587840431787026e-5
H2,2,29,-0.0011937683655334067,-0.009005779708277706,-2.0422119149961617e-5
H2,2,2,-0.0012788794634135123,-0.0016882075884245861,-5.887252961667225e-5
H2,2,6,-0.0011800200853542295,-0.007932112212734313,-7.252817557004624
H2,2,7,-0.0012303326321834395,-0.002968051131674203,-6.96347086115614e-5
H2,2,8,-0.0011836928489306435,-0.013553318821753842,-0.00010219122082984773
H2,3,10,-0.00117939689143398,-0.002958955140836238,-9.001950047381896e-6
H2,3,12,-0.001227389475276233,-0.0013875841127239995,-5.427657506214623e-5
H2,3,14,-2.7086674540080624,-0.0011958257621905992,-9.550420878035152e-6
H2,3,17,-0.0020534094344105123,-0.00119255739500621,-1.4970010729334925e-5
H2,3,18,-0.00463047666160835,-0.0011721099831213707,-3.330288111834917e-5
H2,3,21,-0.00764029172954617,-0.0011975413765490336,-1.7225870676285198e-5
H2,3,22,-0.0012068081656161197,-0.0029991812332180166,-0.0002486061603650061
H2,3,23,-0.0012823590657128515,-0.0011725572193522903,-2.7562236606283893e-5
H2,3,24,-466.6746425461759,-0.0011713510866478759,-1.205020818057367e-5
H2,3,27,-0.003825217974223488,-0.0011721514813003294,-2.2432622236241124e-5
H2,3,29,-0.001219822447627611,-0.001513444093249839,-2.102627634195547e-5
H2,3,2,-0.0012332442837362223,-0.0017108553960279585,-6.454112793005977e-5
H2,3,6,-0.00134487224370727,-0.0011709955996231584,-6.898214254066537e-5
H2,3,7,-0.0012398950684921577,-0.0018344603573952041,-7.877108099727466e-5
H2,3,8,-0.0011972138155315522,-0.0022374280806706226,-0.0001381452767311289
H2,4,10,-0.001178161881473568,-3.6673457057310865,-9.931915879236056e-6
H2,4,12,-0.00124753957375268,-0.0014050254121968267,-5.538009189196068e-5
H2,4,14,-0.0012178727254252705,-0.0014751476281957346,-9.628204687010466e-6
H2,4,17,-0.0013354435530150365,-0.0012182709343311706,-1.430616948298183e-5
H2,4,18,-0.00195191189456574,-0.0011736258267823713,-2.676034614282419e-5
H2,4,21,-0.0011858807075314254,-1.2225106340852907,-2.0846885946752463e-5
H2,4,22,-0.0011958411521431483,-0.0016528750687764165,-0.0004468174379422207
H2,4,23,-0.0011748250177062635,-23.72849644017223,-3.0491377064386726e-5
H2,4,24,-0.0016059547501008995,-0.0011885700113584583,-1.0908736349609393e-5
H2,4,27,-0.0011757433600140842,-0.001174286703676235,-2.2391000205190533e-5
H2,4,29,-0.0015661815571787975,-0.0012146634369820382,-1.8240159114257836e-5
H2,4,2,-0.0011895417544054666,-0.0016039695723473507,-8.166122879928978e-5
