Time,Scenario,Unserved_demand
1,10,0.0003325268142901905
1,12,0.0003103530800174781
1,14,0.00028976755286436173
1,17,0.0003266062696312133
1,18,0.0003504807773282437
1,21,0.00035402950618390605
1,22,0.00035512605295906496
1,23,0.0003404546252099294
1,24,0.0002991189733947408
1,27,0.0003388426220212182
1,29,0.00031999306209229417
1,2,0.0003254842247315537
1,6,0.00038072776754205506
1,7,0.00031707425048921323
1,8,0.00030545469556386706
2,10,0.00038304541450884244
2,12,0.0003609559010087082
2,14,0.00032292720059956537
2,17,0.00045200058563921175
2,18,0.0004163134573929028
2,21,0.0003418720646450879
2,22,0.00046970339751339907
2,23,0.00040440445140177417
2,24,0.00037984692126258324
2,27,0.0003066802679612124
2,29,0.0003608287925445097
2,2,0.00044329614884475177
2,6,0.0003702673066356965
2,7,0.00038610758412715995
2,8,0.0003284386242654591
3,10,0.00044758401307376516
3,12,0.0003539208178295894
3,14,0.0003993417214473993
3,17,0.0003359203134891686
3,18,0.0003658755156834559
3,21,0.0004906491358980247
3,22,0.00036691016017442735
3,23,0.00036133039119334853
3,24,0.00035998027368577823
3,27,0.0004270587660215597
3,29,0.0004835217021366134
3,2,0.00034778219244202546
3,6,0.00039163930613028697
3,7,0.0003317689515540678
3,8,0.00030224779332854723
4,10,0.0003420268972718077
4,12,0.00046079157475276133
4,14,0.00029574641105512
4,17,0.0004620355343547544
4,18,0.0004340340029074241
4,21,0.0003722282041636049
4,22,0.0004892435064505207
4,23,0.0004377391403238562
4,24,0.00047455631455761704
4,27,0.00031733310116521807
4,29,0.00040386982652051984
4,2,0.00041858884573287014
4,6,0.0005139440789463379
4,7,0.00037773079954206423
4,8,0.00039595133721093134
5,10,0.0004501114942456752
5,12,0.00034102834899840673
5,14,0.0003832457657182431
5,17,0.00037517499161054957
5,18,0.00036476576570265706
5,21,0.0005063689217195133
5,22,0.00039204011679316864
5,23,0.000390734650181912
5,24,0.00034933496126399177
5,27,0.0003869301448276019
5,29,0.0005133796219496389
5,2,0.00036424418035352346
5,6,0.00043639134582917904
5,7,0.0005076331246840482
5,8,0.00031980033217848813
6,10,0.0003640016664476775
6,12,0.0004568537231506298
6,14,0.00031591020634635925
6,17,0.00036897538080893355
6,18,0.00039183181991120364
6,21,0.0003779165935284823
6,22,0.0003417229890629869
6,23,0.00038813849050711724
6,24,0.0004671672699885221
6,27,0.0003364542297319417
6,29,0.0003849668534741113
6,2,0.0004698832354250726
6,6,0.0005185478254077225
6,7,0.00040747346221792213
6,8,0.0004590009792195815
7,10,0.0004942812613535352
7,12,0.00034256505874452614
7,14,0.0004659311884580575
7,17,0.00041133102595836135
7,18,0.0005027071686782847
7,21,0.00037751431901966725
7,22,0.0004510764074012741
7,23,0.0005096297930009541
7,24,0.0003372790719069485
7,27,0.00048228549916018437
7,29,0.0004768251558857628
7,2,0.0004255527069148002
7,6,0.0004344276622560983
7,7,0.00048630819189554586
7,8,0.00034488797832921136
8,10,0.0003757592119910669
8,12,0.00045611002713030757
8,14,0.0003280967975740623
8,17,0.0004888585104936283
8,18,0.00044001757399314556
8,21,0.0003947685048188987
8,22,0.00037881994236954597
8,23,0.0004015698225643405
8,24,0.0004751091153707421
8,27,0.00034321161900408015
8,29,0.0003942614436596159
8,2,0.000361398404002955
8,6,0.0005435416128705128
8,7,0.00040583054224896387
8,8,0.000475458251088412
9,10,0.0004989956962617725
9,12,0.00034331007697119276
9,14,0.00047563901962632826
9,17,0.00036900907286252504
9,18,0.00045529866314097944
9,21,0.0005384464413822343
9,22,0.000524709881489116
9,23,0.0005000148855742736
9,24,0.00034247711500512423
