Time,Scenario,generator,dispatch
1,10,Nuclear,5.399999986729287
1,12,Nuclear,3.0000004888380434
1,14,Nuclear,3.0000006567957693
1,17,Nuclear,4.800000035350729
1,18,Nuclear,4.8000001896143285
1,21,Nuclear,3.0000000728088123
1,22,Nuclear,3.000000132724643
1,23,Nuclear,5.399999992750744
1,24,Nuclear,4.20000015936514
1,27,Nuclear,5.399999980153968
1,29,Nuclear,3.000000037005098
1,2,Nuclear,3.0000000615310007
1,6,Nuclear,4.200000073213684
1,7,Nuclear,3.000000070248274
1,8,Nuclear,3.00000065380389
2,10,Nuclear,4.800000148357741
2,12,Nuclear,3.000000749983507
2,14,Nuclear,3.0000002328520727
2,17,Nuclear,5.399999989284186
2,18,Nuclear,5.399999934886278
2,21,Nuclear,3.000000106493612
2,22,Nuclear,3.0000006878300227
2,23,Nuclear,5.399999985514602
2,24,Nuclear,4.800000017616682
2,27,Nuclear,5.399999977678621
2,29,Nuclear,3.000000039360916
2,2,Nuclear,3.000000139630692
2,6,Nuclear,4.800000028618748
2,7,Nuclear,3.0000000892966097
2,8,Nuclear,3.000000618750104
3,10,Nuclear,4.200000306072795
3,12,Nuclear,3.000000198737744
3,14,Nuclear,3.0000004962974454
3,17,Nuclear,4.80000000479657
3,18,Nuclear,5.399999983238205
3,21,Nuclear,3.000000151879167
3,22,Nuclear,3.6000003239363467
3,23,Nuclear,5.399999995864536
3,24,Nuclear,5.399999992494365
3,27,Nuclear,5.399999979388628
3,29,Nuclear,3.0000000701469762
3,2,Nuclear,3.0000000892287186
3,6,Nuclear,5.39999999892378
3,7,Nuclear,3.000000108848296
3,8,Nuclear,3.6000003160804455
4,10,Nuclear,3.6000005439153906
4,12,Nuclear,3.0000003010120055
4,14,Nuclear,3.000000326229949
4,17,Nuclear,4.200000022277633
4,18,Nuclear,5.399999971479866
4,21,Nuclear,3.0000000704501497
4,22,Nuclear,4.200000133917474
4,23,Nuclear,4.800000045377957
4,24,Nuclear,4.80000004227467
4,27,Nuclear,5.399999962186133
4,29,Nuclear,3.000000069373283
4,2,Nuclear,3.00000002816177
4,6,Nuclear,5.399999994820372
4,7,Nuclear,3.000000041071484
4,8,Nuclear,4.2000001437630825
5,10,Nuclear,3.0000012443822963
5,12,Nuclear,3.000000429243244
5,14,Nuclear,3.000000233406125
5,17,Nuclear,3.600000042800385
5,18,Nuclear,4.8000004169363475
5,21,Nuclear,3.000000168542231
5,22,Nuclear,4.800000020551675
5,23,Nuclear,4.200000104692438
5,24,Nuclear,4.200000112211512
5,27,Nuclear,5.39999999254703
5,29,Nuclear,3.0000000981717356
5,2,Nuclear,3.0000000817796004
5,6,Nuclear,5.399999982081538
5,7,Nuclear,3.0000001005954813
5,8,Nuclear,4.800000033898656
6,10,Nuclear,3.600000562682729
6,12,Nuclear,3.0000002628608295
6,14,Nuclear,3.000000749387524
6,17,Nuclear,3.00000008549293
6,18,Nuclear,4.800000058891548
6,21,Nuclear,3.000000126825639
6,22,Nuclear,5.399999954906797
6,23,Nuclear,4.800000037062989
6,24,Nuclear,3.600000229360053
6,27,Nuclear,5.399999921723574
6,29,Nuclear,3.000000122400792
6,2,Nuclear,3.0000000820139383
6,6,Nuclear,4.800000082801508
6,7,Nuclear,3.000000065384005
6,8,Nuclear,5.399999940739961
7,10,Nuclear,4.200000275427969
7,12,Nuclear,3.0000004289345927
7,14,Nuclear,3.000000406574363
7,17,Nuclear,3.0000000503681488
7,18,Nuclear,5.399999970239382
7,21,Nuclear,3.000000036513307
7,22,Nuclear,5.399999980841811
7,23,Nuclear,5.3999999930013605
7,24,Nuclear,3.0000007252523866
7,27,Nuclear,5.399999978605081
7,29,Nuclear,3.000000061557633
7,2,Nuclear,3.0000001945547576
7,6,Nuclear,4.800000155103041
7,7,Nuclear,3.000000100574611
7,8,Nuclear,4.8000000583768205
8,10,Nuclear,4.800000111705015
8,12,Nuclear,3.0000002628795372
8,14,Nuclear,3.000000430982673
8,17,Nuclear,3.0000000983766335
8,18,Nuclear,5.399999997363361
8,21,Nuclear,3.000000046964768
8,22,Nuclear,5.399999921598274
8,23,Nuclear,5.399999990348785
8,24,Nuclear,3.0000001661961413
8,27,Nuclear,5.39999997025858
8,29,Nuclear,3.000000089388632
8,2,Nuclear,3.0000000665821758
8,6,Nuclear,5.399999988961929
8,7,Nuclear,3.000000037109684
8,8,Nuclear,4.200000220762014
9,10,Nuclear,5.399999977984806
9,12,Nuclear,3.000000428819358
9,14,Nuclear,3.0000002816659777
9,17,Nuclear,3.000000083721955
9,18,Nuclear,5.39999999312304
9,21,Nuclear,3.0000002424238206
9,22,Nuclear,5.3999999305045225
9,23,Nuclear,5.399999995165593
9,24,Nuclear,3.000000512324824
9,27,Nuclear,5.399999982132117
9,29,Nuclear,3.000000168936273
9,2,Nuclear,3.0000001089963972
9,6,Nuclear,5.399999997097557
9,7,Nuclear,3.0000001087016686
9,8,Nuclear,3.6000006061718404
10,10,Nuclear,4.800000310921064
10,12,Nuclear,3.0000002467711138
10,14,Nuclear,3.0000004379446508
10,17,Nuclear,3.000000254999343
10,18,Nuclear,5.399999977686541
10,21,Nuclear,3.0000001387879753
10,22,Nuclear,4.80000107135758
10,23,Nuclear,5.399999998724993
10,24,Nuclear,3.6000002144097842
10,27,Nuclear,5.399999970259954
10,29,Nuclear,3.000000242383867
10,2,Nuclear,3.0000001090456836
10,6,Nuclear,5.399999994568301
10,7,Nuclear,3.0000000923194894
10,8,Nuclear,3.6000003063469466
11,10,Nuclear,4.200000639230797
11,12,Nuclear,3.0000003897050256
11,14,Nuclear,3.000000430710879
11,17,Nuclear,3.6000001174301035
11,18,Nuclear,5.3999999888259
11,21,Nuclear,3.000000120605431
11,22,Nuclear,5.399999944954888
11,23,Nuclear,5.399999994820923
11,24,Nuclear,4.20000011302054
11,27,Nuclear,5.399999980858536
11,29,Nuclear,3.0000000428804365
11,2,Nuclear,3.0000000771176296
11,6,Nuclear,5.399999998089288
11,7,Nuclear,3.0000000351835725
11,8,Nuclear,4.200000183396049
12,10,Nuclear,3.6000009550161614
12,12,Nuclear,3.0000004881728093
12,14,Nuclear,3.000000316609369
12,17,Nuclear,4.200000056294526
12,18,Nuclear,5.399999957231627
12,21,Nuclear,3.000000204892462
12,22,Nuclear,5.399999913000745
12,23,Nuclear,5.39999999874692
12,24,Nuclear,4.800000043919135
12,27,Nuclear,5.39999997322619
12,29,Nuclear,3.000000061391599
12,2,Nuclear,3.308911478024993
12,6,Nuclear,5.399999997864954
12,7,Nuclear,3.000000061684926
12,8,Nuclear,4.800000079870171
13,10,Nuclear,3.000001610970681
13,12,Nuclear,3.000000768933644
13,14,Nuclear,3.000000355232402
13,17,Nuclear,4.800000022107834
13,18,Nuclear,4.800000280166983
13,21,Nuclear,3.600000104768437
13,22,Nuclear,5.399999983239524
13,23,Nuclear,5.399999997670321
13,24,Nuclear,5.399999994567186
13,27,Nuclear,5.39999998213185
13,29,Nuclear,3.0000000365092494
13,2,Nuclear,3.0000001028819665
13,6,Nuclear,5.399999997864942
13,7,Nuclear,3.0000000793477044
13,8,Nuclear,5.399999995541545
14,10,Nuclear,3.0000005254682436
14,12,Nuclear,3.000000618781183
14,14,Nuclear,3.0000004297609846
14,17,Nuclear,5.3999999942205275
14,18,Nuclear,5.399999961112516
14,21,Nuclear,4.200000049363188
14,22,Nuclear,5.3999999665680924
14,23,Nuclear,4.800000036916649
14,24,Nuclear,4.80000003713685
14,27,Nuclear,5.399999970246705
14,29,Nuclear,3.000000194139189
14,2,Nuclear,3.0000001521000543
14,6,Nuclear,5.399999996784814
14,7,Nuclear,3.0000001941214087
14,8,Nuclear,4.800000423675653
15,10,Nuclear,3.5999895253013805
15,12,Nuclear,3.0000002087933835
15,14,Nuclear,3.000000249136552
15,17,Nuclear,4.800000009122919
15,18,Nuclear,5.399999953794827
15,21,Nuclear,4.800000017979108
15,22,Nuclear,5.399999999401881
15,23,Nuclear,4.2000001138920435
15,24,Nuclear,4.200000089976402
15,27,Nuclear,5.3999999575309845
15,29,Nuclear,3.0000000519477963
15,2,Nuclear,3.0000001091987105
15,6,Nuclear,4.800000162283407
15,7,Nuclear,3.000000015649269
15,8,Nuclear,4.200001105863194
16,10,Nuclear,3.599990317130584
16,12,Nuclear,3.0000003010077747
16,14,Nuclear,3.000000246702574
16,17,Nuclear,4.200000025144027
16,18,Nuclear,5.399999980855312
16,21,Nuclear,5.399999993121762
16,22,Nuclear,5.39999983381557
16,23,Nuclear,3.6000001883443873
16,24,Nuclear,3.600000169389333
16,27,Nuclear,4.800000056170704
16,29,Nuclear,3.000000194603785
16,2,Nuclear,3.0000000955188413
16,6,Nuclear,5.399999993735443
16,7,Nuclear,3.0000000517510403
16,8,Nuclear,4.800000322456809
17,10,Nuclear,3.000000510920583
17,12,Nuclear,3.0000003898912775
17,14,Nuclear,3.0000006322002504
17,17,Nuclear,3.600000093153262
17,18,Nuclear,5.399999973229894
17,21,Nuclear,4.800000039876073
17,22,Nuclear,4.800000013784609
17,23,Nuclear,3.0000003325102313
17,24,Nuclear,3.0000003283122116
17,27,Nuclear,4.200000172399879
17,29,Nuclear,3.0000001228243214
17,2,Nuclear,3.0000001224975774
17,6,Nuclear,5.399999998228809
17,7,Nuclear,3.0000000851256337
17,8,Nuclear,5.399999943446588
18,10,Nuclear,3.00000054776439
18,12,Nuclear,3.000000482084321
18,14,Nuclear,3.000000389217244
18,17,Nuclear,3.6000002174864605
18,18,Nuclear,5.399999989278535
18,21,Nuclear,4.200000104655404
18,22,Nuclear,4.200000324201933
18,23,Nuclear,3.0000001697953333
18,24,Nuclear,3.0000001962615426
18,27,Nuclear,3.6000003523571658
18,29,Nuclear,3.000000028544363
18,2,Nuclear,3.0000000724081826
18,6,Nuclear,5.3999999934709635
18,7,Nuclear,3.6000000450446348
18,8,Nuclear,5.399999902025278
19,10,Nuclear,3.000000458022459
19,12,Nuclear,3.0000002638902163
19,14,Nuclear,3.000000164856784
19,17,Nuclear,4.20000008615125
19,18,Nuclear,5.399999973230489
19,21,Nuclear,3.600000263852705
19,22,Nuclear,4.800000039819095
19,23,Nuclear,3.000000124068961
19,24,Nuclear,3.000000108794508
19,27,Nuclear,3.0000023354826393
19,29,Nuclear,3.000000108986926
19,2,Nuclear,3.0000001202288384
19,6,Nuclear,5.399999989648768
19,7,Nuclear,4.200000015635542
19,8,Nuclear,5.399999918248958
20,10,Nuclear,3.000000391626043
20,12,Nuclear,3.0000004357310264
20,14,Nuclear,3.0000002612934376
20,17,Nuclear,4.800000041432695
20,18,Nuclear,5.399999980861973
20,21,Nuclear,4.200000061178557
20,22,Nuclear,5.3999999544463035
20,23,Nuclear,3.0000001171253388
20,24,Nuclear,3.0000001951768573
20,27,Nuclear,3.6000009070705903
20,29,Nuclear,3.000000168814359
20,2,Nuclear,3.000000168940289
20,6,Nuclear,5.399999995467248
20,7,Nuclear,4.799999997884265
20,8,Nuclear,4.800000063194659
21,10,Nuclear,3.0000004063048924
21,12,Nuclear,3.000000806401521
21,14,Nuclear,3.0000004287167306
21,17,Nuclear,5.399999996169216
21,18,Nuclear,5.399999982634598
21,21,Nuclear,4.80000001991128
21,22,Nuclear,5.399999961342782
21,23,Nuclear,3.0000000302022034
21,24,Nuclear,3.000000115845159
21,27,Nuclear,3.0000019233291813
21,29,Nuclear,3.6000000628643383
21,2,Nuclear,3.000000168541957
21,6,Nuclear,5.399999990941357
21,7,Nuclear,5.399999982780934
21,8,Nuclear,4.200000249229145
22,10,Nuclear,3.0000006743051397
22,12,Nuclear,3.60000039512593
22,14,Nuclear,3.000000262840426
22,17,Nuclear,5.399999990941067
22,18,Nuclear,5.399999987738127
22,21,Nuclear,5.399999994056891
22,22,Nuclear,5.399999917121072
22,23,Nuclear,3.0000001085371104
22,24,Nuclear,3.0000001738560353
22,27,Nuclear,3.6000005784408335
22,29,Nuclear,4.200000034105042
22,2,Nuclear,3.0000000365448107
22,6,Nuclear,5.399999994933116
22,7,Nuclear,5.399999989942196
22,8,Nuclear,3.6000005733316764
23,10,Nuclear,3.0000013316257963
23,12,Nuclear,4.200000192970421
23,14,Nuclear,3.000000429165715
23,17,Nuclear,5.399999995962809
23,18,Nuclear,5.399999998727712
23,21,Nuclear,5.399999976102237
23,22,Nuclear,5.399999968591532
23,23,Nuclear,3.0000000229233827
23,24,Nuclear,3.0000001239639853
23,27,Nuclear,4.200000273374413
23,29,Nuclear,4.8000000123363655
23,2,Nuclear,3.000000081802105
23,6,Nuclear,4.800000037801753
23,7,Nuclear,4.800000015851505
23,8,Nuclear,3.600000525204537
24,10,Nuclear,3.0000002829312487
24,12,Nuclear,4.800000082077762
24,14,Nuclear,3.000000281097914
24,17,Nuclear,5.3999999879949865
24,18,Nuclear,5.399999997495937
24,21,Nuclear,5.399999986539666
