Storage,Scenario,dualcvarstorage
BESS,10,0.07999999999627691
BESS,12,5.678286273947529e-13
BESS,14,1.1096434136905412e-12
BESS,17,2.9323354792793492e-12
BESS,18,0.07999999999741791
BESS,21,0.07999999999811301
BESS,22,9.565811421786468e-12
BESS,23,0.040000007770618524
BESS,24,2.5984734547587106e-12
BESS,27,1.0585575215134087e-12
BESS,29,0.0799999999977707
BESS,2,0.07999999999915042
BESS,6,0.07999999999931437
BESS,7,2.4043180373315505e-12
BESS,8,0.07999999999721627
H2,10,0.07999999999826236
H2,12,9.178387120885561e-14
H2,14,2.0352955892726778e-13
H2,17,0.04000000160935184
H2,18,2.945680602218519e-12
H2,21,0.07999999999976007
H2,22,2.2586581362862951e-13
H2,23,0.07999999999949828
H2,24,7.729516016478169e-13
H2,27,5.345165643156199e-14
H2,29,0.07999999999968119
H2,2,0.07999999999977594
H2,6,0.0799999999998043
H2,7,0.07999999999891781
H2,8,6.314418190982116e-13
