Time,Scenario,Residual
1,10,0.0005477105554296813
1,12,-4.213803043651154e-5
1,14,0.001828278524440563
1,17,6.37006409940355e-5
1,18,-1.4530672356016794e-5
1,21,0.00019439513729757607
1,22,-1.341089286555075e-5
1,23,-7.674180286265653e-5
1,24,-9.715830298606676e-5
1,27,-0.0005162336825437208
1,29,0.003648343363122919
1,2,8.487682697388976e-5
1,6,-5.7456252458898405e-5
1,7,-0.00017058004484216127
1,8,-0.0012705947352626978
2,10,-0.0013354447205848885
2,12,-4.569191549741447e-5
2,14,0.004061948405652771
2,17,2.844080550268302e-5
2,18,0.0006012576808060999
2,21,0.0003594798171748792
2,22,-1.0598390007388048e-5
2,23,-2.6407164116726278e-5
2,24,-0.00020530944285024333
2,27,-0.00035630038995826396
2,29,0.0005350426430243971
2,2,7.657360592627782e-5
2,6,-6.583643164681519e-5
2,7,0.00018570612638946216
2,8,-0.00032537100520713125
3,10,-0.00011723635974547619
3,12,-6.210261090178193e-5
3,14,0.00189343965816402
3,17,7.40001542487434e-5
3,18,-0.00043945382920274056
3,21,-0.0006371051619442625
3,22,-1.0347018860379364e-5
3,23,-6.634599789379081e-5
3,24,-0.00037325412550259784
3,27,-0.0003489621978935986
3,29,0.0005360126154094758
3,2,7.582389415539126e-5
3,6,-0.00010437313849109842
3,7,0.0001868515307466012
3,8,-0.00033789931538485973
4,10,-1.139557208329478e-5
4,12,-5.121372446836858e-5
4,14,-0.0001486225559022003
4,17,7.924703621320361e-5
4,18,-0.00043548155536043964
4,21,-0.000176821144889594
4,22,-1.2787260457614025e-5
4,23,0.00021166394456528792
4,24,-0.00019773652886989623
4,27,-0.0007303837089009946
4,29,0.0038633607806746184
4,2,7.798876543319011e-5
4,6,-0.00010379243396307913
4,7,0.00018388494920529297
4,8,-0.0003271365351658062
5,10,-6.186284204900971e-6
5,12,-6.094468525219554e-5
5,14,-0.00012708945020545315
5,17,-5.9515415928856896e-5
5,18,0.00016944732062551537
5,21,0.0004946135521741724
5,22,-1.7985367020578735e-5
5,23,-1.2906239499343997e-5
5,24,0.07920847000621212
5,27,-0.00034316447122240135
5,29,0.0005701086032736669
5,2,7.548809352897479e-5
5,6,-0.00017333158573062946
5,7,0.001021616854893992
5,8,-0.001604559902270708
6,10,-7.414582202436293e-6
6,12,-4.150866213059601e-5
6,14,-0.0001327110005870935
6,17,0.000145236522605785
6,18,3.949101797839916e-5
6,21,-0.000797383921538497
6,22,0.0005887044009265097
6,23,0.0001518941486944314
6,24,-0.0001581562022110461
6,27,-0.0005336403095670406
6,29,0.0005771761015385124
6,2,9.211033816480807e-5
6,6,-7.53086459557295e-5
6,7,0.0014515088513853414
6,8,-0.0002158045557489885
7,10,-0.00011042631150104398
7,12,-6.10112639609639e-5
7,14,0.0001471194284068389
7,17,0.0004190575755220749
7,18,-0.00019280854216496834
7,21,6.157769884040931e-5
7,22,-0.0010915266600557416
7,23,-0.000499701914272066
7,24,-0.00023197389920781575
7,27,0.0007143536007436779
7,29,0.0005740695212761437
7,2,8.730437687898274e-5
7,6,-8.053819553399677e-5
7,7,0.001097649680081858
7,8,-0.00033965502372268475
8,10,-0.00011969777002285298
8,12,-5.415668626618242e-5
8,14,0.0003566080307857433
8,17,0.00015496985303364852
8,18,0.0012872388337701324
8,21,5.499126195740445e-5
8,22,0.0005697947124243541
8,23,0.0016312405635083849
8,24,-0.00021173662404549987
8,27,0.0001516324070740538
8,29,0.0005683823731352788
8,2,-0.00010356237310116256
8,6,-0.00031068302845227436
8,7,0.0011536892262213883
8,8,-0.0003276085406156426
9,10,-0.00018370333933326322
9,12,-4.4199406293188304e-5
9,14,-0.00047622088124299466
9,17,0.00014696242564493645
9,18,-0.00020277465312545928
9,21,0.00019284200421765263
9,22,-5.350051416641577e-5
9,23,-2.6043493322802647e-5
9,24,-0.0007159972603218989
9,27,-0.0003687786275978766
9,29,0.0001791455487083482
9,2,8.218863503017815e-5
9,6,-0.00042372420534597666
9,7,0.00017595862167496534
9,8,-0.0003192446864277443
10,10,-0.0008178329986918698
10,12,-5.765672671209643e-5
10,14,1.4709494931430811e-5
10,17,0.00015771377477769022
10,18,-0.00020830819232653397
10,21,8.870818980710737e-6
10,22,-0.0001854090152484389
10,23,-2.2550165972745617e-5
10,24,-0.00018584159486856322
10,27,0.00010630303129932628
10,29,0.0005786503119624697
10,2,0.00013402487902869353
10,6,0.0004854475034239414
10,7,0.000996626704914405
10,8,-0.00031538235612149634
11,10,-0.0008072847807767403
11,12,-6.0826372196842726e-5
11,14,0.0001653444101492596
11,17,-0.0001680448531722334
11,18,-0.0002062809288840839
11,21,-0.00046583040503112016
11,22,-0.00033486650123037975
11,23,-0.0005978867975340307
11,24,-0.000715716526404897
11,27,-0.00037052165733442166
11,29,0.0005869765285968498
11,2,3.315949470028556e-5
11,6,-5.9916209139920795e-5
11,7,0.00010590828453338474
11,8,-0.00033558160406599313
12,10,-0.0006467522354745014
12,12,-3.805044311544492e-5
12,14,1.8145014860415642e-5
12,17,8.089457426763147e-5
12,18,0.00034227931012509316
12,21,-0.00044680459235557635
12,22,-0.0013016361108979524
12,23,-2.0111971386960192e-5
12,24,-0.00019669325078019995
12,27,0.00017506046873361214
12,29,0.000587391167216289
12,2,-0.0005299648862955308
12,6,-0.00012169363031233615
12,7,0.0011139801584949538
12,8,-9.196016764967396e-6
13,10,-0.0021202920785992063
13,12,-2.5314094003192622e-5
13,14,-0.0004239450452541149
13,17,2.1605736552743338e-5
13,18,3.230925084807268e-6
13,21,-0.0001746001285320986
13,22,-0.0004101947645622772
13,23,6.343656880858362e-5
13,24,-0.00031376644503211537
13,27,0.00015374842626059149
13,29,0.0005863654879005864
13,2,3.963335462309203e-5
13,6,-4.5116762285246637e-5
13,7,0.0011962385776875806
13,8,-0.0004641572988619558
14,10,-0.00035663623298543
14,12,3.2261790190446504e-6
14,14,0.00016052822167633707
14,17,-7.237302942542101e-5
