Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
BESS,1,10,-5.263779813235575e-7,-4.166597677946008e-7,-2.7044958134769025e-8
BESS,1,12,-4.155894110170623e-7,-5.883209763466641e-7,-7.53738716241531e-8
BESS,1,14,-5.597498447407573e-7,-4.182440639044456e-7,-4.094073320888844e-8
BESS,1,17,-4.169551562374292e-7,-5.28978217365374e-7,-3.2461398481034387e-7
BESS,1,18,-4.163144684461908e-7,-9.411757898388859e-7,-16.261915514120307
BESS,1,21,-4.282181944814901e-7,-4.175292226422273e-7,-5.032753769596972e-8
BESS,1,22,-4.170703725472446e-7,-4.2017875065022316e-7,-5.5466505001742645e-8
BESS,1,23,-6.89769501191653e-7,-4.1670118235519566e-7,-3.4712516663370415e-8
BESS,1,24,-4.1627247172648356e-7,-1.7232369931282168e-6,-0.23165689162307332
BESS,1,27,-4.1668146428380714e-7,-6.929806473973785e-7,-2.1626240571036974
BESS,1,29,-5.458195494365078e-7,-4.1738770322231607e-7,-2.710362753507013e-8
BESS,1,2,-4.170307284050648e-7,-4.1922775864388337e-7,-5.458556848147431e-8
BESS,1,6,-4.16729083758775e-7,-5.784229319097614e-7,-2.0348398290772832e-7
BESS,1,7,-4.1622602571500444e-7,-4.16744167370413e-7,-5.420763545086156e-8
BESS,1,8,-0.7484943834078538,-4.173918603146585e-7,-2.9347420326010322e-8
BESS,2,10,-4.1688321372709157e-7,-4.1699599558869676e-7,-2.7050016239993523e-8
BESS,2,12,-4.1273663074056893e-7,-4.236948261695069e-7,-7.714912357186209e-8
BESS,2,14,-4.176900327504412e-7,-4.7686510756768e-7,-5.591373562354915e-8
BESS,2,17,-122.81336028963636,-4.166506601792804e-7,-2.7027539398785194e-8
BESS,2,18,-4.16894094770081e-7,-4.166856563656796e-7,-6.0533269486143346e-5
BESS,2,21,-4.1707106336992e-7,-4.179240125308365e-7,-5.046747044021206e-8
BESS,2,22,-4.168875666425433e-7,-4.448486622228968e-7,-6.31951573724408e-8
BESS,2,23,-6.871176581385763e-7,-4.167546982700093e-7,-2.9465879221847238e-8
BESS,2,24,-4.1689441885343827e-7,-4.1709259382462926e-7,-8.713343747353097
BESS,2,27,-4.898762668463353e-7,-4.166932318335832e-7,-2.1484803374322663e-7
BESS,2,29,-4.169954442160302e-7,-1.0622813168419774e-6,-2.9660028890390786e-7
BESS,2,2,-4.154005289152594e-7,-4.1802108057364743e-7,-5.488379310835147e-8
BESS,2,6,-4.16368236261803e-7,-5.221061731240436e-7,-16.261186979543414
BESS,2,7,-4.161645445414434e-7,-4.838330284002225e-7,-6.652161868382662e-8
BESS,2,8,-4.1683232913586476e-7,-8.09345167916549e-7,-7.275242119232482e-8
BESS,3,10,-4.1724145332344665e-7,-4.1771992132878514e-7,-2.70611498320174e-8
BESS,3,12,-4.170890040401097e-7,-4.1832818346807394e-7,-7.787103150809354e-8
BESS,3,14,-1.066488864667656e-6,-4.175010711460073e-7,-2.709195938349287e-8
BESS,3,17,-4.173102037008419e-7,-4.181875906294587e-7,-2.704161318006839e-8
BESS,3,18,-1.1256897602108115e-6,-4.1666801955362317e-7,-3.804607352729309e-8
BESS,3,21,-1.1303881507323242e-6,-4.173679634882564e-7,-2.7585099870505084e-8
BESS,3,22,-4.1636886558828045e-7,-5.969229739806223e-7,-1.0950754267122153e-7
BESS,3,23,-4.4387050528368165e-7,-4.1667865029279983e-7,-2.7045166511602985e-8
BESS,3,24,-6.872526410789644e-7,-4.1666484847855173e-7,-2.7045144077608e-8
BESS,3,27,-1.486670858138896e-6,-4.16688129086794e-7,-3.440642217208114e-8
BESS,3,29,-4.172269322252217e-7,-4.682850818520116e-7,-0.11428090457711788
BESS,3,2,-4.16568931082947e-7,-4.187783480565089e-7,-5.524798475430858e-8
BESS,3,6,-4.421405196374877e-7,-4.1665611362166046e-7,-9.534459259253611e-8
BESS,3,7,-4.1589608939228066e-7,-6.067443168205825e-7,-1.1446137388011836e-7
BESS,3,8,-4.16540804321363e-7,-4.749790034175295e-7,-9.062811277957031e-8
BESS,4,10,-4.165830599040273e-7,-4.935113312156525e-6,-6.788870384201027e-8
BESS,4,12,-4.162754234362271e-7,-4.230787079921595e-7,-8.078991069828884e-8
BESS,4,14,-4.165537790551432e-7,-4.7185356178262804e-7,-2.9573434844971993e-8
BESS,4,17,-4.1759875740937745e-7,-4.1837285288349123e-7,-2.7063528995029686e-8
BESS,4,18,-7.060790548650251e-7,-4.1667767610682916e-7,-2.7044967230453076e-8
BESS,4,21,-4.171917603957327e-7,-4.9650669758728405,-1.8484967910847762e-7
BESS,4,22,-4.163833100404659e-7,-4.266514358262355e-7,-1.1902329409836768e-7
BESS,4,23,-4.1661736194860505e-7,-4.180009457384505e-7,-2.705454449967044e-8
BESS,4,24,-4.172503734080036e-7,-4.178454346493862e-7,-2.705167604424642e-8
