Y,worst_sustained_deficit_s1_MWh,worst_sustained_deficit_s3_MWh,non_helpfulness_ratio_3x_over_1x,longest_highDemand_lowVRE_run_h,frac_hours_deficit_at_3x,sumW
27,-178.84946114399997,-576.4514611440001,3.2231098570830774,79,0.0,8760
6,-210.232635773,-666.5434357729999,3.170504110008281,63,0.0,8760
29,-219.687758042,-695.960558042,3.1679532999381506,42,0.0,8760
14,-223.91248568500004,-709.1996850910001,3.1673074546270237,71,0.0,8760
10,-231.262922186,-729.069122186,3.152555175285631,86,0.0,8760
8,-242.10447175432262,-762.4742526503227,3.149360468761596,82,0.0,8760
7,-242.35181799660003,-763.5373763886001,3.150532901727448,38,0.0,8760
12,-246.83669523537498,-776.2301959193749,3.1447115072673175,121,0.0,8760
17,-254.97146699624992,-801.3342419962497,3.142838888757613,20,0.0,8760
18,-256.984873113,-802.3403231130001,3.1221305495414176,170,0.0,8760
22,-263.871918553,-824.384718121,3.1241851070959727,109,0.0,8760
24,-278.4390633484375,-873.5316637084375,3.1372453750084652,26,0.0,8760
23,-285.6209291890286,-895.3370870290287,3.134704062388981,144,0.0,8760
21,-288.1973048912432,-896.1392274992434,3.1094642881567824,38,0.0,8760
2,-297.761500877,-929.291500805,3.1209256336734907,34,0.0,8760
5,-301.80493245016214,-935.1321099061622,3.0984652978250495,54,0.0,8760
25,-304.7524502032,-950.9423684752,3.120376449292729,84,0.0,8760
26,-315.6738743875,-981.7107712195001,3.1098891953837393,64,0.0,8760
15,-319.43185360099994,-990.4502536009999,3.1006621363480704,39,0.0,8760
16,-331.8397677659999,-1032.8515681979998,3.112500877017964,62,0.0,8760
30,-340.73265435345456,-1056.5828370094546,3.100914524959275,64,0.0,8760
28,-346.44470384349995,-1073.5027290234998,3.098626467996271,108,0.0,8760
4,-351.643330866,-1087.348330866,3.0921909657471813,17,0.0,8760
9,-353.8711896658909,-1091.874857201891,3.0855149814142124,110,0.0,8760
13,-365.28268063175756,-1134.8784606477575,3.1068499023498415,112,0.0,8760
3,-369.37158587174997,-1135.3521358717499,3.073739776694764,32,0.0,8760
19,-393.93439603505465,-1219.745599491055,3.096316573954641,111,0.0,8760
20,-394.929328175,-1216.0047299030002,3.0790438773573343,62,0.0,8760
1,-416.2902507310001,-1283.4344171470002,3.083027803068627,87,0.0,8760
11,-441.37015284200004,-1349.27575151,3.05701629986762,124,0.0,8760
