Time,Scenario,generator,dispatch
1,10,Nuclear,5.399999953534894
1,12,Nuclear,3.0000020050227527
1,14,Nuclear,3.0000025190883473
1,17,Nuclear,4.800000083965364
1,18,Nuclear,4.800000785724634
1,21,Nuclear,3.0000001733182424
1,22,Nuclear,3.000000568198874
1,23,Nuclear,5.399999982824004
1,24,Nuclear,4.200000412119751
1,27,Nuclear,5.399999929870048
1,29,Nuclear,3.000000088144933
1,2,Nuclear,3.00000014646043
1,6,Nuclear,4.200000173889179
1,7,Nuclear,3.0000001670998793
1,8,Nuclear,3.0000026383244904
2,10,Nuclear,4.800000598453287
2,12,Nuclear,3.0000028688804594
2,14,Nuclear,3.000001002527868
2,17,Nuclear,5.399999974711153
2,18,Nuclear,5.399999777321393
2,21,Nuclear,3.000000253407833
2,22,Nuclear,3.0000027029860714
2,23,Nuclear,5.399999965684415
2,24,Nuclear,4.800000046260792
2,27,Nuclear,5.399999915741815
2,29,Nuclear,3.0000000936458893
2,2,Nuclear,3.0000003308126986
2,6,Nuclear,4.8000000679435
2,7,Nuclear,3.00000021230717
2,8,Nuclear,3.000002553861871
3,10,Nuclear,4.200001239234527
3,12,Nuclear,3.000000851146942
3,14,Nuclear,3.0000019356190957
3,17,Nuclear,4.800000011619386
3,18,Nuclear,5.399999936640044
3,21,Nuclear,3.0000003599061973
3,22,Nuclear,3.6000012985788037
3,23,Nuclear,5.399999990166655
3,24,Nuclear,5.399999981015826
3,27,Nuclear,5.399999922155758
3,29,Nuclear,3.0000001667137868
3,2,Nuclear,3.0000002120781555
3,6,Nuclear,5.3999999974492185
3,7,Nuclear,3.000000258302126
3,8,Nuclear,3.600001350437473
4,10,Nuclear,3.6000022008004913
4,12,Nuclear,3.000001239170145
4,14,Nuclear,3.000001343268259
4,17,Nuclear,4.2000000532372725
4,18,Nuclear,5.399999892064523
4,21,Nuclear,3.0000001675595964
4,22,Nuclear,4.200000537645359
4,23,Nuclear,4.800000102554827
4,24,Nuclear,4.800000109907515
4,27,Nuclear,5.399999866698158
4,29,Nuclear,3.0000001482276875
4,2,Nuclear,3.0000000670167326
4,6,Nuclear,5.399999987726373
4,7,Nuclear,3.0000000977772956
4,8,Nuclear,4.200000648208127
5,10,Nuclear,3.0000049326879137
5,12,Nuclear,3.0000017012452727
5,14,Nuclear,3.000000996513979
5,17,Nuclear,3.6000001020831625
5,18,Nuclear,4.800001609101118
5,21,Nuclear,3.000000285287381
5,22,Nuclear,4.800000076746247
5,23,Nuclear,4.200000236305394
5,24,Nuclear,4.2000002912885055
5,27,Nuclear,5.399999971820834
5,29,Nuclear,3.0000002332872593
5,2,Nuclear,3.000000194307917
5,6,Nuclear,5.399999935369578
5,7,Nuclear,3.0000002390839313
5,8,Nuclear,4.800000197276745
6,10,Nuclear,3.600002273548292
6,12,Nuclear,3.000001110009294
6,14,Nuclear,3.0000028616062306
6,17,Nuclear,3.0000002035181494
6,18,Nuclear,4.800000254583708
6,21,Nuclear,3.0000003008016014
6,22,Nuclear,5.399999808946623
6,23,Nuclear,4.800000065661087
6,24,Nuclear,3.600000594347673
6,27,Nuclear,5.399999711000313
6,29,Nuclear,3.0000002903906022
6,2,Nuclear,3.000000195264341
6,6,Nuclear,4.800000173218297
6,7,Nuclear,3.0000001558444565
6,8,Nuclear,5.399999817675039
7,10,Nuclear,4.200001119993276
7,12,Nuclear,3.0000016948954236
7,14,Nuclear,3.0000016846711204
7,17,Nuclear,3.0000001201038597
7,18,Nuclear,5.399999890923542
7,21,Nuclear,3.0000000868801235
7,22,Nuclear,5.399999927524821
7,23,Nuclear,5.399999975019014
7,24,Nuclear,3.0000018347894466
7,27,Nuclear,5.399999919244777
7,29,Nuclear,3.0000001465424626
7,2,Nuclear,3.0000004590534304
7,6,Nuclear,4.800000362439827
7,7,Nuclear,3.0000002390259044
7,8,Nuclear,4.800000289468045
8,10,Nuclear,4.800000455185023
8,12,Nuclear,3.000001109622333
8,14,Nuclear,3.000001735913057
8,17,Nuclear,3.0000002338761043
8,18,Nuclear,5.3999999905835505
8,21,Nuclear,3.0000001118276916
8,22,Nuclear,5.399999674324951
8,23,Nuclear,5.399999968525327
8,24,Nuclear,3.0000004405023772
8,27,Nuclear,5.3999998878362465
8,29,Nuclear,3.0000002127049425
8,2,Nuclear,3.0000001587011424
8,6,Nuclear,5.399999973835453
8,7,Nuclear,3.0000000884319205
8,8,Nuclear,4.200000941486874
9,10,Nuclear,5.399999917433779
9,12,Nuclear,3.0000016906897216
9,14,Nuclear,3.00000118784825
9,17,Nuclear,3.0000001998077885
9,18,Nuclear,5.399999974009978
9,21,Nuclear,3.0000005699996897
9,22,Nuclear,5.3999997069928956
9,23,Nuclear,5.399999990639466
9,24,Nuclear,3.0000013132968713
9,27,Nuclear,5.399999932498353
9,29,Nuclear,3.00000040091444
9,2,Nuclear,3.0000002588832553
9,6,Nuclear,5.3999999931218685
9,7,Nuclear,3.000000188517958
9,8,Nuclear,3.6000024286526764
10,10,Nuclear,4.800001211650866
10,12,Nuclear,3.00000104237479
10,14,Nuclear,3.000001757050672
10,17,Nuclear,3.000000600418459
10,18,Nuclear,5.399999915807325
10,21,Nuclear,3.0000003304032057
10,22,Nuclear,4.800004202238304
10,23,Nuclear,5.399999997529513
10,24,Nuclear,3.600000556049393
10,27,Nuclear,5.3999998878499404
10,29,Nuclear,3.0000005701978107
10,2,Nuclear,3.000000258964918
10,6,Nuclear,5.399999987130347
10,7,Nuclear,3.0000002194314663
10,8,Nuclear,3.6000012716080785
11,10,Nuclear,4.200002498082706
11,12,Nuclear,3.000001593997429
11,14,Nuclear,3.000001737483735
11,17,Nuclear,3.6000002747791613
11,18,Nuclear,5.399999957766763
11,21,Nuclear,3.0000002873794744
11,22,Nuclear,5.399999767480939
11,23,Nuclear,5.399999989972138
11,24,Nuclear,4.200000293269991
11,27,Nuclear,5.399999927698198
11,29,Nuclear,3.0000001021398095
11,2,Nuclear,3.000000182102293
11,6,Nuclear,5.399999995471567
11,7,Nuclear,3.0000000837133545
11,8,Nuclear,4.2000007597480655
12,10,Nuclear,3.6000037442831996
12,12,Nuclear,3.0000019969364535
12,14,Nuclear,3.0000013194276
12,17,Nuclear,4.2000001292676945
12,18,Nuclear,5.399999851479122
12,21,Nuclear,3.000000486205024
12,22,Nuclear,5.399999639559355
12,23,Nuclear,5.399999997572028
12,24,Nuclear,4.800000113906286
12,27,Nuclear,5.399999898995127
12,29,Nuclear,3.0000001459345222
12,2,Nuclear,3.0000002587857506
12,6,Nuclear,5.399999994939984
12,7,Nuclear,3.0000001469425093
12,8,Nuclear,4.800000329598158
13,10,Nuclear,3.0000063293349
13,12,Nuclear,3.0000029820902157
13,14,Nuclear,3.000001459433343
13,17,Nuclear,4.800000047855554
13,18,Nuclear,4.800001127445167
13,21,Nuclear,3.600000249288263
13,22,Nuclear,5.3999999296868415
13,23,Nuclear,5.399999990538178
13,24,Nuclear,5.399999986051403
13,27,Nuclear,5.399999932500334
13,29,Nuclear,3.0000000869267227
13,2,Nuclear,3.0000002424401626
13,6,Nuclear,5.3999999949399795
13,7,Nuclear,3.000000189174422
13,8,Nuclear,5.399999983222547
14,10,Nuclear,3.0000023523300587
14,12,Nuclear,3.00000239994476
14,14,Nuclear,3.0000017092361815
14,17,Nuclear,5.399999986133573
14,18,Nuclear,5.399999864612065
14,21,Nuclear,4.200000117519767
14,22,Nuclear,5.399999860436457
14,23,Nuclear,4.8000000841577295
14,24,Nuclear,4.800000096478507
14,27,Nuclear,5.399999887716577
14,29,Nuclear,3.0000004571457914
14,2,Nuclear,3.000000360519696
14,6,Nuclear,5.399999992380557
14,7,Nuclear,3.0000004570583383
14,8,Nuclear,4.8000016407534
15,10,Nuclear,3.599961145627163
15,12,Nuclear,3.000000893315121
15,14,Nuclear,3.000001041710151
15,17,Nuclear,4.800000021600008
15,18,Nuclear,5.3999998371646925
15,21,Nuclear,4.800000042828233
15,22,Nuclear,5.39999999720265
15,23,Nuclear,4.200000268432143
15,24,Nuclear,4.200000233837305
15,27,Nuclear,5.399999841975187
