Storage,Scenario,dualcvarstorage
BESS,10,0.0666666666661288
BESS,12,1.1046872644557254e-13
BESS,14,1.839053400927208e-13
BESS,17,3.911237854798628e-13
BESS,18,0.06666666666636775
BESS,21,0.06666666666631461
BESS,22,0.033333353241968275
BESS,23,1.0859094587516981e-11
BESS,24,4.2970592127737974e-13
BESS,27,1.9007962840660574e-13
BESS,29,0.06666666666629888
BESS,2,0.06666666666644919
BESS,6,0.06666666666646087
BESS,7,4.173769215723742e-13
BESS,8,0.06666666666626953
H2,10,0.0666666666664442
H2,12,1.016361469310793e-14
H2,14,4.560352531428354e-14
H2,17,2.0151134606818759e-13
H2,18,0.033333320322409654
H2,21,0.06666666666661888
H2,22,4.436818883435169e-14
H2,23,0.06666666666652679
H2,24,9.26887877814593e-14
H2,27,-4.803086839081585e-16
H2,29,0.06666666666659632
H2,2,0.06666666666663458
H2,6,0.06666666666662936
H2,7,0.06666666666620803
H2,8,9.983678146900179e-14
