Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
BESS,1,10,-3.732773181272146e-7,-2.9643101926383573e-7,-1.9478421772573725e-8
BESS,1,12,-3.029744384030413e-7,-4.202522365176608e-7,-5.2425795020608834e-8
BESS,1,14,-3.346446257879648e-7,-3.273954523221813e-7,-3.7545460758088146e-8
BESS,1,17,-2.970927197926217e-7,-3.7953386593820233e-7,-2.8942671482379487e-7
BESS,1,18,-2.994290578696698e-7,-6.829097002318828e-7,-11.248302184285745
BESS,1,21,-3.161454632242813e-7,-2.985705973513636e-7,-3.3343029579057116e-8
BESS,1,22,-3.187352213214598e-7,-3.241279772318483e-7,-3.915282699458848e-8
BESS,1,23,-5.612987081571314e-7,-2.964917511788839e-7,-2.330083710897203e-8
BESS,1,24,-2.965968685713126e-7,-1.122547110812196e-6,-0.08293451715208061
BESS,1,27,-2.9671704249452985e-7,-4.890968357120148e-7,-0.6117907708672893
BESS,1,29,-3.8828826691592357e-7,-2.991179115923637e-7,-1.9658682052880626e-8
BESS,1,2,-3.051697796461911e-7,-3.08590672131761e-7,-3.926188610093489e-8
BESS,1,6,-2.996407671543343e-7,-4.060325423901058e-7,-1.2283322292894605e-7
BESS,1,7,-3.2075941222974086e-7,-3.267880716872813e-7,-3.936676151667254e-8
BESS,1,8,-1.987893713253986e-6,-2.9843541944927075e-7,-2.2607051476475685e-8
BESS,2,10,-2.9723549081444344e-7,-2.97546851591245e-7,-1.949204887211914e-8
BESS,2,12,-2.966521592794716e-7,-3.045015770351005e-7,-5.3689905213982465e-8
BESS,2,14,-3.065564454733373e-7,-4.0354782114485975e-7,-1.0510918981799543e-7
BESS,2,17,-301.5674831030723,-2.9640921450834936e-7,-1.9533315313179922e-8
BESS,2,18,-2.9686418240965515e-7,-2.9684916347270113e-7,-3.48389964230166
BESS,2,21,-2.9985872439572116e-7,-3.29887325461719e-7,-3.784697298284961e-8
BESS,2,22,-3.074267664031984e-7,-5.09177552763264e-7,-1.5055073552551957e-7
BESS,2,23,-4.873254273868353e-7,-2.9658719711485415e-7,-1.9969828992802815e-8
BESS,2,24,-3.001254289939375e-7,-3.017670470947887e-7,-1.9788837264006407
BESS,2,27,-3.6301441436661846e-7,-2.968835789397983e-7,-1.2674875850637137e-7
BESS,2,29,-3.001047410095063e-7,-6.149086782654323e-7,-8.535662447412992e-8
BESS,2,2,-3.1400197894502286e-7,-3.2387182554402994e-7,-3.9823998953883976e-8
BESS,2,6,-3.025216954432664e-7,-4.0276712822284755e-7,-21.97415005289307
BESS,2,7,-3.0605953389643866e-7,-5.037965507756202e-7,-8.028303603238522e-8
BESS,2,8,-3.0716736523691796e-7,-5.827797803070288e-7,-5.520863470856381e-8
BESS,3,10,-2.9978341872265787e-7,-3.011043077780777e-7,-1.952005404828431e-8
BESS,3,12,-3.2030340019677314e-7,-3.2564074111244806e-7,-5.387645781678229e-8
BESS,3,14,-6.523776629772487e-6,-3.013318341984997e-7,-1.982654167369484e-8
BESS,3,17,-3.003142586406544e-7,-3.0184778917790894e-7,-1.9560585695047763e-8
BESS,3,18,-1.8556918948162597e-6,-2.964854504611078e-7,-2.0365741177907226e-8
BESS,3,21,-9.326247488460967e-7,-2.9941577628006265e-7,-1.9554689420294257e-8
BESS,3,22,-3.057801365724677e-7,-3.6887759885788114e-7,-6.272832493511312e-7
BESS,3,23,-3.018866655253432e-7,-2.964480644164303e-7,-1.9478215957873928e-8
BESS,3,24,-4.854048478112314e-7,-2.9668073558126974e-7,-1.9485544308836743e-8
BESS,3,27,-1.2954843425477481e-6,-2.96824421114024e-7,-2.24691343749566e-8
BESS,3,29,-3.0401522287470586e-7,-4.058748967031612e-7,-1.2148038072728672e-6
BESS,3,2,-3.08569774826371e-7,-3.122721533070779e-7,-3.9956919743339216e-8
BESS,3,6,-2.9982673055708367e-7,-2.964108838136836e-7,-5.006551072173529e-7
BESS,3,7,-3.08568850220637e-7,-3.195367076216751e-7,-8.577589066592554e-8
BESS,3,8,-3.072537237701041e-7,-3.7225146460965443e-7,-7.485515870603551e-8
BESS,4,10,-2.97520491097845e-7,-1.1500944593643682e-5,-5.469090368136253e-8
BESS,4,12,-3.1441374622036875e-7,-3.2144544261029263e-7,-5.492416470969437e-8
BESS,4,14,-3.1162356007200503e-7,-3.288933056142938e-7,-2.0204929314952282e-8
BESS,4,17,-3.0102691971424283e-7,-3.009382092112635e-7,-1.951716623959703e-8
BESS,4,18,-3.159955466849089e-7,-2.9654235077866144e-7,-1.9478567615841183e-8
BESS,4,21,-2.9795769691880905e-7,-2.176266716907744,-1.2125299533637782e-7
BESS,4,22,-3.088182649151544e-7,-3.218635344246535e-7,-9.609146259325244e-7
BESS,4,23,-3.038007653898881e-7,-3.074072475274173e-7,-1.9504321208176492e-8
BESS,4,24,-3.074362926086251e-7,-3.178874813256407e-7,-1.969741395252448e-8
BESS,4,27,-2.9669642666968924e-7,-6.194652747023638,-9.53849225808608e-8
BESS,4,29,-1.7634704676730488e-6,-2.9964952051357695e-7,-2.0305110209100616e-8
BESS,4,2,-3.002683169288997e-7,-3.026621668982139e-7,-4.079712088408548e-8
BESS,4,6,-7.616590387492505e-6,-2.9646422060434176e-7,-1.947868073545985e-8
BESS,4,7,-3.1711780340386636e-7,-3.807752992229383e-7,-0.022164554232047898
BESS,4,8,-3.0475249579928673e-7,-4.673322552833583e-7,-0.02591478301895461
BESS,5,10,-3.002236364458467e-7,-3.5713056976198467e-7,-8.546128476874108e-8
BESS,5,12,-3.0584119820741745e-7,-3.1355007756855044e-7,-5.6277347765895856e-8
BESS,5,14,-2.9992768262388267e-7,-1.0383625885760217e-6,-8.041286592714922e-8
BESS,5,17,-2.988878585087572e-7,-8.713325399028787e-7,-0.12434558503102196
BESS,5,18,-3.01770964560848e-7,-3.042203283011901e-7,-1.952987323684892e-8
BESS,5,21,-3.0518173696897084e-7,-3.1377470331608103e-7,-1.2925795128534148e-7
BESS,5,22,-3.049389569136399e-7,-3.191928189175868e-7,-3.438469785700911
BESS,5,23,-2.982034265803678e-7,-6.355485708525072e-7,-3.5861257202548675e-6
BESS,5,24,-2.996821057702626e-7,-0.46660750199142237,-4.866382397439728e-8
BESS,5,27,-3.968191216577638e-7,-2.9655578962554514e-7,-2.2807827264593276e-8
BESS,5,29,-3.065780116863005e-7,-3.8767054635331544e-7,-2.314345928255736e-8
BESS,5,2,-3.075612865667309e-7,-3.1114325694717477e-7,-4.096373763960852e-8
BESS,5,6,-2.9680258313159505e-7,-2.9689484726510195e-7,-1.947937710624173e-8
BESS,5,7,-3.2507576525025645e-7,-3.260298059978238e-7,-2.174333689495435e-6
BESS,5,8,-3.0657051076990437e-7,-3.250075921271522e-7,-2.571125634679972
BESS,6,10,-3.0081099352104735e-7,-5.759445911627196e-7,-0.5510230436789105
BESS,6,12,-3.144867429035543e-7,-3.9453513464813094e-7,-1.0769788415618567e-7
BESS,6,14,-2.917097935633476e-7,-1.1970221298594605e-6,-0.07427118997511765
BESS,6,17,-4.3071369246108415e-7,-2.982157764123632e-7,-2.301869733165701e-8
BESS,6,18,-2.9871351145531217e-7,-4.814307476813482e-7,-16.049168367893092
BESS,6,21,-4.608420075762149,-2.981760441793718e-7,-1.95561915297902e-8
BESS,6,22,-2.999236555125856e-7,-2.971285422266953e-7,-0.11653425943645325
BESS,6,23,-3.0160846413342886e-7,-3.089293833436422e-7,-16.442413578784112
BESS,6,24,-3.214504479090812e-7,-3.170158362643767e-7,-4.521779212126554e-8
BESS,6,27,-2.965464425138722e-7,-18.566267710676886,-7.785314946657318e-8
BESS,6,29,-3.0553766555299353e-7,-5.697152188762121e-7,-3.1042429150365516e-8
BESS,6,2,-3.075586595670016e-7,-3.120173634242222e-7,-4.129909909978614e-8
BESS,6,6,-2.974734556537799e-7,-1.4661994570719043e-6,-6.953236479805233e-8
BESS,6,7,-3.213233439999845e-7,-3.242252159308713e-7,-1.014106045385422e-6
BESS,6,8,-4.49594061914669e-6,-2.9686483710686326e-7,-1.9483894913634993e-8
BESS,7,10,-2.995183836697114e-7,-3.001776129727714e-7,-0.05049122980079673
BESS,7,12,-3.059230009863033e-7,-3.1500581398524603e-7,-1.1326769370814586e-7
BESS,7,14,-3.8130584255101428e-6,-3.008859201393036e-7,-1.9819340654481357e-8
BESS,7,17,-2.9965189144841325e-7,-5.334551082212029e-7,-6.523191977547442e-8
BESS,7,18,-2.965992492171233e-7,-2.9662711476240815e-7,-11.048886548564582
