Time,Scenario,generator,dispatch
1,13,Nuclear,6.000000147861602
1,15,Nuclear,6.000000400295438
1,16,Nuclear,6.000000571805932
1,19,Nuclear,6.000000467828741
1,1,Nuclear,6.000000151335787
1,22,Nuclear,6.00000025987917
1,24,Nuclear,9.600000827567298
1,26,Nuclear,6.000000952994968
1,28,Nuclear,6.000000714732718
1,29,Nuclear,6.000000444693729
1,2,Nuclear,6.000000321600369
1,30,Nuclear,11.999999987721514
1,6,Nuclear,8.4000007632692
1,7,Nuclear,6.0000002858836226
1,9,Nuclear,6.000000477009498
2,13,Nuclear,6.0000006597233115
2,15,Nuclear,6.000000205850637
2,16,Nuclear,6.000000367584151
2,19,Nuclear,6.000000467851088
2,1,Nuclear,6.0000006672969475
2,22,Nuclear,6.000002035807924
2,24,Nuclear,10.800000047906511
2,26,Nuclear,6.000000238245687
2,28,Nuclear,6.000000207490204
2,29,Nuclear,6.000000285889291
2,2,Nuclear,6.0000006432143795
2,30,Nuclear,11.999999962889875
2,6,Nuclear,9.600000354897881
2,7,Nuclear,6.000000128641334
2,9,Nuclear,7.200000255292681
3,13,Nuclear,6.000001072048579
3,15,Nuclear,6.000000401181856
3,16,Nuclear,6.000000514624825
3,19,Nuclear,6.00000017152942
3,1,Nuclear,6.000000428806544
3,22,Nuclear,7.200000772488567
3,24,Nuclear,11.99999994330718
3,26,Nuclear,6.000000659768833
3,28,Nuclear,6.000000651734487
3,29,Nuclear,6.00000095297135
3,2,Nuclear,6.000000114339629
3,30,Nuclear,11.999999987721509
3,6,Nuclear,10.80000010266437
3,7,Nuclear,6.000000467807916
3,9,Nuclear,8.400000166882704
4,13,Nuclear,6.00000095313047
4,15,Nuclear,6.0000003958789465
4,16,Nuclear,6.0000004288403535
4,19,Nuclear,6.0000002058466215
4,1,Nuclear,6.00000024502795
4,22,Nuclear,8.400000510911775
4,24,Nuclear,11.99999995954332
4,26,Nuclear,6.000000659770063
4,28,Nuclear,6.000001072047075
4,29,Nuclear,6.000000543080071
4,2,Nuclear,6.000000514568046
4,30,Nuclear,11.99999997441394
4,6,Nuclear,11.999999966375823
4,7,Nuclear,6.000000514659312
4,9,Nuclear,9.600000092523404
5,13,Nuclear,6.000001334348962
5,15,Nuclear,6.00000179402061
5,16,Nuclear,6.0000003420438
5,19,Nuclear,6.00000171544623
5,1,Nuclear,6.0000003258129935
5,22,Nuclear,9.60000030566906
5,24,Nuclear,11.999999981862112
5,26,Nuclear,6.0000010721282075
5,28,Nuclear,6.00000020100836
5,29,Nuclear,6.000000857682035
5,2,Nuclear,6.000000321598004
5,30,Nuclear,10.800002196360598
5,6,Nuclear,11.9999998730486
5,7,Nuclear,6.533231477421966
5,9,Nuclear,10.800000030674648
6,13,Nuclear,6.000000612596882
6,15,Nuclear,7.200000791198787
6,16,Nuclear,6.000000302712016
6,19,Nuclear,6.000000367574675
6,1,Nuclear,6.000001679632916
6,22,Nuclear,10.80000014096236
6,24,Nuclear,10.800000178857225
6,26,Nuclear,6.000001072113474
6,28,Nuclear,6.0000010720280015
6,29,Nuclear,6.000001072097649
6,2,Nuclear,6.000002049489378
6,30,Nuclear,10.800000736836518
6,6,Nuclear,11.999999969693654
6,7,Nuclear,7.733230903925563
6,9,Nuclear,11.999999974862563
7,13,Nuclear,6.0000008576365
7,15,Nuclear,8.40000044279049
7,16,Nuclear,6.000000343073766
7,19,Nuclear,6.000000643261653
7,1,Nuclear,7.200000637375144
7,22,Nuclear,11.999999979208331
7,24,Nuclear,9.600000419996405
7,26,Nuclear,6.000000428849489
7,28,Nuclear,6.0000007146916134
7,29,Nuclear,6.000000536050045
7,2,Nuclear,7.200001112208333
7,30,Nuclear,11.999999952323101
7,6,Nuclear,10.80000059368038
7,7,Nuclear,8.933230632531616
7,9,Nuclear,10.80000009656113
8,13,Nuclear,6.0000006125935785
8,15,Nuclear,9.600000226305049
8,16,Nuclear,6.000000571796461
8,19,Nuclear,6.000000581491745
8,1,Nuclear,8.400000379261247
8,22,Nuclear,10.800000310157321
8,24,Nuclear,8.4000008048765
8,26,Nuclear,6.000000714755736
8,28,Nuclear,6.000000402009933
8,29,Nuclear,6.000001072097535
8,2,Nuclear,8.400000680390907
8,30,Nuclear,11.999999971094761
8,6,Nuclear,9.600001765791344
8,7,Nuclear,10.133230452446044
8,9,Nuclear,9.600000261049354
9,13,Nuclear,6.000000857645152
9,15,Nuclear,10.80000009691787
9,16,Nuclear,6.000000343073963
9,19,Nuclear,6.000000395856313
9,1,Nuclear,9.600000201424558
9,22,Nuclear,9.600000748353398
9,24,Nuclear,7.200001450547225
9,26,Nuclear,6.000000612640697
9,28,Nuclear,6.000000804030539
9,29,Nuclear,6.000000605640766
9,2,Nuclear,9.600000331492884
9,30,Nuclear,11.999999959543617
9,6,Nuclear,10.800000483263071
9,7,Nuclear,11.33323031545771
9,9,Nuclear,8.400000527882803
10,13,Nuclear,6.00000061260061
10,15,Nuclear,11.999999982345681
10,16,Nuclear,6.000000571825229
10,19,Nuclear,6.0000008307483785
10,1,Nuclear,10.80000008430132
10,22,Nuclear,8.400001701000605
10,24,Nuclear,7.200002285591106
10,26,Nuclear,6.00000085771911
10,28,Nuclear,6.000000834205865
10,29,Nuclear,6.000001072096315
10,2,Nuclear,10.80000012358768
10,30,Nuclear,11.999999971094809
10,6,Nuclear,11.999999969375224
10,7,Nuclear,10.133230426798344
10,9,Nuclear,7.200001028172669
11,13,Nuclear,6.000000571759229
11,15,Nuclear,10.80000198237076
11,16,Nuclear,6.000000571752587
11,19,Nuclear,6.000000514613734
11,1,Nuclear,11.999999980806239
11,22,Nuclear,8.400001768794343
11,24,Nuclear,8.400000802876857
11,26,Nuclear,6.000001072130429
11,28,Nuclear,6.000000536025763
11,29,Nuclear,6.000000571784823
11,2,Nuclear,11.999999971125623
11,30,Nuclear,11.999999991229405
11,6,Nuclear,11.999999959543336
11,7,Nuclear,8.93323056502183
11,9,Nuclear,6.000003278551756
12,13,Nuclear,6.000002222776465
12,15,Nuclear,11.999999982494593
12,16,Nuclear,6.000000800466918
12,19,Nuclear,6.000000571794446
12,1,Nuclear,11.999999973020088
12,22,Nuclear,9.600000957424017
12,24,Nuclear,9.60000024685686
12,26,Nuclear,6.0000005717987515
12,28,Nuclear,6.000000428814166
12,29,Nuclear,6.000000536050521
12,2,Nuclear,11.999999981524049
12,30,Nuclear,10.800000220901707
12,6,Nuclear,11.999999974463334
12,7,Nuclear,7.73323079632195
12,9,Nuclear,6.0000005213385155
13,13,Nuclear,7.200001148998305
13,15,Nuclear,11.999999975715285
13,16,Nuclear,6.000000571764131
13,19,Nuclear,6.000000135416359
13,1,Nuclear,11.99999998481189
13,22,Nuclear,10.80000045030307
13,24,Nuclear,10.800000080076579
13,26,Nuclear,6.000000953005057
13,28,Nuclear,6.000000714694923
13,29,Nuclear,6.00000107209558
13,2,Nuclear,10.800000112544955
13,30,Nuclear,9.600000510358418
13,6,Nuclear,10.80000264801609
13,7,Nuclear,6.5332311844169295
13,9,Nuclear,6.00000032161849
14,13,Nuclear,8.400000644070357
14,15,Nuclear,11.99999995964657
14,16,Nuclear,6.000000533648733
