Storage,Scenario,dualcvarstorage
H2,13,1.1683182345026608e-12
H2,15,0.09999999995325688
H2,16,0.0999999999967118
H2,19,0.09999999999559143
H2,1,0.0500000000114024
H2,22,6.985886540719026e-13
H2,24,1.7096134551516788e-12
H2,26,8.7352973015533e-12
H2,28,0.0999999999943339
H2,29,2.51995625042753e-12
H2,2,0.09999999999394653
H2,30,1.6853592195547228e-10
H2,6,3.4407630307927976e-12
H2,7,0.09999999999694192
H2,9,0.0999999999943625
BESS,13,3.5729334832239732e-12
BESS,15,0.050000001622078724
BESS,16,0.09999999999400251
BESS,19,0.09999999999547739
BESS,1,0.09999999999322198
BESS,22,3.525261115531435e-12
BESS,24,2.6622320385375204e-12
BESS,26,8.538271618125971e-12
BESS,28,0.0999999999924387
BESS,29,8.948127802108771e-12
BESS,2,0.09999999999157513
BESS,30,1.2216734408536827e-11
BESS,6,3.194988775987937e-12
BESS,7,0.09999999999524228
BESS,9,0.09999999999319666
