Storage,Time,Scenario,Discharge,Charge,energy_level
H2,1,13,1.292310762207336e-6,1.6291246677403775,1367.1230702171367
H2,1,15,8.75454042544893,9.749684019940957e-7,982.6338340746943
H2,1,16,5.043205146421185e-6,3.2584463530727805,1321.5088744860154
H2,1,19,4.112939273412199e-6,0.18804081846535955,1302.4285770302993
H2,1,1,1.3246844200221482e-6,3.5865439174829192,1386.340408333442
H2,1,22,2.2746442757475955e-6,1.081097666933311,1325.9539646144183
H2,1,24,6.81222885147457e-6,2.1783170623799255,1317.7536501226634
H2,1,26,8.378729529362992e-6,2.049306157958878,1313.8912366755746
H2,1,28,5.00652731039618e-6,0.021510983015149143,1301.1161822549418
H2,1,29,9.045997490457257,8.020082892273758e-7,807.562716895057
H2,1,2,2.8290873589191805e-6,0.33969977179020144,1304.7853001302399
H2,1,30,2.874068111606545,1.8963311906885247e-8,1128.5366587285698
H2,1,6,3.5697186548872806e-6,5.449447716655103,1381.0874901233974
H2,1,7,2.5082737813568963e-6,4.574438111836207,1358.6185831071095
H2,1,9,1.651150289754835e-6,0.01119560418925834,1301.247098295523
H2,2,13,5.766480196020532e-6,1.599017993801705,1381.673997662105
H2,2,15,5.765006304080457e-7,9.045996468017762,1140.9387460604405
H2,2,16,3.242324865261076e-6,2.017424683468597,1341.2795538521902
H2,2,19,4.081475534623327e-6,0.020019768011484158,1302.5826476143782
H2,2,1,9.045996907023543,1.2010656901722053e-6,1188.9732131782448
H2,2,22,6.819358146849339e-6,4.705469032593259,1362.185939778223
H2,2,24,1.0549933658602183e-6,2.4718373683672397,1440.6038311404627
H2,2,26,2.100522945520485e-6,0.14081432527443433,1317.4396201837167
H2,2,28,1.4528334780371631e-6,0.010853160510977391,1301.3516139510264
H2,2,29,2.492803125466707e-6,5.50633107562739,923.19553351216
H2,2,2,5.647877995539413e-6,4.002387778211968,1327.1985895372718
H2,2,30,1.9275127493472388e-7,6.41609777564512e-8,1128.5366547564952
H2,2,6,5.762459220991437e-6,7.082064147886076,1445.5341376655995
H2,2,7,1.1288247770927735e-6,1.261721334021057,1393.9466983633674
H2,2,9,1.6088264175420064e-6,1.2268598900083993,1331.3050632208603
H2,3,13,9.372812054651039e-6,1.336952843682839,1389.1607972549202
H2,3,15,1.1509042425293585e-6,9.045993738803524,1223.2572618803522
H2,3,16,4.5377758843077645e-6,3.4074617470370003,1365.131703576455
H2,3,19,1.5022950423876264e-6,0.3485902719622177,1309.9029613821601
H2,3,1,3.7531166919363087e-6,2.1500784017395893,1207.0337898666814
H2,3,22,2.8852357232717773e-6,2.788784824912736,1412.9416871986589
H2,3,24,9.045998638310978,3.510099600357692e-8,1259.6838586445156
H2,3,26,5.801383976197647e-6,1.1538626076056597,1327.9396327893073
H2,3,28,5.1248435752752804e-6,4.266804966633435e-5,1301.3518194482779
H2,3,29,8.300997516995313e-6,7.55574681206092,970.7966025936136
H2,3,2,1.0082392230073137e-6,0.046460035555709746,1328.6619981649872
H2,3,30,0.022326714676916947,1.8963425466570936e-8,1127.1970523139344
H2,3,6,4.5063035798519787e-7,1.891212414054776e-6,1445.534160369019
H2,3,7,4.102507562944164e-6,5.295225010270262,1434.7198488922818
H2,3,9,5.1162582651064e-6,5.348923766734726,1372.4916738995591
H2,4,13,9.045996144677092,1.7168372801556643e-6,1158.8990940335987
H2,4,15,1.108359993766649e-6,9.045994436028336,1305.5757850506145
H2,4,16,3.7745345052441303e-6,8.503092800174398,1436.5576007440477
H2,4,19,1.7982445044557567e-6,0.013611752775883596,1310.1410853174343
H2,4,1,2.144023601567168e-6,5.104783328753479,1282.0740229366463
H2,4,22,8.327474481982489e-6,5.1734251827730775,1445.5341295823814
H2,4,24,9.045998634782638,3.861105981970261e-8,1095.2111564642
H2,4,26,5.856115589624318e-6,0.1168315420647292,1329.0026614048209
H2,4,28,7.5934842246961134e-6,0.14004826999304962,1301.9399393440283
H2,4,29,5.302696481802215e-6,4.269716672996324e-5,970.7969265416453
H2,4,2,4.517071404732588e-6,5.059828993124806,1364.0807189882785
H2,4,30,1.7131190005889456,3.9111894548361215e-8,1077.3608636439546
H2,4,6,2.046058131304915,4.1722044430095467e-8,1389.7325754078724
H2,4,7,4.511697182591855e-6,1.194493763499462,1443.081223205923
H2,4,9,4.019548303406472e-6,4.914337563561313,1420.652079706617
H2,5,13,9.04599513397462,2.4031846528913022e-6,994.4264720563544
H2,5,15,1.8004828423451805e-6,9.045991795538445,1356.2333129167978
H2,5,16,8.279838552789801,2.6633062617893036e-6,1180.6353498967112
H2,5,19,1.5017147919839228e-5,0.04161063806654735,1310.228385745663
H2,5,1,3.1870815192894828e-6,2.414980942083483e-5,1282.0742006994333
H2,5,22,2.125697302679398e-6,3.21829691918845e-6,1445.5341037889045
H2,5,24,9.045998657423393,1.611874609479788e-8,848.5021023400814
H2,5,26,9.452857054071637e-6,0.4932972025033818,1331.7649882427363
H2,5,28,1.4062470936155302e-6,0.010016581269463715,1302.1642289468039
H2,5,29,7.476033548609726e-6,5.78682579351327,1011.3045711683391
H2,5,2,2.8232106260413375e-6,3.756709669125967,1406.1557851527195
H2,5,30,6.540159677077257e-8,9.045998498224806,1115.354056623025
H2,5,6,6.953559496020203e-8,7.733948040567217,1438.4564469256597
H2,5,7,9.045997161192098,1.0276703206814222e-6,1212.8194873558277
H2,5,9,6.250281779251709e-6,3.2767730196948284,1441.2956474533155
H2,6,13,5.3465369641375414e-6,6.471280582507944,1057.8448856712653
H2,6,15,9.02896392734385,1.3057220463084367e-6,1109.98885588113
H2,6,16,2.664707058711771e-6,6.5852643269518145,1258.9999130236247
