Time,Scenario,Residual
1,13,3.44384173445178e-5
1,15,0.00014866400527413504
1,16,-0.0003187306014922342
1,19,-0.00019900767174796385
1,1,0.00010720628300564528
1,22,1.4903124800014211e-5
1,24,-0.00013007265372610988
1,26,0.00016506687581241408
1,28,-0.0002934868427475479
1,29,0.0001781822609059347
1,2,-2.8719847513514196e-6
1,30,0.00013250992914581872
1,6,4.641618841816353e-5
1,7,-4.3169681321231224e-5
1,9,-0.00043449317146126987
2,13,2.7555657895028673e-5
2,15,-4.126125356229693e-5
2,16,-0.00031706910570949987
2,19,-0.0006387940425289784
2,1,-0.0001832411528033262
2,22,2.184997079890394e-5
2,24,-0.00012145532149521188
2,26,0.00013782752819846422
2,28,-0.00013367043093115427
2,29,-1.1035101517009593e-5
2,2,-1.4923979254177766e-5
2,30,0.0004709113704679524
2,6,4.319001612618223e-5
2,7,-3.9702318530565606e-5
2,9,2.5963297629161275e-5
3,13,2.358498371357598e-5
3,15,0.0001175931021535348
3,16,-0.0003177038253552311
3,19,-0.00014849466569621939
3,1,0.00011545441889193597
3,22,2.8907048220006004e-5
3,24,0.0003019191177475733
3,26,0.00016320162050220688
3,28,0.0009024257314900197
3,29,-2.0647005577245636e-5
3,2,2.4231802937535463e-5
3,30,0.0001744292886725063
3,6,0.0001218427768829855
3,7,-5.0016615444015144e-5
3,9,-2.7032762105250185e-5
4,13,6.601257696381424e-5
4,15,-3.239445098301985e-5
4,16,-0.0003207070446222815
4,19,-0.0005795120837044365
4,1,0.0001178172083049489
4,22,2.175116758262874e-5
4,24,0.00023236297943363127
4,26,0.00012479933977971314
4,28,9.789313156538526e-5
4,29,0.00015917086215999632
4,2,2.1669923566669524e-5
4,30,0.00013018324730573738
4,6,-0.0003101525012478845
4,7,-5.2900516337217596e-5
4,9,1.833513428195488e-6
5,13,2.2401749179223884e-5
5,15,-1.0044508969464516e-5
5,16,-0.0021407649246478755
5,19,-0.0007607861375991121
5,1,0.0005876335163730317
5,22,0.00018312796305153256
5,24,-0.0023302708866168587
5,26,0.0001284727756809545
5,28,-0.0002394836492669583
5,29,-1.8076359724616964e-5
5,2,2.53603803059832e-5
5,30,0.0003328361535785973
5,6,0.0015407442669461702
5,7,0.005609955999235083
5,9,-5.0558160372915495e-5
6,13,8.028741536847406e-5
6,15,-0.00038209680441525506
6,16,-0.0003000515819575611
6,19,-0.00017092258654649584
6,1,0.00010960967276929523
6,22,0.07218762453123961
6,24,0.0005366314554473561
6,26,0.00012516498761172556
6,28,0.00017443116485438281
6,29,-1.9154172947288828e-5
6,2,2.0958000531479115e-5
6,30,0.00036122917808789623
6,6,-0.0003162972958232757
6,7,0.002643212592712274
6,9,-0.00010409920886367274
7,13,7.498066704769712e-5
7,15,0.0001502056453190903
7,16,-0.0003004599813980491
7,19,-0.00017637543096959973
7,1,0.00011442712519560416
7,22,0.37141940679308405
7,24,-0.000322054466632693
7,26,0.00017586791298107585
7,28,0.00018004967373208558
7,29,-1.3180760010556014e-5
7,2,-1.610350946812389e-5
7,30,0.0006636754412499002
7,6,-4.2010667111291866e-5
7,7,0.005617905976739834
7,9,2.354249589142654e-5
8,13,3.899403711393745e-5
8,15,0.00013077962715613012
8,16,-0.0003060235552299062
8,19,-0.002294928336301183
8,1,0.00011038171571087219
8,22,0.027741388783072196
8,24,0.00015404394669804589
8,26,0.00012078058310471818
8,28,0.00018505735221019393
8,29,-2.0073314848545465e-5
8,2,-0.00012933840149997877
8,30,7.129149084406095e-5
8,6,0.00014375576301617343
8,7,0.002664944670263125
8,9,2.434689102592813e-5
9,13,7.032980141374878e-6
9,15,0.0002816558996245888
9,16,-0.0003006876632607458
9,19,-0.00020352320927141676
9,1,0.00011551111677299275
9,22,0.028075914573664207
9,24,-0.00031044533463209234
9,26,0.0001641770972309331
9,28,0.00018891537349308152
9,29,-0.0013591611923153835
9,2,0.0002990073769826296
9,30,5.530294328526253e-5
9,6,0.0001533373194080312
9,7,-0.057928057770121555
9,9,2.093613482045953e-5
10,13,3.059543718997304e-5
10,15,5.853828191249022e-5
10,16,-0.0006667556092203597
10,19,-0.000974027174490466
10,1,0.00012288057977993816
10,22,0.0002997785034555278
10,24,2.2667611070836813e-5
10,26,1.2353912900664454e-5
10,28,-0.00014792706386579368
10,29,-4.8523599508243365e-5
10,2,0.00013947428471183798
10,30,7.77095953807816e-6
10,6,-0.00034432736450185075
10,7,0.0025131711323957973
10,9,1.4915247822600008e-5
11,13,7.964482061417755e-5
11,15,0.0004976846471045349
11,16,0.00022260160559994802
11,19,-0.0002067767646476426
11,1,0.00012334764667265574
11,22,0.028093895551638326
11,24,1.900967977164214e-5
11,26,0.000122877597178217
11,28,0.00011079584658091335
11,29,-4.395491808928398e-5
11,2,1.2590991185668088e-5
11,30,8.52363091752295e-6
11,6,-0.0003398178871707458
11,7,0.0025224404139176926
11,9,-0.00011716532002736813
12,13,0.0004848477143646335
12,15,7.719166564790214e-5
12,16,0.0001870484310178
12,19,-0.0002083502429970352
12,1,0.00012596444816193042
12,22,0.02810298196514438
12,24,-6.619339969571314e-5
12,26,0.00016533666001450342
12,28,0.00016696589000275708
12,29,-4.287463242391709e-5
12,2,1.3479541179250987e-5
12,30,-6.213640864860537e-5
12,6,-0.00034415008472521436
12,7,0.002517019707685364
12,9,0.00043840304147302334
13,13,7.789135240798828e-6
13,15,4.265979899198413e-5
13,16,0.00019606236227787122
13,19,-0.00019850065982129905
13,1,0.0001230669293885711
13,22,0.0800703295580476
13,24,-0.0005013446601891403
13,26,0.000126582545045828
13,28,0.0001608462829318924
13,29,-5.237247074241225e-5
13,2,0.00016244150158151172
13,30,-4.182754531978361e-5
13,6,0.00045366179034900256
13,7,0.003321755802154769
13,9,2.701049686848478e-5
14,13,7.796808235660535e-5
14,15,8.169143664993328e-5
14,16,0.00020221523762398164
14,19,-0.00047867548619606737
14,1,0.0007246838952834622
14,22,-0.0886637356905835
14,24,0.00023652609610369524
14,26,5.440178510696114e-5
14,28,0.0001566666846954945
14,29,-4.551476855940706e-5
14,2,0.00018044093975433384
14,30,-1.8593290026736042e-5
14,6,-0.0007991480238462856
14,7,6.3220297228383515e-6
14,9,2.819587910263266e-5
15,13,7.631495600790572e-5
15,15,2.4307555601232878e-5
15,16,-0.00026242194452663625
15,19,-0.0006102271192638398
15,1,-0.019964433831166417
15,22,0.03572407423793411
15,24,-0.0011072464802115434
15,26,0.00017090054893564854
15,28,0.00015958602210197625
15,29,-5.589315285448038e-5
15,2,-4.893921734527851e-6
15,30,-9.061817289968133e-5
15,6,-0.2784074344489489
15,7,2.129967431230284e-5
15,9,2.4670546593164033e-5
16,13,-0.0008960927143863984
16,15,4.436851204125958e-5
16,16,-0.0002248236144231086
16,19,-0.00020237938378464548
16,1,-0.020434801409235703
16,22,-1.8217199724723798e-5
16,24,0.00013087750125517772
16,26,0.00012616842789636706
16,28,-0.00018302591697505477
16,29,-4.2188695073441806e-5
16,2,0.00016608978499998983
16,30,-2.4719398489025934e-5
16,6,-0.00016983582946838993
16,7,-0.0007289593930570604
16,9,-0.0007039470090299815
17,13,-0.04533919475206005
17,15,5.9171340477170986e-5
17,16,-0.00023004506619450638
17,19,-0.0006452154788085807
17,1,5.476531223624903e-5
17,22,-1.1399139452805684e-5
17,24,-0.00013830615196219753
17,26,0.00016661187547128975
17,28,9.292686306405784e-5
17,29,-5.480922607947747e-5
17,2,3.7225448784816706e-5
17,30,-4.091187352628367e-5
17,6,-0.0001485432399022102
17,7,-0.0007181527672805998
17,9,-2.4442675186975293e-5
18,13,-0.04546279286480637
18,15,9.987670997713138e-5
18,16,-0.00023862372278671273
18,19,-0.00031177897565370927
18,1,-0.013397048838751147
18,22,9.428940132671926e-6
18,24,-0.00010372407024217267
18,26,0.0001660820009297126
18,28,0.00016640358942243694
18,29,3.185788979553905e-5
18,2,3.830792736536637e-5
18,30,-0.0017705376539858264
18,6,-0.0001187694628912439
18,7,-0.0007210085924835852
18,9,-2.049298297635005e-5
19,13,-0.2803190441767909
19,15,0.00038685661588999665
19,16,-3.961148424291849e-5
19,19,0.00018602710405346556
19,1,-0.004521185424065877
19,22,0.027985329102564904
19,24,-9.727263006276132e-5
19,26,0.0001259968684923507
19,28,0.0001622716030711402
19,29,6.6421370787495e-5
19,2,4.606584198185715e-5
19,30,0.0016643676217151793
19,6,-0.0001441395524004463
19,7,-0.0007275468813094932
19,9,-2.499216105000812e-5
20,13,0.15794896443246653
20,15,-1.3085751566777049e-5
20,16,-0.00017603725356174493
20,19,0.00014977809724658897
20,1,-0.013410222140255001
20,22,0.02794124889573979
20,24,-0.00010473245292796918
20,26,0.0001546846863007545
20,28,-0.0002806437708171572
20,29,9.617424855612455e-5
20,2,-0.00068596103975338
20,30,3.65222413627464e-5
20,6,0.0015734404070615327
20,7,-0.0007211002028117974
20,9,-1.8941381187076445e-5
21,13,-0.28034803049387524
21,15,-7.584903520196917e-5
21,16,7.345031127670154e-5
21,19,0.0001821772001502353
21,1,0.006488992965816287
21,22,-0.003388499923365984
21,24,-9.915328647736033e-5
21,26,0.0001388154079915438
21,28,-0.00020386654508186552
