Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
H2,1,13,-6.63618344765204e-7,-8.095033911554133e-7,-7.659632687217527e-8
H2,1,15,-2.0359033303316986e-5,-6.636134627932512e-7,-1.2972392781497596e-8
H2,1,16,-6.636831085258747e-7,-1.0364807117057523e-6,-4.838966509768908e-8
H2,1,19,-6.636723982453932e-7,-6.779961839499453e-7,-4.195532375716531e-8
H2,1,1,-6.636189804601343e-7,-1.0996222333416602e-6,-1.0142394109744809e-7
H2,1,22,-6.636348426486975e-7,-7.538307002828576e-7,-5.021030108445909e-8
H2,1,24,-6.637127465176544e-7,-8.743844413683495e-7,-4.697950643444449e-8
H2,1,26,-6.637478597018195e-7,-8.579568932305822e-7,-4.5593940274166644e-8
H2,1,28,-6.636932955793511e-7,-6.648579640965412e-7,-4.155690355431678e-8
H2,1,29,-5.091862463284369,-6.6361083487596e-7,-9.409882427385189e-9
H2,1,2,-6.636457341512038e-7,-6.89581123423101e-7,-4.265280607598006e-8
H2,1,30,-9.728060620575385e-7,-6.63597261784394e-7,-1.8933533355354173e-8
H2,1,6,-6.636550113396793e-7,-1.6698064258916339e-6,-9.31589990438827e-8
H2,1,7,-6.636397837621982e-7,-1.3420701580059561e-6,-6.905090028964724e-8
H2,1,9,-6.636280120309017e-7,-6.641185114910386e-7,-4.157355914079251e-8
H2,2,13,-6.636927100508128e-7,-8.063967186536881e-7,-9.405356635167918e-8
H2,2,15,-6.636068103627222e-7,-2.7222983893841723,-1.9716917487405794e-8
H2,2,16,-6.636523628407936e-7,-8.535642675331351e-7,-5.753085115531628e-8
H2,2,19,-6.636754049476429e-7,-6.646760129534325e-7,-4.1982304477373425e-8
H2,2,1,-3.4033536542249827,-6.636177538459972e-7,-2.339930777644179e-8
H2,2,22,-6.637097482603672e-7,-1.3836035437188307e-6,-7.20299337459787e-8
H2,2,24,-6.636147223532768e-7,-9.132087949021506e-7,-1.219873741201257e-6
H2,2,26,-6.636361775605996e-7,-6.741418166274254e-7,-4.6850306714561306e-8
H2,2,28,-6.636237621944571e-7,-6.642690556149161e-7,-4.160895073046895e-8
H2,2,29,-6.636387175865284e-7,-1.6965650443123026e-6,-1.1493093456196383e-8
H2,2,2,-6.636922178679988e-7,-1.1901964386075819e-6,-5.072406756547957e-8
H2,2,30,-6.636002400074851e-7,-6.63598036277731e-7,-1.893347884145517e-8
H2,2,6,-6.636899724524432e-7,-3.0591262008861593e-6,-0.2558170101909548
H2,2,7,-6.636162364747856e-7,-7.710630541697074e-7,-1.1621963489862648e-7
H2,2,9,-6.636251498205771e-7,-7.677542467412486e-7,-5.249567263955752e-8
H2,3,13,-6.63752953538642e-7,-7.791280918566377e-7,-1.0654066628389588e-7
H2,3,15,-6.636165450810061e-7,-1.21505639612183,-2.702154738305126e-8
H2,3,16,-6.636741390963801e-7,-1.0638390174083582e-6,-7.453554584762901e-8
H2,3,19,-6.636234621999206e-7,-6.902455418677324e-7,-4.424546054730905e-8
H2,3,1,-6.636593972347061e-7,-8.706850799336664e-7,-2.5170721834464277e-8
H2,3,22,-6.636446236901155e-7,-9.595955372273313e-7,-1.8422006859351707e-7
H2,3,24,-170.16636331224709,-6.635975385578576e-7,-3.2301351404550634e-8
H2,3,26,-6.637014876259303e-7,-7.606025791408778e-7,-5.1017367243043525e-8
H2,3,28,-6.636916587171253e-7,-6.640179080373009e-7,-4.161423772848087e-8
H2,3,29,-6.637342893464071e-7,-4.032622943992551e-6,-1.2645022690162914e-8
H2,3,2,-6.636141951693674e-7,-6.672260318045562e-7,-5.1388686977205166e-8
H2,3,30,-6.653907701158451e-7,-6.635972619427909e-7,-1.8846632171375992e-8
H2,3,6,-6.636046145149315e-7,-6.636294709174039e-7,-8.252766951114712
H2,3,7,-6.636665108215796e-7,-1.6000444824144711e-6,-5.50679504098719e-7
H2,3,9,-6.636857803678958e-7,-1.6238557354405171e-6,-8.202560026120604e-8
H2,4,13,-2.3805035586019314,-6.636267273779689e-7,-2.0946258721562715e-8
H2,4,15,-6.636158343944238e-7,-1.415522668118695,-4.292426215316565e-8
H2,4,16,-6.63659607616838e-7,-1.0933445495700522e-5,-6.543889089553744e-7
H2,4,19,-6.636302752247675e-7,-6.643711619042651e-7,-4.4299854491613204e-8
H2,4,1,-6.636324573434263e-7,-1.523282982397364e-6,-3.672421271874394e-8
H2,4,22,-6.637331729460949e-7,-1.5511136840536421e-6,-0.190124101375207
H2,4,24,-154.6968668688105,-6.635975987348797e-7,-1.7135814810963838e-8
H2,4,26,-6.637086563641727e-7,-6.727951359161885e-7,-5.149399194822254e-8
H2,4,28,-6.637371097212002e-7,-6.749448206686093e-7,-4.179332253391609e-8
H2,4,29,-6.636884493054138e-7,-6.64099943592384e-7,-1.2646086151588339e-8
