Time,Scenario,Residual
1,11,-0.00010770975736162924
1,12,4.284179292701751e-5
1,13,-5.9365245781872744e-5
1,19,-4.789352670275804e-5
1,1,0.00026345214363043823
1,22,0.00028093718768573694
1,23,9.713134559019565e-5
1,24,1.4608945659855266e-5
1,26,7.308223597091157e-5
1,27,0.00042813232778016186
1,29,4.066666645474726e-5
1,30,0.0006766854133508637
1,4,2.0735814405981046e-5
1,7,-0.0012702600913181428
1,8,0.0007633945695975086
2,11,0.0015581426207389448
2,12,0.00010465479919252729
2,13,0.0006790221805750285
2,19,6.97409949386163e-5
2,1,0.0003450601868082437
2,22,0.00019028751767180552
2,23,9.315245591556831e-5
2,24,4.561447477602343e-5
2,26,6.1027937030555535e-5
2,27,0.00010655624011901565
2,29,4.863768713292416e-5
2,30,-0.002506241888893257
2,4,0.00019975137297167933
2,7,0.0027267673420352523
2,8,0.00019838167756658365
3,11,-0.0006826335925946836
3,12,6.168759218905251e-5
3,13,0.0006623770900850978
3,19,0.00013445075219742364
3,1,0.0001890962190636003
3,22,0.00117216528104791
3,23,8.047723367887727e-5
3,24,1.7960277633566335e-5
3,26,0.0001242905974447872
3,27,3.143433001895346e-5
3,29,3.7657295262949475e-5
3,30,0.0016167632992378778
3,4,9.77519279161676e-5
3,7,0.0002665154072754028
3,8,-0.0002576750453919807
4,11,-6.244426900980926e-5
4,12,0.00012676081146700824
4,13,0.0006555903003500063
4,19,-2.227361019979668e-5
4,1,0.00022248013745684858
4,22,-0.0023937449128053068
4,23,0.00010301112286903447
4,24,0.0004824125132634194
4,26,-2.212289744329965e-5
4,27,0.00022374264636226826
4,29,5.164738316709716e-5
4,30,0.00024060102167489106
4,4,0.0008011247042820635
4,7,0.0004946326063151041
4,8,0.0009425820760609049
5,11,0.00010082814280654162
5,12,0.0001602520580594735
5,13,-0.01412866111011235
5,19,0.00011849163965926834
5,1,0.0003450017698933827
5,22,0.0008134208546444199
5,23,0.00010288740300845589
5,24,0.0002988880284955364
5,26,-1.6538071228033857e-5
5,27,0.00014107613889713377
5,29,5.503175348042788e-5
5,30,-0.003978573890011994
5,4,0.0006599512479219527
5,7,0.00014621841506645694
5,8,0.0006716656968293044
6,11,0.02378760292757498
6,12,0.0002802206003402752
6,13,0.00039686253962400997
6,19,5.3884828933092876e-5
6,1,0.0002936147994541116
6,22,0.0014843763816378974
6,23,0.0010059174039582786
6,24,0.0003993908783712641
6,26,6.043975459979478e-5
6,27,0.000218417174946417
6,29,-0.0004033653399457826
6,30,0.000659863932057192
6,4,0.000724701279425144
6,7,0.00016544079023717018
6,8,0.00022316648533671213
7,11,0.00023537564196951521
7,12,4.040917737269112e-5
7,13,-0.06497171062093532
7,19,8.280182416875448e-5
7,1,0.0003412812236334162
7,22,1.5387188863069667e-5
7,23,0.0003841226387519825
7,24,0.00024169135943008513
7,26,0.00011625065036646731
7,27,0.0002416670544289623
7,29,0.0014167912188884912
7,30,0.0003843261965714717
7,4,-0.00025815164092524157
7,7,0.00015139578708867063
7,8,0.00018194845064423149
8,11,0.00013261039714107525
8,12,0.0007638218307177702
8,13,-0.000516653716893245
8,19,0.00012254939473343995
8,1,0.00024872006178178196
8,22,0.00023588909992255935
8,23,0.0001460784450952879
8,24,0.00023231714867755215
8,26,0.0004171593483146552
8,27,0.00032543990760380836
8,29,0.0003075431749732793
8,30,0.0006740409254604174
8,4,0.0006597298250774486
8,7,8.842235931449949e-5
8,8,0.01042511312320471
9,11,0.00022502789878009466
9,12,0.0009617052625610079
9,13,0.007754371633430068
9,19,-0.0008241781386661984
9,1,0.0001867816639529174
9,22,0.00034095543383383387
9,23,0.00017600764418368442
9,24,0.00034020719595151405
9,26,0.00031433205638009554
9,27,0.0010583347414483413
9,29,0.00030126012406128666
9,30,0.0002767478915286503
9,4,0.0006735238033162005
9,7,0.00013247878575706196
9,8,-0.00024888645794396425
10,11,5.623939041932147e-5
10,12,0.0004413402321041815
10,13,-0.0005058707449210331
10,19,0.00044156175773135686
10,1,0.0003257871901238829
10,22,0.0007328772405319484
10,23,0.00017944203336917042
10,24,0.00036437155863833226
10,26,5.515145410583955e-5
10,27,0.00023136469636453327
10,29,0.00034306862486710443
10,30,0.00022906822229007417
10,4,0.00012206326060626438
10,7,0.00011593911016305469
10,8,0.010170561336876993
11,11,0.0010461126120624442
11,12,0.00011097912465229953
11,13,0.008102274268973808
11,19,9.298145478942033e-5
11,1,0.00016583652516199976
11,22,0.00037990782606645013
11,23,1.5191552242832529e-5
11,24,0.0004529693473784846
11,26,5.753515199202752e-5
11,27,0.00012783560435236652
11,29,0.0005797980207082887
11,30,0.00010409544913425606
11,4,2.422452913197759e-5
11,7,8.636933327998975e-5
11,8,0.00023967390500345687
12,11,-5.8852335686143675e-5
12,12,-0.09622175159832613
12,13,0.0002747086320926684
12,19,9.71964574962847e-5
12,1,8.010461003138403e-5
12,22,0.0008039362482197276
12,23,0.001279539326971335
12,24,0.00042349418658549354
12,26,2.5052150048665567e-5
12,27,0.00028580724532645263
12,29,0.0006553749766493588
12,30,0.00038563370680488873
12,4,0.0001513998838156283
12,7,0.0001413060068706784
12,8,0.0002574134962047836
13,11,-1.4501227271424e-5
13,12,0.0033414370877165034
13,13,0.0004475206545770938
13,19,9.618792902932327e-5
13,1,0.00024441917215778375
13,22,-4.163095093057123e-5
13,23,0.000162824076622492
13,24,0.00029890461671122637
13,26,4.778621117917936e-5
13,27,0.0003378294692648609
13,29,0.0004909839012716688
13,30,0.0006661713085724941
13,4,4.9057710338473726e-5
13,7,-0.012697183750779661
13,8,0.0006807972901312631
14,11,-6.739806435618334e-5
14,12,0.000785200861261437
14,13,0.0006327346996797267
14,19,5.236430609745213e-5
14,1,0.00039809475559948737
14,22,0.0007979139439395766
14,23,6.48666084273053e-5
14,24,0.007575539487673311
14,26,5.1382493829521536e-5
14,27,0.0007703824251894531
14,29,0.0003919301405592712
14,30,0.00038886908712276735
14,4,2.4904963751293252e-5
14,7,0.0006897131182066474
14,8,9.539406072356371e-5
15,11,-3.80850420702572e-5
15,12,0.00037527060703590465
15,13,0.0004499485325135666
15,19,6.74210105358064e-5
15,1,-8.776619212325087e-5
15,22,0.0003695605978837335
15,23,0.00028805217176719466
15,24,0.007533866511373333
15,26,8.46247951091783e-6
15,27,0.00027709042295320785
15,29,0.0006644881464943353
15,30,0.0006436299508916221
15,4,6.159208540079675e-5
15,7,-0.012309680857409688
15,8,0.0002694542752252893
16,11,-1.853672678375773e-5
16,12,0.0006799896205142986
16,13,0.00040480836129486164
16,19,-0.006872931033949925
16,1,0.0006535644952108122
16,22,4.318180066231747e-5
16,23,-0.0007100355070357445
16,24,0.00036097790611622216
16,26,3.923049117471322e-5
16,27,0.0003075077470739984
16,29,-0.0033104296585824144
16,30,0.0003872071319070969
16,4,1.2852075182312461e-5
16,7,0.00011399363226516357
16,8,0.0005341555474314141
17,11,-0.0002694724772838164
17,12,0.0006989121257947595
17,13,0.0007418562436658505
17,19,-0.00017180745725253743
17,1,0.00038900403665786953
17,22,-0.00022332082125986474
17,23,0.00031516075431436974
17,24,0.0007291993871323399
17,26,2.5396052979687056e-5
17,27,0.0002930681928119405
17,29,0.00169824755591641
17,30,-0.00017884466405959643
17,4,1.3387196584169203e-5
17,7,0.00015675643334844835
17,8,0.00034583537195143066
18,11,0.00020220241519552928
18,12,0.0008603263309532316
18,13,0.0004563667866563925
18,19,8.6087784425537e-6
18,1,0.0006490287799376659
18,22,0.0006674498596841438
18,23,0.0007228952233000463
18,24,0.00044235053921592993
18,26,3.1641426043726995e-5
18,27,0.0005267406055065038
18,29,0.05554106494067046
18,30,0.0003092191524429744
18,4,3.0067694601676465e-5
18,7,0.013469542561511005
18,8,0.0007519309345207503
19,11,0.0008886576689848269
19,12,0.0002948205944859339
19,13,0.0004759470795772103
19,19,0.00029827248983860244
19,1,0.00038845251948149695
19,22,0.0006576556909738684
19,23,-0.011262194730243813
19,24,0.0002883140201968004
19,26,1.9273147843890115e-5
19,27,0.0003769262457620215
19,29,-0.09052005563142496
19,30,0.0007353382446169121
19,4,1.2178842194732198e-5
19,7,0.013614996937503232
19,8,0.0003457107467443876
20,11,0.0003278465182039447
20,12,-0.00046494742792546617
20,13,0.00038835076034748894
20,19,0.0006845271029920497
20,1,0.0005820825887781211
20,22,0.00039484451546112354
20,23,-0.012161109008584248
20,24,0.0006793979507984105
20,26,1.3844248907268764e-5
20,27,0.00112122535593695
20,29,0.0003730571672599936
20,30,0.00039040095578002365
20,4,8.033628260406545e-6
20,7,-0.280161851310504
20,8,0.000730322081806456
21,11,0.0007560129602692811
21,12,0.0004922687262309822
21,13,0.000495402467565853
21,19,0.0006661940771270913
21,1,0.00027281162248860014
21,22,0.0006473312326571445
