Storage,Scenario,dualcvarstorage
H2,11,1.7904165101955043e-12
H2,12,1.207998768730789e-12
H2,13,0.06666666666418958
H2,19,2.603518662694505e-12
H2,1,0.06666666666444786
H2,22,0.06666666666425214
H2,23,2.5844165883584435e-12
H2,24,0.06666666665788798
H2,26,7.60508734968652e-12
H2,27,0.033333332918703946
H2,29,0.06666666666380902
H2,30,0.06666666666071593
H2,4,0.06666666666273231
H2,7,1.3136880433855548e-12
H2,8,2.3009607139436704e-12
BESS,11,4.635912584895096e-12
BESS,12,3.0651598896891256e-12
BESS,13,0.06666666666373015
BESS,19,3.924400535151468e-12
BESS,1,0.06666666666215047
BESS,22,0.0666666666649611
BESS,23,2.022759393899336e-12
BESS,24,0.06666666664981512
BESS,26,0.06666666645681305
BESS,27,3.4754244107936398e-12
BESS,29,0.0666666666635537
BESS,30,0.03333333466482283
BESS,4,0.0666666666586979
BESS,7,9.518639359306164e-13
BESS,8,9.96142102179114e-12
