Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
H2,1,11,-218.3995349437289,-3.70468603154696e-7,-7.849653642828914e-9
H2,1,12,-3.821066180758444e-7,-4.915178927192178e-7,-6.87667828245983e-8
H2,1,13,-1.1600869735663586e-6,-3.704683947752736e-7,-7.252315988325159e-9
H2,1,19,-311.99970866282683,-3.7046850913982407e-7,-5.828979336937896e-9
H2,1,1,-4.078535253340535e-7,-3.7046836579314006e-7,-2.1989780883462084e-8
H2,1,22,-4.7615915358184064e-7,-3.70468404910199e-7,-1.696608174075731e-8
H2,1,23,-3.9238358497711815e-7,-4.5448357300115034e-7,-4.577025057764187e-8
H2,1,24,-3.7981453881777744e-7,-5.601751980118239e-7,-7.43917650728484e-8
H2,1,26,-4.0158070786373485e-7,-5.968935590459653e-7,-4.841961330858758e-8
H2,1,27,-1.069226209030768e-6,-3.868369675163566e-7,-1.7020209306073125e-8
H2,1,29,-3.770898475243535e-7,-4.771817143086112e-7,-6.703262900312369e-8
H2,1,30,-3.7059843469444794e-7,-145.67627864648318,-2.7863295170762145e-7
H2,1,4,-7.233642377106278e-6,-3.705798506156734e-7,-1.4102059399771657e-8
H2,1,7,-4.5398428061584627e-7,-3.7046865512434317e-7,-1.911030874415637e-8
H2,1,8,-3.705988770793665e-7,-40.040001798819475,-1.8255166308893788e-7
H2,2,11,-3.7182520429337826e-7,-9.261065660928143e-7,-8.857502888425944e-9
H2,2,12,-3.902469232661811e-7,-5.080592731671876e-7,-9.692509339248261e-8
H2,2,13,-3.705987753152409e-7,-48.04801838596933,-7.672789543422372e-9
H2,2,19,-3.7516733316829296e-7,-9.393464374194869e-6,-7.83180716269764e-9
H2,2,1,-4.2043080732186815e-7,-3.704684519162365e-7,-1.7155887103101736e-8
H2,2,22,-1.4735718053811859e-6,-3.7046843842057574e-7,-6.807639537903381e-9
H2,2,23,-4.057306780761634e-7,-4.7349474298370805e-7,-4.523990063463341e-8
H2,2,24,-3.816250793052028e-7,-4.156419719607325e-7,-8.16543490549268e-8
H2,2,26,-3.8111840995252477e-7,-5.667498474494095e-7,-1.6284271024132485e-7
H2,2,27,-3.965768024008093e-7,-1.3591152112348988e-6,-1.906958466565561e-8
H2,2,29,-4.0221545679988486e-7,-5.041435655111559e-7,-7.027450245918443e-8
H2,2,30,-3.7046859110892693e-7,-3.704685533650897e-7,-2.786285763879255e-7
H2,2,4,-4.80742182042307e-7,-3.704684448900152e-7,-1.0333858584022288e-8
H2,2,7,-26.728430240352605,-3.7046887270256877e-7,-7.94162436590724e-9
H2,2,8,-4.1201426888089745e-7,-3.705802879076251e-7,-8.413455807024885e-8
H2,3,11,-103.99975672724997,-3.705801334590615e-7,-6.174233630467571e-9
H2,3,12,-4.002990453235429e-7,-5.236138989331192e-7,-1.1593163571785969e-7
H2,3,13,-3.7059833056289233e-7,-384.384184294775,-1.4308821033976859e-8
H2,3,19,-3.7817317717132897e-7,-6.742815311790748e-6,-9.608955170020304e-9
H2,3,1,-4.2171862529034747e-7,-3.7057985064582097e-7,-1.5567337450281393e-8
H2,3,22,-189.30207112163677,-3.704684332656772e-7,-4.549599656302501e-9
H2,3,23,-3.7959174501036234e-7,-4.4191101147736086e-7,-8.13184565172106e-8
H2,3,24,-3.7920607163883247e-7,-6.380496205074164e-7,-17.763420540701023
H2,3,26,-3.873981994094589e-7,-5.815669559077078e-7,-5.720000548942055
H2,3,27,-3.82826627091644e-7,-1.241028011449653e-6,-2.7710947514271682e-8
H2,3,29,-3.850182981011533e-7,-5.098457519081907e-7,-9.454955306811477e-8
H2,3,30,-3.935157030774921e-7,-3.6987915469629076e-7,-5.7178994974749095e-8
H2,3,4,-7.22927006328877e-6,-3.705797949118086e-7,-6.551887164957395e-9
H2,3,7,-6.391468040015082,-3.70580397309274e-7,-5.558819637903857e-9
H2,3,8,-1.8290530170051459e-6,-3.7046873523868105e-7,-9.453990282100051e-9
H2,4,11,-3.7137017754913493e-7,-9.902133141829973e-6,-7.300086865807287e-9
H2,4,12,-3.852962002823467e-7,-5.267247107632695e-7,-2.933744798766866e-7
H2,4,13,-3.705984518586389e-7,-132.1320554943983,-2.036253528543241e-8
H2,4,19,-166.39986312599098,-3.7046870088095794e-7,-5.4772531875459005e-9
H2,4,1,-3.5186771698382454e-6,-3.7046851261540523e-7,-7.436917313683385e-9
H2,4,22,-3.705986021251772e-7,-16.607984003700622,-4.926554287570715e-9
