Storage,Scenario,dualcvarstorage
H2,13,5.769714832759738e-17
H2,15,0.09999999999999772
H2,16,0.09999999999999984
H2,19,0.09999999999999981
H2,1,2.758636011535644e-15
H2,22,3.346918601135782e-17
H2,24,7.850522158252345e-17
H2,26,4.3977282278269336e-16
H2,28,0.09999999999999974
H2,29,1.1972969245089e-16
H2,2,0.09999999999999971
H2,30,0.05000000000001011
H2,6,1.7348679084255331e-16
H2,7,0.09999999999999987
H2,9,0.09999999999999974
BESS,13,1.8680702161667982e-16
BESS,15,0.05000000000009131
BESS,16,0.09999999999999971
BESS,19,0.0999999999999998
BESS,1,0.09999999999999967
BESS,22,1.7712438310800705e-16
BESS,24,1.2170020577456946e-16
BESS,26,4.0430965144588316e-16
BESS,28,0.09999999999999964
BESS,29,4.634529024892273e-16
BESS,2,0.09999999999999962
BESS,30,6.459168846455883e-16
BESS,6,1.524260183780451e-16
BESS,7,0.09999999999999978
BESS,9,0.09999999999999969
