Time,Scenario,Residual
1,13,7.498486850110453e-6
1,15,8.05703275128522e-5
1,16,1.3191391560418708e-5
1,19,3.950077419823117e-6
1,1,2.2439946558705515e-5
1,22,2.091172096108096e-5
1,24,1.3400541954311507e-5
1,26,-3.221568406619468e-5
1,28,1.7718041620540248e-5
1,29,-8.124248508600829e-6
1,2,1.6877439709794828e-5
1,30,-1.4838939557115793e-5
1,6,2.240402001429942e-5
1,7,1.4100538399119955e-6
1,9,2.9045674740046934e-5
2,13,5.114558145891124e-6
2,15,2.081998143044217e-5
2,16,1.3197614834759008e-5
2,19,2.8171628483342204e-5
2,1,-2.056587129928289e-6
2,22,-3.4028824460463625e-6
2,24,1.5301704379133696e-5
2,26,-7.413845466430757e-7
2,28,4.74526386184948e-6
2,29,6.471181339229304e-6
2,2,1.3970608264912698e-5
2,30,-3.701052647020475e-5
2,6,2.058878166089073e-5
2,7,4.20148262048059e-6
2,9,1.225817587791056e-5
3,13,3.009487159033597e-6
3,15,1.3227133599968965e-5
3,16,1.3494439607519837e-5
3,19,-1.1362838243655915e-6
3,1,5.225061871172443e-6
3,22,4.511496731751663e-7
3,24,-9.034926764073248e-6
3,26,-3.035243355675732e-5
3,28,-0.0005345734580410877
3,29,2.377138464737527e-6
3,2,1.8617025726364034e-5
3,30,-3.9584206445120174e-5
3,6,-8.558995792107282e-6
3,7,6.67582442659409e-7
3,9,9.927229038808605e-6
4,13,-1.0640212510182323e-5
4,15,1.532972355633433e-5
4,16,-1.7402896132168166e-5
4,19,1.5801429894324315e-5
4,1,2.7958695039131953e-6
4,22,-6.130271550830457e-6
4,24,-5.543541366392901e-6
4,26,1.3742207295663889e-5
4,28,-1.6855936967097307e-5
4,29,-1.8942999893134527e-5
4,2,-1.5205142307905817e-5
4,30,-1.6058545948993697e-5
4,6,-5.8343282256956286e-5
4,7,2.12856936991912e-5
4,9,-3.087437655402425e-5
5,13,-7.257833731344476e-6
5,15,3.153098479202754e-6
5,16,-5.625197957215278e-5
5,19,4.331110613620126e-5
5,1,-1.9469311340003514e-5
5,22,-1.3399092514632116e-5
5,24,-7.612795424449814e-5
5,26,-1.1065142073718448e-6
5,28,6.146392635741904e-6
5,29,2.071864981800786e-6
5,2,-1.1869563174116138e-5
5,30,-1.4329942713331434e-5
5,6,-3.8568243972747496e-5
5,7,-1.9696490227261165e-5
5,9,2.1695070608451772e-5
6,13,-2.0363235499587518e-5
6,15,5.358792100018661e-5
6,16,-6.99148502913971e-6
6,19,-4.071678262995704e-5
6,1,-2.1584360707649353e-6
6,22,-0.0005636817426211138
6,24,6.746507722699135e-5
6,26,1.6823505985641418e-5
6,28,-7.171973152608757e-5
6,29,-1.6142216949788235e-6
6,2,-1.8436854505310407e-5
6,30,-1.7834495706026132e-5
6,6,-3.579909542317239e-5
6,7,5.016940852975438e-6
6,9,-2.7633089292322666e-6
7,13,-1.6754729485590758e-5
7,15,-9.44621649701105e-6
7,16,-8.145721901442471e-6
7,19,-4.244292674826511e-5
7,1,4.670628433345314e-6
7,22,7.716630925358459e-7
7,24,5.464384590148086e-5
7,26,-2.7378024124224964e-5
7,28,-6.813565146579492e-5
7,29,3.5511878291316634e-6
7,2,-2.199738460895162e-5
7,30,-0.00011372830365541375
7,6,-9.203648366096218e-6
7,7,-1.9595858935517185e-5
7,9,-1.967621568788047e-6
8,13,1.9990497817090613e-5
8,15,2.7127304882412773e-6
8,16,-1.0260143177731607e-5
8,19,-4.3931325102164465e-6
8,1,-2.2303914875010378e-6
8,22,-0.0002402871968731901
8,24,1.7682443508526546e-5
8,26,1.3432927540080186e-5
8,28,-6.330044743130259e-5
8,29,7.552130432131321e-7
8,2,-2.0949073633147464e-5
8,30,-2.5831179430113593e-5
8,6,-1.5700278659380729e-6
8,7,7.381924376659299e-6
8,9,1.0101782041971319e-6
9,13,2.0279058667860284e-5
9,15,0.00010831971185254474
9,16,-7.276934502087329e-6
9,19,-1.987119738977583e-5
9,1,9.555164250940607e-7
9,22,-0.00023063881407203723
9,24,5.49048546769626e-5
9,26,-2.962408096784941e-5
9,28,-2.5736327332381848e-5
9,29,3.2747802466204234e-5
9,2,4.736265530880246e-7
9,30,-8.134533484316364e-5
9,6,-9.026500533693138e-6
9,7,0.0001086523889419766
9,9,-6.981840137143536e-7
10,13,1.9298143675072765e-5
10,15,-2.973693094432406e-6
10,16,7.720609487726904e-5
10,19,-1.8234085716883897e-6
10,1,-1.1235453563962494e-5
10,22,1.6476838142764905e-6
10,24,-9.068746846807585e-7
10,26,4.674238217639015e-5
10,28,-4.734146074270029e-6
10,29,2.9230828122450703e-6
10,2,-3.740522506845423e-6
10,30,5.7104487650505575e-5
10,6,-5.910853195345567e-6
10,7,7.5539623169973424e-6
10,9,-2.2240994255184887e-6
11,13,-1.7377810585195164e-5
11,15,0.00011432800317479064
11,16,-1.108921206949276e-5
11,19,-1.9105736681623853e-5
11,1,-9.808136830713465e-6
11,22,-0.00022622291201734868
11,24,-1.5683504148711336e-5
11,26,1.6011639375257403e-5
11,28,-2.2961244492414323e-5
11,29,9.278684645508406e-6
11,2,-2.1268617569347725e-6
11,30,-2.2464043655467947e-5
11,6,4.283772341295844e-7
11,7,-7.568403113111799e-7
11,9,-7.82723812520203e-6
12,13,-4.3265692257321575e-5
12,15,-5.192346300475492e-6
12,16,-8.42921221089199e-6
12,19,-1.768583813799296e-5
12,1,-1.2150097425056572e-5
12,22,-0.00021724154829705355
12,24,-5.865991428599671e-6
12,26,-2.9026369395168672e-5
12,28,-5.2550250794425324e-5
12,29,8.10983306731572e-6
12,2,-4.0409947565933635e-6
12,30,-8.20077178165235e-6
12,6,-2.2807498805121895e-6
12,7,-3.2918986283547724e-6
12,9,-4.498199471747455e-5
13,13,2.1088801115176636e-5
13,15,-5.422315210168449e-7
13,16,-1.1955030540633516e-5
13,19,-1.4255904932980457e-5
13,1,-1.0748221521694745e-5
13,22,-0.0006394986065814123
13,24,8.936888233090912e-5
13,26,7.18014027789593e-7
13,28,-5.3779050533719897e-5
13,29,1.1161054386477076e-5
13,2,1.6637281738951515e-5
13,30,2.641910048062357e-6
13,6,-1.6666839293577596e-5
13,7,-2.327834327431333e-5
13,9,6.78625994332549e-6
14,13,-1.9549655794648402e-5
14,15,-5.157380911668952e-6
14,16,-9.818226360813753e-6
14,19,2.55624429286172e-5
14,1,-1.5759727479469632e-5
14,22,0.0006543413988913116
14,24,-5.654102331220656e-6
14,26,3.7739021392368954e-5
14,28,-5.253066418120511e-5
14,29,2.6808220736640465e-5
14,2,-9.37468868400515e-6
14,30,-9.301179137999327e-6
14,6,5.928920756126388e-6
14,7,-4.097406071323917e-6
14,9,9.674519238167534e-6
15,13,-1.8143611540288873e-5
15,15,6.29674307450756e-6
15,16,4.661970987207553e-5
15,19,4.434586449342248e-5
15,1,0.00018646233817332103
15,22,-0.00029998272059472697
15,24,-3.9828432548461024e-5
15,26,-2.7102297517345164e-6
15,28,-5.261997305616717e-5
15,29,4.843485863048613e-6
15,2,-5.318725015968084e-9
15,30,-6.776734412738961e-6
15,6,-0.02467095469957936
15,7,-9.094744873650029e-6
15,9,6.9846009234098005e-6
16,13,2.980638032923366e-5
16,15,-6.281069470759348e-6
16,16,2.693566314082574e-5
16,19,-9.140118363504257e-6
16,1,0.00015683143622524653
16,22,2.6849841878728853e-6
16,24,3.441122484293402e-5
16,26,9.480173023490579e-6
16,28,1.7162185530494867e-5
16,29,1.0904857299820492e-5
16,2,-1.943930810188732e-5
16,30,-7.77403331042592e-6
16,6,-2.6519190617690924e-5
16,7,-9.080281984985561e-6
16,9,3.4686574345244026e-5
17,13,-0.0067655661831711456
17,15,-1.3649235606649768e-5
17,16,2.9841957365661642e-5
17,19,-7.734934987624342e-6
17,1,-3.026630622571247e-6
17,22,1.1314840797638226e-6
17,24,4.0742041791830275e-5
17,26,-1.756512930217724e-5
17,28,-1.7472246708116757e-5
17,29,6.163182456830896e-6
17,2,-9.082962975526243e-6
17,30,4.590895887446322e-6
17,6,-3.23110053539466e-5
17,7,1.2450915276573937e-6
