Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
H2,1,13,-2.7053871931727795e-7,-3.305395134323393e-7,-3.1814746366882874e-8
H2,1,15,-8.772296797245651e-6,-2.7054069007969077e-7,-5.292472272553534e-9
H2,1,16,-2.7051290068351746e-7,-4.229072787876434e-7,-1.9886950804163818e-8
H2,1,19,-2.7051761125027603e-7,-2.768058226321752e-7,-1.7232609432394746e-8
H2,1,1,-2.705384732230063e-7,-4.4702422206693774e-7,-4.176293909064141e-8
H2,1,22,-2.7053187941721403e-7,-3.0677535231619626e-7,-2.058237919024412e-8
H2,1,24,-2.704998226915827e-7,-3.572385371201009e-7,-1.9319385309668505e-8
H2,1,26,-2.704859558875899e-7,-3.4935076375010083e-7,-1.8721417461334963e-8
H2,1,28,-2.705161909178236e-7,-2.714914937160709e-7,-1.7066986948134435e-8
H2,1,29,-5.103568807931841,-2.705417115429858e-7,-3.84170854037326e-9
H2,1,2,-2.705277796734135e-7,-2.8092875947952056e-7,-1.7499807560645423e-8
H2,1,30,-3.9565529463358585e-7,-2.705473961342858e-7,-7.763648419006853e-9
H2,1,6,-2.705236599609603e-7,-6.738765524938804e-7,-3.824315280093715e-8
H2,1,7,-2.705305979278146e-7,-5.466524286876976e-7,-2.8448761086144917e-8
H2,1,9,-2.705360755487688e-7,-2.714304896658937e-7,-1.7127736558482903e-8
H2,2,13,-2.705081121166356e-7,-3.2917697587815736e-7,-3.932612338280827e-8
H2,2,15,-2.7054345736059525e-7,-2.7289904471905237,-8.047788516882393e-9
H2,2,16,-2.705252571528681e-7,-3.4888570151415733e-7,-2.372853404545829e-8
H2,2,19,-2.705201638838549e-7,-2.717728646486082e-7,-1.727313743145613e-8
H2,2,1,-3.403103307937126,-2.7053886855215554e-7,-9.560763544439032e-9
H2,2,22,-2.7050096644541535e-7,-5.594772660554381e-7,-2.9520705994133273e-8
H2,2,24,-2.7054021662003445e-7,-3.7316481351713334e-7,-8.116833364708664e-7
H2,2,26,-2.705314129143418e-7,-2.746023771826122e-7,-1.9221484346825283e-8
H2,2,28,-2.7053825978462713e-7,-2.710032828130918e-7,-1.7108662476865563e-8
H2,2,29,-2.705309546997886e-7,-6.906228809278448e-7,-4.693167391422089e-9
H2,2,2,-2.70509053158041e-7,-4.806705270347892e-7,-2.0795427781631266e-8
H2,2,30,-2.705461573460712e-7,-2.705470744843026e-7,-7.763672310898775e-9
H2,2,6,-2.705092793727323e-7,-1.2138141905283353e-6,-0.25561195651487895
H2,2,7,-2.705399025271479e-7,-3.155256263741389e-7,-4.904217294828034e-8
H2,2,9,-2.7053630535657385e-7,-3.131998514881131e-7,-2.171884924956377e-8
H2,3,13,-2.704833616946944e-7,-3.1805798706645877e-7,-4.4795586709241075e-8
H2,3,15,-2.70539452832296e-7,-1.2221085934513636,-1.1035651632265518e-8
H2,3,16,-2.705165221889034e-7,-4.340478703667464e-7,-3.087375280166371e-8
H2,3,19,-2.7053699424146235e-7,-2.820004612355174e-7,-1.8270352990393244e-8
H2,3,1,-2.705218670123201e-7,-3.554796985957683e-7,-1.0291413012407642e-8
H2,3,22,-2.705278510532967e-7,-3.9025004517103146e-7,-7.559960914280226e-8
H2,3,24,-170.1712689351889,-2.7054728118459906e-7,-1.3305562707664051e-8
H2,3,26,-2.705048583261778e-7,-3.101618783991067e-7,-2.0957456058215972e-8
H2,3,28,-2.7052023027314875e-7,-2.6852162745264916e-7,-1.7054323097442904e-8
H2,3,29,-2.7049306674237296e-7,-1.613322864194103e-6,-5.163084509611581e-9
H2,3,2,-2.705407561128699e-7,-2.719788407720447e-7,-2.106718548947707e-8
H2,3,30,-2.716746306936547e-7,-2.705473961760073e-7,-7.708515700285542e-9
H2,3,6,-2.705443439190365e-7,-2.705340026966834e-7,-8.253023680580892
H2,3,7,-2.705200733046486e-7,-6.503574365169374e-7,-2.6583349392164417e-7
H2,3,9,-2.7051223525937823e-7,-6.54738210849409e-7,-3.409132319741161e-8
H2,4,13,-2.3821121718572225,-2.705351359652062e-7,-8.589792462333783e-9
H2,4,15,-2.705397378792556e-7,-1.4190732316726153,-1.7551944908438713e-8
H2,4,16,-2.705223975239568e-7,-4.28123189842163e-6,-3.02821881300163e-7
H2,4,19,-2.705353945159418e-7,-2.715124900924342e-7,-1.835006828743151e-8
H2,4,1,-2.7053294065343917e-7,-6.184700142928226e-7,-1.501617584285965e-8
H2,4,22,-2.704913337320169e-7,-6.257480238451119e-7,-0.18843115865805687
H2,4,24,-154.7011383351906,-2.70547256185682e-7,-7.02442551587695e-9
H2,4,26,-2.7050432102993e-7,-2.736791892485722e-7,-2.113423203814653e-8
H2,4,28,-2.704978720100476e-7,-2.743356852593452e-7,-1.7119319227078682e-8
H2,4,29,-2.705151553474286e-7,-2.700862742487881e-7,-5.161552036106321e-9
H2,4,2,-2.705169273038124e-7,-6.088190931162787e-7,-3.022629188527947e-8
H2,4,30,-3.3340525345304526e-7,-2.7054725265984214e-7,-6.666744836254123e-9
H2,4,6,-3.511998260502885e-7,-2.705472340117452e-7,-4.319304949796384e-8
H2,4,7,-2.7051731455767137e-7,-3.12287720646264e-7,-3.5270988959159878e-6
H2,4,9,-2.705198821738765e-7,-5.935110681527084e-7,-1.0402576022592575e-7
H2,5,13,-1.7014961617059583,-2.705302442848989e-7,-5.445752707432436e-9
H2,5,15,-2.7053493811533676e-7,-0.8732791271503918,-2.75718547625659e-8
H2,5,16,-3.0268256193734537e-6,-2.7052984380951546e-7,-9.318135945361817e-9
H2,5,19,-2.704551283252912e-7,-2.7260437737649666e-7,-1.837241256032557e-8
H2,5,1,-2.7052651144326454e-7,-2.7032453978288286e-7,-1.5010383198110458e-8
H2,5,22,-2.7053223968109575e-7,-2.705248128666333e-7,-0.10306861027791822
H2,5,24,-371.28252316176633,-2.705474163834673e-7,-4.112414928417683e-9
H2,5,26,-2.7047509284903624e-7,-2.85423381264275e-7,-2.1633919545602023e-8
H2,5,28,-2.705386313490363e-7,-2.709795629938405e-7,-1.71606216298617e-8
H2,5,29,-2.704979769430192e-7,-7.490877844989362e-7,-5.643362800821565e-9
H2,5,2,-2.7052841654750426e-7,-4.6101256623223564e-7,-6.260556148404544e-8
H2,5,30,-2.705470654381017e-7,-34.235978308622904,-7.4363797906633674e-9
H2,5,6,-2.7054703605301256e-7,-1.9839977803078575e-6,-3.28982527258193e-7
H2,5,7,-3.969679437125311,-2.7054011026867823e-7,-1.059471746047533e-8
H2,5,9,-2.70504796510579e-7,-4.2220946633843476e-7,-8.080617310510584e-7
H2,6,13,-2.7051170476336334e-7,-9.460403196919524e-7,-6.339024584457573e-9
H2,6,15,-0.00010702511370847814,-2.705381136365299e-7,-7.307653702372545e-9
H2,6,16,-2.7052971294146906e-7,-9.876857297708306e-7,-1.326724996723596e-8
H2,6,19,-2.705254558727335e-7,-3.6262553381291267e-7,-2.2112032596656457e-8
H2,6,1,-2.705092657836311e-7,-5.053100749201259e-7,-1.7544947300449292e-8
H2,6,22,-3.348471195054289e-7,-2.7053431112279166e-7,-9.690503331602102e-8
H2,6,24,-4.614325379642802e-7,-2.704915510821018e-7,-3.728667563243164e-9
H2,6,26,-2.7047849746066016e-7,-2.746877674905967e-7,-2.178768192983798e-8
H2,6,28,-2.704972408933042e-7,-3.5544814087215907e-7,-1.8329435277988796e-8
H2,6,29,-2.704859438974108e-7,-1.022058716845403e-6,-6.174070456824021e-9
H2,6,2,-2.705098281781868e-7,-1.1841098053519457e-6,-0.15598876710185636
H2,6,30,-2.7054736678596724e-7,-97.00193095749071,-1.1051059908318362e-8
H2,6,6,-5.852998490460477e-6,-2.7054721298757006e-7,-1.0778568804694232e-8
H2,6,7,-2.7051595056533503e-7,-2.814079115604554e-7,-1.0708918204663211e-8
H2,6,9,-330.02967438591565,-2.7054740228167996e-7,-9.194132512009101e-9
H2,7,13,-2.704975261417204e-7,-1.0686135765492936e-6,-7.224514534000458e-9
H2,7,15,-2.705363392506455e-7,-0.9825116911483968,-8.806645720085066e-9
H2,7,16,-2.7052748776467135e-7,-2.239518231400518e-6,-2.424562806891041e-8
H2,7,19,-2.7050848000225273e-7,-3.1668654232621734e-7,-2.369608949206143e-8
H2,7,1,-2.705271687169639e-7,-6.06461596308066e-7,-2.817517345896474e-8
H2,7,22,-224.10259748833218,-2.705473454521838e-7,-8.998875813403446e-9
