Y,T,Weights
17,1,4
17,2,6
17,3,1
17,4,3
17,5,3
17,6,4
17,7,2
17,8,10
17,9,2
17,10,3
17,11,2
17,12,1
17,13,2
17,14,2
17,15,2
17,16,3
17,17,5
17,18,2
17,19,2
17,20,3
17,21,2
17,22,5
17,23,2
17,24,8
17,25,2
17,26,1
17,27,4
17,28,2
17,29,4
17,30,2
17,31,1
17,32,8
17,33,3
17,34,4
17,35,2
17,36,3
17,37,2
17,38,2
17,39,5
17,40,3
17,41,2
17,42,2
17,43,4
17,44,2
17,45,3
17,46,2
17,47,9
17,48,1
17,49,2
17,50,5
17,51,2
17,52,3
17,53,2
17,54,1
17,55,8
17,56,2
17,57,1
17,58,4
17,59,3
17,60,2
17,61,2
17,62,2
17,63,4
17,64,2
17,65,2
17,66,2
17,67,1
17,68,4
17,69,3
17,70,3
17,71,2
17,72,3
17,73,3
17,74,6
17,75,2
17,76,1
17,77,1
17,78,3
17,79,2
17,80,2
17,81,2
17,82,8
17,83,1
17,84,2
17,85,5
17,86,2
17,87,2
17,88,2
17,89,1
17,90,3
17,91,3
17,92,2
17,93,2
17,94,3
17,95,3
17,96,2
17,97,3
17,98,2
17,99,1
17,100,6
17,101,3
17,102,3
17,103,7
17,104,2
17,105,2
17,106,1
17,107,1
17,108,1
17,109,2
17,110,2
17,111,3
17,112,3
17,113,5
17,114,2
17,115,3
17,116,2
17,117,4
17,118,5
17,119,3
17,120,4
17,121,6
17,122,2
17,123,6
17,124,2
17,125,3
17,126,3
17,127,2
17,128,3
17,129,2
17,130,2
17,131,2
17,132,7
17,133,4
17,134,4
17,135,3
17,136,2
17,137,2
17,138,2
17,139,3
17,140,5
17,141,3
17,142,4
17,143,3
17,144,3
17,145,2
17,146,1
17,147,8
17,148,3
17,149,2
17,150,3
17,151,2
17,152,2
17,153,2
17,154,2
17,155,3
17,156,5
17,157,1
17,158,2
17,159,4
17,160,3
17,161,2
17,162,2
17,163,1
17,164,2
17,165,2
17,166,4
17,167,1
17,168,2
17,169,2
17,170,3
17,171,1
17,172,1
17,173,4
17,174,2
17,175,1
17,176,5
17,177,3
17,178,3
17,179,5
17,180,5
17,181,2
17,182,4
17,183,7
17,184,1
17,185,5
17,186,2
17,187,2
17,188,2
17,189,5
17,190,3
17,191,4
17,192,1
17,193,5
17,194,2
17,195,4
17,196,2
17,197,8
17,198,2
17,199,1
17,200,4
17,201,1
17,202,1
17,203,4
17,204,2
17,205,1
17,206,8
17,207,2
17,208,1
17,209,4
17,210,1
17,211,2
17,212,3
17,213,2
17,214,1
17,215,8
17,216,2
17,217,1
17,218,4
17,219,1
17,220,2
17,221,2
17,222,2
17,223,2
17,224,8
17,225,2
17,226,1
17,227,4
17,228,1
17,229,1
17,230,4
17,231,2
17,232,1
17,233,8
17,234,2
17,235,1
17,236,4
17,237,1
17,238,1
17,239,1
17,240,3
17,241,2
17,242,1
17,243,9
17,244,1
17,245,1
17,246,1
17,247,3
17,248,1
17,249,1
17,250,1
17,251,3
17,252,3
17,253,5
17,254,5
17,255,1
17,256,1
17,257,3
17,258,1
17,259,2
17,260,3
17,261,2
17,262,9
17,263,2
17,264,2
17,265,3
17,266,1
17,267,1
17,268,4
17,269,2
17,270,1
17,271,8
17,272,2
17,273,1
17,274,5
17,275,6
17,276,2
17,277,8
17,278,2
17,279,2
17,280,4
17,281,1
17,282,4
17,283,2
17,284,1
17,285,8
17,286,2
17,287,6
17,288,2
17,289,3
17,290,2
17,291,4
17,292,5
17,293,3
17,294,5
17,295,2
17,296,3
17,297,2
17,298,4
17,299,6
17,300,2
17,301,3
17,302,2
17,303,2
17,304,3
17,305,2
17,306,4
17,307,7
17,308,2
17,309,3
17,310,3
17,311,3
17,312,2
17,313,1
17,314,5
17,315,3
17,316,2
17,317,1
17,318,1
17,319,3
17,320,1
17,321,1
17,322,4
17,323,2
17,324,1
17,325,8
17,326,1
17,327,1
17,328,1
17,329,4
17,330,1
17,331,1
17,332,1
17,333,3
17,334,2
17,335,4
17,336,5
17,337,1
17,338,1
17,339,1
17,340,4
17,341,1
17,342,2
17,343,3
17,344,2
17,345,1
17,346,5
17,347,3
17,348,2
17,349,2
17,350,3
17,351,2
17,352,5
17,353,1
17,354,2
17,355,2
17,356,5
17,357,3
17,358,5
17,359,2
17,360,3
17,361,2
17,362,6
17,363,4
17,364,2
17,365,4
17,366,3
17,367,3
17,368,2
17,369,6
17,370,5
17,371,2
17,372,3
17,373,1
17,374,2
17,375,3
17,376,2
17,377,4
17,378,2
17,379,3
17,380,1
17,381,1
17,382,1
17,383,4
17,384,1
17,385,2
17,386,3
17,387,2
17,388,6
17,389,2
17,390,2
17,391,2
17,392,1
17,393,3
17,394,2
17,395,2
17,396,2
17,397,2
17,398,4
17,399,5
17,400,1
17,401,1
17,402,1
17,403,4
17,404,1
17,405,1
17,406,4
17,407,2
17,408,4
17,409,5
17,410,2
17,411,1
17,412,1
17,413,3
17,414,1
17,415,1
17,416,4
17,417,2
17,418,1
17,419,8
17,420,1
17,421,1
17,422,1
17,423,4
17,424,1
17,425,2
17,426,3
17,427,2
17,428,6
17,429,4
17,430,1
17,431,1
17,432,1
17,433,3
17,434,1
17,435,1
17,436,1
17,437,4
17,438,2
17,439,5
17,440,4
17,441,1
17,442,1
17,443,4
17,444,1
17,445,1
17,446,6
17,447,9
17,448,1
17,449,1
17,450,1
17,451,4
17,452,1
17,453,1
17,454,4
17,455,2
17,456,1
17,457,8
17,458,2
17,459,2
17,460,5
17,461,5
17,462,2
17,463,5
17,464,3
17,465,1
17,466,1
17,467,1
17,468,2
17,469,2
17,470,1
17,471,1
17,472,1
17,473,3
17,474,2
17,475,5
17,476,4
17,477,1
17,478,1
17,479,1
17,480,1
17,481,3
17,482,1
17,483,1
17,484,1
17,485,3
17,486,2
17,487,1
17,488,3
17,489,5
17,490,1
17,491,1
17,492,1
17,493,4
17,494,1
17,495,1
17,496,1
17,497,4
17,498,2
17,499,5
17,500,4
17,501,2
17,502,2
17,503,3
17,504,2
17,505,4
17,506,2
17,507,3
17,508,6
17,509,1
17,510,1
17,511,3
17,512,2
17,513,1
17,514,5
17,515,1
17,516,4
17,517,5
17,518,1
17,519,1
17,520,4
17,521,2
17,522,1
17,523,2
17,524,2
17,525,2
17,526,6
17,527,3
17,528,1
17,529,1
17,530,4
17,531,2
17,532,2
17,533,4
17,534,2
17,535,8
17,536,1
17,537,1
17,538,1
17,539,4
17,540,2
17,541,1
17,542,4
17,543,1
17,544,9
17,545,1
17,546,1
17,547,1
17,548,5
17,549,1
17,550,1
17,551,4
17,552,2
17,553,8
17,554,1
17,555,1
17,556,1
17,557,4
17,558,1
17,559,1
17,560,1
17,561,3
17,562,2
17,563,1
17,564,8
17,565,1
17,566,1
17,567,1
17,568,4
17,569,1
17,570,1
17,571,1
17,572,3
17,573,2
17,574,1
17,575,3
17,576,4
17,577,3
17,578,3
17,579,3
17,580,3
17,581,4
17,582,4
17,583,5
17,584,1
17,585,2
17,586,6
17,587,2
17,588,3
17,589,1
17,590,1
17,591,3
17,592,5
17,593,1
17,594,2
17,595,2
17,596,2
17,597,3
17,598,4
17,599,2
17,600,8
17,601,2
17,602,6
17,603,2
17,604,4
17,605,2
17,606,8
17,607,1
17,608,1
17,609,1
17,610,3
17,611,2
17,612,1
17,613,2
17,614,2
17,615,2
17,616,4
17,617,5
17,618,1
17,619,2
17,620,5
17,621,2
17,622,4
17,623,1
17,624,4
17,625,6
