Storage,Scenario,dualcvarstorage
H2,11,6.4590308171615604e-12
H2,12,1.8905466828008487e-12
H2,13,0.09999999999681435
H2,19,6.559442970739697e-12
H2,1,0.09999999999728301
H2,22,0.09999999999713607
H2,23,5.981183312618184e-12
H2,24,0.09999999999640419
H2,26,0.049999973178062436
H2,27,8.023662205446173e-12
H2,29,0.09999999999660145
H2,30,0.09999999999529574
H2,4,0.09999999999266646
H2,7,1.4701612066869525e-12
H2,8,2.67980870693726e-12
BESS,11,2.2767431918569865e-12
BESS,12,1.6300638844000262e-12
BESS,13,0.09999999999380622
BESS,19,0.05000036286977045
BESS,1,0.09999999999221701
BESS,22,0.09999999999415835
BESS,23,2.5528086234259548e-12
BESS,24,0.0999999999939915
BESS,26,5.2606097816217525e-12
BESS,27,2.3991878749232047e-12
BESS,29,0.099999999992575
BESS,30,0.09999999999398136
BESS,4,0.09999999999443064
BESS,7,1.7310605873923022e-12
BESS,8,1.3447957497814333e-12
