Time,Scenario,Residual
1,11,-0.0014418025447797689
1,12,8.798511792251773e-5
1,13,-0.001336453251247871
1,19,-0.0015534776065249112
1,1,-0.0009222381507605348
1,22,0.0020508202732618663
1,23,5.994344440418686e-5
1,24,3.378109034812837e-5
1,26,4.1203398265743374e-5
1,27,0.000506029404875985
1,29,3.5949697939408054e-5
1,30,0.0005282083941087201
1,4,-0.0008575371688070987
1,7,-0.004809017032594731
1,8,0.0004614858635862973
2,11,-0.0016434870437951332
2,12,0.0001262324329824871
2,13,0.00044425841878847905
2,19,-0.0010234384601104374
2,1,-0.0014877011446374766
2,22,0.002753388068272855
2,23,9.068782721577406e-5
2,24,0.00011362936431691395
2,26,1.398832776500214e-5
2,27,0.00013939975519416947
2,29,6.985094511735568e-5
2,30,-0.004721500715322069
2,4,-0.0018274993767777303
2,7,0.005777704433330033
2,8,-0.0024028860848916977
3,11,-0.0015636526997013789
3,12,0.00012383197257515022
3,13,0.00042639329846494434
3,19,-0.000959803280505156
3,1,-0.00030844691253895107
3,22,0.02528309808446849
3,23,7.881518588126468e-5
3,24,7.499266073418553e-5
3,26,6.245789954029135e-5
3,27,0.00020959566991773926
3,29,5.2530391375427143e-5
3,30,0.001956001887709391
3,4,-0.0012451028621645044
3,7,-0.0014958021838848978
3,8,-0.0008217256932323558
4,11,0.0004723641558874725
4,12,0.0001657853984067259
4,13,0.0005443257988204664
4,19,0.1320406221322279
4,1,-0.0008858972298169121
4,22,-0.07929673383309499
4,23,0.00011714981927113399
4,24,-0.001377421451894456
4,26,-0.0013246310693597607
4,27,0.00033525723088612125
4,29,4.8592286554516306e-5
4,30,-0.0005652690272697214
4,4,0.0006176696085971045
4,7,-0.0022084984989638734
4,8,0.0011236806052017378
5,11,0.0006333222973546881
5,12,0.0005051692273854158
5,13,0.017050963016686183
5,19,1.611714930463572
5,1,-0.0013345091961030064
5,22,-0.10087539221093778
5,23,0.0002504773599123489
5,24,-0.0009199049028936201
5,26,-0.001407917218845256
5,27,0.0007692506728496085
5,29,0.00026591670277209545
5,30,-0.009457551489689298
5,4,0.00043940445661894145
5,7,0.0016929690148668186
5,8,0.0005825462738791032
6,11,0.00687459944165747
6,12,-0.0022371725239698215
6,13,0.35154419258081937
6,19,0.00017990499449549446
6,1,-0.001110366263818996
6,22,-0.08557465794228003
6,23,0.00038925194083994086
6,24,-0.0012291796383481213
6,26,-0.0018842060558865725
6,27,0.0004397254980084142
6,29,-0.0008591627297667159
6,30,0.0004395738407616534
6,4,0.0012220717728079755
6,7,0.0017503503009104193
6,8,-0.0013079349308435795
7,11,0.0004475156579788475
7,12,-0.0009800741762404641
7,13,0.3554134564230078
7,19,-0.001086296178528734
7,1,-0.0008067355914582741
7,22,-6.825205365323939e-6
7,23,0.00028818042392142473
7,24,-0.0006632390894303342
7,26,-0.0022220099390333203
7,27,-0.001170246367546035
7,29,-0.0006646593222106034
7,30,0.0003133800569310452
7,4,-0.002613892376896132
7,7,0.0015960333737341514
7,8,-0.0005285135589145895
8,11,0.0004552759351010849
8,12,0.14576994402936583
8,13,0.30383525528445876
8,19,-0.0010517389082038697
8,1,-0.0014314424785517588
8,22,-0.0013791341314872696
8,23,0.0003056126441527418
8,24,0.011699897698639106
8,26,-0.20927170832931097
8,27,-0.0019444541753452782
8,29,-0.00045217097362204584
8,30,0.0005265691870874889
8,4,0.000541038565483376
8,7,0.0014831755469542074
8,8,0.04179040809353296
9,11,0.0003839066885524822
9,12,0.1454756890792086
9,13,0.35527232566462086
9,19,-0.002456255707740773
9,1,-0.000954033594290582
9,22,0.00032737776369229366
9,23,0.00018267410471217715
9,24,-0.0009074042996899401
9,26,-0.2028729388815398
9,27,0.0002765047574113666
9,29,-0.0006624995603443651
9,30,0.0003571338983920924
9,4,0.00048075231663879947
9,7,0.001583401749067903
9,8,0.008592331172402545
10,11,0.00037746692169937646
10,12,-0.0012804450805581347
10,13,0.30381979612194554
10,19,0.0034309552022993017
10,1,-0.0018860563745519698
10,22,0.0006828537611376362
10,23,0.0005345327182295634
10,24,-0.0010122305609741034
10,26,-0.8003386616976074
10,27,-0.0011550463172054215
10,29,-0.0009762990536730243
10,30,-0.001419964360500181
10,4,-0.0019714769227565654
10,7,0.001464811681896272
10,8,0.041486361423824114
11,11,0.0004364534548355614
11,12,-0.00020468732653844413
11,13,0.3553500209324634
11,19,-0.0010403615828504797
11,1,-0.0010109850926784958
11,22,0.00031841984723435246
11,23,-0.0015651331604402685
11,24,-0.001112553550957518
11,26,-3.2171792587197405
11,27,-0.0003495853688977313
