Time,Scenario,Generator,Dispatch
1,11,PV,4.531538144137954
1,12,PV,0.6838155574189054
1,13,PV,7.05509551423837
1,19,PV,0.6946498675946673
1,1,PV,1.348787067292365
1,22,PV,2.3599011585883414
1,23,PV,0.5422751399280872
1,24,PV,2.8684592627832544
1,26,PV,0.15895377801286262
1,27,PV,0.43813797933551607
1,29,PV,1.288883835352241
1,30,PV,1.746624544787283
1,4,PV,0.6266348083340504
1,7,PV,0.5970255826001507
1,8,PV,0.5319075086578706
2,11,PV,0.22419401417670032
2,12,PV,0.9944222642357426
2,13,PV,31.8820981641048
2,19,PV,1.7826241244192884
2,1,PV,1.0466110088258662
2,22,PV,6.023546983454802
2,23,PV,2.0116289373584784
2,24,PV,0.6758387663263231
2,26,PV,2.6063520231849298
2,27,PV,2.5004486660048326
2,29,PV,0.07324184316277645
2,30,PV,4.916835722699015
2,4,PV,3.846029428970116
2,7,PV,1.9333607899726972
2,8,PV,8.822326416487403
3,11,PV,4.736249882781604
3,12,PV,0.0
3,13,PV,2.158358217632197
3,19,PV,3.4873449829125853
3,1,PV,0.0
3,22,PV,5.6543602564520725
3,23,PV,0.7065253792258394
3,24,PV,0.05287770481331514
3,26,PV,0.11251451332077061
3,27,PV,0.0
3,29,PV,0.8012924753432236
3,30,PV,6.2269655704155005
3,4,PV,7.663016575820293
3,7,PV,0.0
3,8,PV,4.341568071700611
4,11,PV,0.19822865331901834
4,12,PV,2.8666385714558955
4,13,PV,0.059853395289833244
4,19,PV,1.1653725848662206
4,1,PV,2.258826428933889
4,22,PV,0.0
4,23,PV,3.6367457010298385
4,24,PV,1.0898121648566612
4,26,PV,2.3208998108235024
4,27,PV,1.2250504056050573
4,29,PV,1.084499547144541
4,30,PV,3.815724539620257
4,4,PV,0.8620489129527931
4,7,PV,1.8832871978293444
4,8,PV,6.938058607773637
5,11,PV,3.7214392078184586
5,12,PV,0.0
5,13,PV,4.238827334463274
5,19,PV,0.2825872542100976
5,1,PV,0.0
5,22,PV,2.5357126278771625
5,23,PV,0.0
5,24,PV,2.0336075120342123
5,26,PV,8.42507075930365
5,27,PV,0.0
5,29,PV,0.0
5,30,PV,0.0
5,4,PV,5.41443421385578
5,7,PV,0.38133593043000014
5,8,PV,1.1139680093227406
6,11,PV,0.0
6,12,PV,2.7128331340371004
6,13,PV,1.230142318187989
6,19,PV,0.0
6,1,PV,3.330989510814202
6,22,PV,2.0009947954623937
6,23,PV,15.825621333310304
6,24,PV,2.9340463754665476
6,26,PV,0.0
6,27,PV,1.1190990876712883
6,29,PV,0.4189654120427897
6,30,PV,1.906203463814188
6,4,PV,0.012156431720543884
6,7,PV,0.3086139725963027
6,8,PV,10.201166760006293
7,11,PV,1.2563373612766333
7,12,PV,1.2764013266275152
7,13,PV,4.244413619011793
7,19,PV,1.9888761738610166
7,1,PV,0.0
7,22,PV,2.2799841558330587
7,23,PV,0.7419148911261704
7,24,PV,0.0
7,26,PV,1.4670207412877312
7,27,PV,0.0
7,29,PV,1.6702941017995043
7,30,PV,0.0
7,4,PV,3.6724169620494105
7,7,PV,0.6151665855769745
7,8,PV,0.0
8,11,PV,0.30849959405724514
8,12,PV,0.06241990250302544
8,13,PV,0.0
8,19,PV,0.22934648060284957
8,1,PV,1.9139291458653767
8,22,PV,3.1019835331064503
8,23,PV,0.0
8,24,PV,1.7487673645846031
8,26,PV,0.0
8,27,PV,1.8320417776911417
8,29,PV,0.0
8,30,PV,9.553796937492264
8,4,PV,0.13125549251043592
8,7,PV,2.3634260100595035
8,8,PV,5.625212882514491
9,11,PV,0.7656656114319447
9,12,PV,3.228255267445727
9,13,PV,5.83834598805777
9,19,PV,8.403812960002055
9,1,PV,0.0
9,22,PV,0.0
9,23,PV,5.108552193741426
9,24,PV,0.0
9,26,PV,6.351508768299601
9,27,PV,0.0
9,29,PV,2.8757539641297307
9,30,PV,0.0
9,4,PV,1.8607826367527627
9,7,PV,0.0562853643138741
9,8,PV,0.0
10,11,PV,2.9659568459932366
10,12,PV,4.975668264749314
10,13,PV,0.0
10,19,PV,0.0
10,1,PV,3.9243229124980212
10,22,PV,7.64548662792468
10,23,PV,0.0
10,24,PV,1.9777728163596455
10,26,PV,0.0
10,27,PV,2.9923387877981136
10,29,PV,0.0
10,30,PV,10.555084919014265
10,4,PV,0.0
10,7,PV,1.296907726879979
10,8,PV,7.91804775282175
11,11,PV,8.226820333419326
11,12,PV,0.0
11,13,PV,3.954164743949553
11,19,PV,1.6110549470150315
11,1,PV,0.0
11,22,PV,0.0
11,23,PV,3.1540303414640483
11,24,PV,0.0
11,26,PV,0.6654783418610525
11,27,PV,0.014564947617791847
11,29,PV,7.401048998991392
11,30,PV,2.8964041990553615
11,4,PV,2.215106657721935
11,7,PV,0.0
11,8,PV,0.0
12,11,PV,0.0
12,12,PV,6.880581139862647
12,13,PV,2.8326423634702698
12,19,PV,1.2260546249097637
12,1,PV,9.326772840285924
12,22,PV,20.272218490424972
12,23,PV,0.5268661410417741
12,24,PV,2.244252868640273
12,26,PV,0.0
12,27,PV,3.7105300829950076
12,29,PV,1.6366484674318624
12,30,PV,0.0
12,4,PV,0.6838087148997658
12,7,PV,2.4623026323663653
12,8,PV,8.015201778570672
13,11,PV,1.4160455013864028
13,12,PV,0.0
13,13,PV,3.614127460045378
13,19,PV,1.5755984541073023
13,1,PV,1.7730451117925308
13,22,PV,0.2743130703081524
13,23,PV,9.194295666659379
13,24,PV,0.0
13,26,PV,3.241930530977742
13,27,PV,0.0
13,29,PV,16.904776582721027
13,30,PV,0.9897388080980266
13,4,PV,1.3397940979018952
13,7,PV,0.0
13,8,PV,0.0
14,11,PV,0.0
14,12,PV,4.902672930053362
14,13,PV,0.05031954862663523
14,19,PV,0.0
14,1,PV,0.0
14,22,PV,2.0207973378613326
14,23,PV,0.024281955956119688
14,24,PV,7.9860558569040965
14,26,PV,0.3906271478166126
14,27,PV,2.489971367987554
14,29,PV,0.0
14,30,PV,0.0
14,4,PV,0.0
14,7,PV,3.905589525418617
14,8,PV,7.192861885604547
15,11,PV,5.218258854463892
15,12,PV,0.0
15,13,PV,3.672416990508495
15,19,PV,0.6563190195129955
15,1,PV,5.530105604895795
15,22,PV,0.0
15,23,PV,2.5924658279838355
15,24,PV,2.9394259375479788
15,26,PV,3.1440743805123765
15,27,PV,0.0
15,29,PV,9.955238524562057
15,30,PV,2.0856416805549833
15,4,PV,5.706741903772478
15,7,PV,0.0
15,8,PV,1.603040610087728
16,11,PV,0.0
16,12,PV,8.805768863731668
16,13,PV,0.0
16,19,PV,0.0
16,1,PV,1.7749359468516461
16,22,PV,10.604729047939248
16,23,PV,4.687663978578814
16,24,PV,0.0
16,26,PV,1.3982789181395345
16,27,PV,5.421189386450317
16,29,PV,0.9858215288200329
16,30,PV,0.0
16,4,PV,1.2701518706036503
16,7,PV,0.8278944093542365
16,8,PV,1.8415027152160293
17,11,PV,8.306664293165673
17,12,PV,3.4079503703330576
17,13,PV,2.8729776521322803
17,19,PV,0.0
17,1,PV,0.0
17,22,PV,0.0
17,23,PV,0.0
17,24,PV,5.358411866321184
17,26,PV,1.5802295152547
17,27,PV,0.0
17,29,PV,3.244100135007253
17,30,PV,6.880581116057656
17,4,PV,0.0
17,7,PV,0.9686170100937664
17,8,PV,0.0
18,11,PV,0.0
18,12,PV,41.158261260976616
18,13,PV,0.0
18,19,PV,4.278513003505382
18,1,PV,3.6919523643227095
18,22,PV,1.0396917844164424
18,23,PV,0.3057587698543299
18,24,PV,0.0
18,26,PV,1.7197012530120086
18,27,PV,2.6335624538250277
18,29,PV,3.973595115004972
18,30,PV,0.0
18,4,PV,0.0
18,7,PV,3.6614875361039725
18,8,PV,2.5912395350244295
19,11,PV,3.163610982244434
19,12,PV,2.994769489464006
19,13,PV,7.072807713287053
19,19,PV,0.0
19,1,PV,0.0
19,22,PV,2.9923658334589365
19,23,PV,9.737474939705123
