Time,Scenario,Residual
1,11,3.2553921172073785e-6
1,12,3.2553922149070047e-6
1,13,3.2553917530542265e-6
1,19,3.255392420520309e-6
1,1,3.255392187817563e-6
1,22,3.255392395651313e-6
1,23,3.255392950318736e-6
1,24,3.25539250978224e-6
1,26,3.2553922801881185e-6
1,27,3.255392680756586e-6
1,29,3.2553924684819435e-6
1,30,3.255392687862013e-6
1,4,3.2553920092937005e-6
1,7,3.2553923565714626e-6
1,8,3.2553922943989733e-6
2,11,3.255391244572081e-6
2,12,3.255392222012432e-6
2,13,3.2553922189038076e-6
2,19,3.2553920195077524e-6
2,1,3.255392050149908e-6
2,22,3.2553927313827558e-6
2,23,3.255392265977264e-6
2,24,3.255392480028263e-6
2,26,3.2553925697342834e-6
2,27,3.255392152290426e-6
2,29,3.2553924258493794e-6
2,30,3.2553905873200506e-6
2,4,3.2553906312848824e-6
2,7,3.2553921531786045e-6
2,8,3.255391948897568e-6
3,11,3.2553921123223972e-6
3,12,2.1702614954044464e-6
3,13,3.255392716727812e-6
3,19,3.2553924764755493e-6
3,1,2.170261530487494e-6
3,22,3.2554151969677037e-6
3,23,3.2553925803924244e-6
3,24,3.255392340584251e-6
3,26,3.255392429402093e-6
3,27,2.1702611552321116e-6
3,29,3.255392120760092e-6
3,30,3.255394792844868e-6
3,4,3.25539242540529e-6
3,7,2.170261130807205e-6
3,8,3.2553920243927337e-6
4,11,3.2553923183797906e-6
4,12,3.2553921824884924e-6
4,13,3.255392373890942e-6
4,19,3.255395188528354e-6
4,1,3.2553929534273607e-6
4,22,2.170246861332714e-6
4,23,3.255391815670805e-6
4,24,3.255391459955348e-6
4,26,3.255392168721727e-6
4,27,3.255392086565223e-6
4,29,3.255392273082691e-6
4,30,3.255391589185308e-6
4,4,3.255392934775614e-6
4,7,3.255391798351326e-6
4,8,3.255392975631821e-6
5,11,3.2553924516065535e-6
5,12,2.1702616876950742e-6
5,13,3.2553932847179112e-6
5,19,3.255392268641799e-6
5,1,2.170260870570928e-6
5,22,3.2553590063599813e-6
5,23,2.1702614443341872e-6
5,24,3.2553917237443386e-6
5,26,3.25539272338915e-6
5,27,2.1702615682350768e-6
5,29,2.1702615757845933e-6
5,30,2.1702565060621737e-6
5,4,3.255392192702544e-6
5,7,3.2553924689260327e-6
5,8,3.255392570622462e-6
6,11,2.1702642931664684e-6
6,12,3.255392232226484e-6
6,13,3.2553921385236606e-6
6,19,2.1702617054586426e-6
6,1,3.255392695855619e-6
6,22,3.2553384543554387e-6
6,23,3.2553924853573335e-6
6,24,3.2553928850376224e-6
6,26,2.1702612733598414e-6
6,27,3.2553923690059605e-6
6,29,3.2553922904021704e-6
6,30,3.2553924773637277e-6
6,4,3.2553922628686394e-6
6,7,3.2553928916989605e-6
6,8,3.2553916744504363e-6
7,11,3.255391753942405e-6
7,12,3.25539226242455e-6
7,13,3.255392198475704e-6
7,19,3.2553927731271415e-6
7,1,2.17026148208177e-6
7,22,3.2553920350508747e-6
7,23,3.255392164724924e-6
7,24,2.1702613861585007e-6
7,26,3.255391809453556e-6
7,27,2.1702613262064574e-6
7,29,3.255392077683439e-6
7,30,2.1702616899155203e-6
7,4,3.2553918183353403e-6
7,7,3.2553925768397107e-6
7,8,2.170261500733517e-6
8,11,3.2553926523348764e-6
8,12,3.2553924054212757e-6
8,13,2.170263130096828e-6
8,19,3.255392463152873e-6
8,1,3.2553926123668475e-6
8,22,3.25539327405977e-6
8,23,2.170261475420432e-6
8,24,3.25539352719062e-6
8,26,2.170262558998104e-6
8,27,3.2553913111854627e-6
8,29,2.1702613874907684e-6
8,30,3.2553924107503462e-6
8,4,3.255392253986855e-6
8,7,3.2553925377598603e-6
8,8,3.255394446455284e-6
9,11,3.255392603040974e-6
9,12,3.2553906632593055e-6
9,13,3.2553953461800234e-6
9,19,3.255392376111388e-6
9,1,2.1702613182128516e-6
9,22,2.1702617787333622e-6
9,23,3.255392035939053e-6
9,24,2.1702615682350768e-6
9,26,3.255397103885116e-6
9,27,2.170261604650392e-6
9,29,3.2553920323863395e-6
9,30,2.1702622072794497e-6
9,4,3.255392285517189e-6
9,7,3.2553925639611236e-6
9,8,2.1702613959284633e-6
10,11,3.2553923348110914e-6
10,12,3.255392300172133e-6
10,13,2.170262749512375e-6
10,19,2.17026180804325e-6
10,1,3.2553925528588934e-6
10,22,3.2553925892742086e-6
10,23,2.170261657497008e-6
10,24,3.255393030698883e-6
10,26,2.1702616566088295e-6
10,27,3.255392146073177e-6
10,29,2.170261496736714e-6
10,30,3.255392348577857e-6
10,4,2.1702605814688525e-6
10,7,3.255392219791986e-6
10,8,3.255394592116545e-6
11,11,3.255392570622462e-6
11,12,2.1702615020657845e-6
11,13,3.255393917100946e-6
11,19,3.2553924849132443e-6
11,1,2.1702613048901753e-6
11,22,2.1702616606056324e-6
11,23,3.2553924960154745e-6
11,24,2.170261382605787e-6
11,26,3.2553925173317566e-6
11,27,3.2553921278655196e-6
11,29,3.2553919568911738e-6
11,30,3.2553915820798807e-6
11,4,3.255392712731009e-6
11,7,2.1702616295193877e-6
11,8,2.1702616859187174e-6
12,11,2.1702615100593903e-6
12,12,3.255393370871218e-6
12,13,3.2553924911304932e-6
12,19,3.2553923965394915e-6
12,1,3.2553922526545875e-6
12,22,3.2553923441369648e-6
12,23,3.255392194478901e-6
12,24,3.255392907242083e-6
12,26,2.1702614851903945e-6
12,27,3.2553922415523573e-6
12,29,3.2553932594048263e-6
12,30,2.170261492739911e-6
12,4,3.2553916309296937e-6
12,7,3.2553928708267676e-6
12,8,3.2553926692102664e-6
13,11,3.255392827306025e-6
13,12,2.1702606467499663e-6
13,13,3.2553916771149716e-6
13,19,3.2553923094980064e-6
13,1,3.2553922633127286e-6
13,22,3.255392524881273e-6
13,23,3.2553926123668475e-6
13,24,2.1702615797813962e-6
13,26,3.255392052814443e-6
13,27,2.1702615611296494e-6
13,29,3.255393235868098e-6
13,30,3.255392156731318e-6
13,4,3.255392334367002e-6
13,7,2.170261941270013e-6
13,8,2.1702614114715857e-6
14,11,2.1702616290752985e-6
14,12,3.2553921256450735e-6
14,13,3.2553924085299e-6
14,19,2.1702617072349994e-6
14,1,2.170262129119749e-6
14,22,3.255392651446698e-6
14,23,3.255392257539569e-6
14,24,3.2553992506123564e-6
14,26,3.255392052814443e-6
14,27,3.2553922721945128e-6
14,29,2.170261610867641e-6
14,30,2.1702617427621362e-6
14,4,2.1702616623819893e-6
14,7,3.2553930671141984e-6
14,8,3.255392649670341e-6
15,11,3.2553922171274507e-6
15,12,2.1702615509155976e-6
15,13,3.2553918085653777e-6
15,19,3.255392177603511e-6
15,1,3.2553912490129733e-6
15,22,2.170264091105878e-6
15,23,3.255392928558365e-6
15,24,3.2554118383210096e-6
15,26,3.2553923410283403e-6
15,27,2.170261609091284e-6
15,29,3.255392522660827e-6
15,30,3.2553919240285722e-6
15,4,3.255391889389614e-6
15,7,2.1702609345197743e-6
15,8,3.2553917908018093e-6
16,11,2.1702614216856375e-6
16,12,3.255392378775923e-6
16,13,2.1702614509955254e-6
16,19,2.1702650192523265e-6
16,1,3.255392101220167e-6
16,22,3.2553927731271415e-6
16,23,3.2553926350153972e-6
16,24,2.170265041012698e-6
16,26,3.255392044376748e-6
16,27,3.2553928495104856e-6
16,29,3.255393608458945e-6
16,30,2.170261577116861e-6
16,4,3.2553921429645527e-6
16,7,3.2553922588718365e-6
16,8,3.2553921043287914e-6
17,11,3.2553925235490055e-6
17,12,3.2553920537026215e-6
17,13,3.2553903688281594e-6
17,19,2.1702613777208057e-6
17,1,2.1702616632701677e-6
17,22,2.170261555800579e-6
17,23,2.170261669931506e-6
17,24,3.2553921620603887e-6
17,26,3.2553921229805383e-6
17,27,2.170261452327793e-6
17,29,3.2553908915211593e-6
17,30,3.255393250078953e-6
17,4,2.170261467426826e-6
17,7,3.2553929059098152e-6
17,8,2.1702615442542594e-6
18,11,2.170261293787945e-6
18,12,3.2553922415523573e-6
18,13,2.170261229839099e-6
