Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
H2,1,11,-652.1946602012131,-0.029821183918851205,-0.000610317556380103
H2,1,12,-0.03878436718556782,-0.08064076599713073,-0.003040236015617591
H2,1,13,-0.08630744725089573,-0.029832938889872773,-0.0005823764069774835
H2,1,19,-934.2468473249835,-0.029809744505158532,-0.00045498244433826024
H2,1,1,-0.033875778228614956,-0.02982297971763175,-0.0014453752683641966
H2,1,22,-0.03629513517977533,-0.029836916826525305,-0.00145152154351751
H2,1,23,-0.05070716021988213,-0.0631776269231343,-0.0012941522681915256
H2,1,24,-0.03674018623625592,-0.08769157718773746,-0.0037632456577066076
H2,1,26,-0.04528671979055766,-0.06878887843551906,-0.002307769996751466
H2,1,27,-0.04616272973699913,-0.043658084853706515,-0.001975701838454759
H2,1,29,-0.039966720664569695,-0.07611659313211337,-0.00260036159268397
H2,1,30,-0.029824715053744594,-131.95951310012592,-0.011011257511141057
H2,1,4,-0.1868847636601418,-0.029920289915575795,-0.0011750712120179793
H2,1,7,-0.053286389984384216,-0.02981113149901366,-0.0008861329642240691
H2,1,8,-0.029823016187811885,-120.0647307512664,-0.00873433058699121
H2,2,11,-341.3686519954294,-0.02984633090865667,-0.0004097896891005057
H2,2,12,-0.03781916141474787,-0.07437152683963545,-0.003215480430193799
H2,2,13,-0.029991234823458647,-16.03089424666427,-0.0006153458356312961
H2,2,19,-0.030421965413512497,-0.5965753609622593,-0.0006010775119373184
H2,2,1,-0.03476442534274755,-0.029854611398948756,-0.001130775505686054
H2,2,22,-0.04285665155329907,-0.02984665111465989,-0.0008845197542625414
H2,2,23,-0.04551115525261593,-0.06740554308243361,-0.0010905008206938526
H2,2,24,-0.035846056901453864,-0.05776098306372411,-0.004047220215407592
H2,2,26,-0.03399241172174696,-0.11969692836124524,-0.006687723808612338
H2,2,27,-0.03942377904390305,-0.07360202764269833,-0.001954765774537981
H2,2,29,-0.04847836217018229,-0.06106263129851768,-0.0022040736254129198
H2,2,30,-0.034301004625194226,-0.029816380254729907,-0.0037055952763157124
H2,2,4,-0.07603766496734068,-0.02985969532504138,-0.0005893431834974194
H2,2,7,-79.89146364587684,-0.029819313885332235,-0.00048571540969905035
H2,2,8,-0.041764137408089576,-0.029842203712744594,-0.0030480924552712296
H2,3,11,-310.6031174031197,-0.029844527026314953,-0.00032659966467428567
H2,3,12,-0.037053673292093046,-0.08726192282958246,-0.003582373808963814
H2,3,13,-0.029820372189503123,-128.1305251341511,-0.0011510314532112561
H2,3,19,-0.03112739844625743,-0.2371517933158717,-0.000707767402331101
H2,3,1,-0.03996585194340266,-0.029920028962194912,-0.0009624089153394935
H2,3,22,-15.631870700503226,-0.02986039189074903,-0.00048780809277730846
H2,3,23,-0.034305910865902754,-0.11428198336595786,-0.0023353849037071796
H2,3,24,-0.03251552947993227,-0.14831159676492064,-11.823465483870239
H2,3,26,-0.03344045139086584,-0.12703837603201343,-5.703222486430776
H2,3,27,-0.033129299603245226,-0.1384814394027283,-0.002955654379656533
H2,3,29,-0.03774640399774402,-0.08029382339424838,-0.0023125238897134326
H2,3,30,-0.034114303696335314,-0.02980521326559229,-0.0015674584889037507
H2,3,4,-0.22211069345985493,-0.029897153931500733,-0.0004296692045062743
H2,3,7,-19.090285173334745,-0.029833966742099448,-0.0003653500640137748
H2,3,8,-0.10561301301539831,-0.029813575558776242,-0.0007183904921631745
H2,4,11,-0.030271607594754862,-0.7604683088893974,-0.000363342695544649
H2,4,12,-0.0334256286970412,-0.11612476958602382,-0.007853075109886346
H2,4,13,-0.029866284872781774,-44.05794228755161,-0.0016336962955494662
H2,4,19,-0.10529548581088391,-0.03126822774828918,-0.0004838287609491694
H2,4,1,-0.062402820764316316,-0.029871601882574532,-0.0006436395864958561
H2,4,22,-0.030037039247206587,-0.030098001883237642,-0.0004872753919089182
H2,4,23,-0.03793262341842071,-0.08384231049739915,-0.0025051280347740974
H2,4,24,-0.030195886278251247,-0.029827109444747594,-0.3977604617359449
H2,4,26,-0.3552515148900161,-0.029839987606962562,-0.0006622331466434199
H2,4,27,-0.033555119394245436,-0.0669165137794234,-0.004057424783867164
H2,4,29,-0.03221167831863058,-0.17584169077465583,-0.023211949484922192
H2,4,30,-0.07490742228193478,-0.02980343152003952,-0.00034854068151403715
H2,4,4,-0.029896464485144634,-51.68840703241912,-0.0004944493974573252
H2,4,7,-22.55366774906048,-0.02983197960130386,-0.00028284926802986637
H2,4,8,-0.029815546638119417,-179.9064712911492,-0.000963482464625128
H2,5,11,-0.030618947836610646,-0.39458762991492213,-0.0003893435993961991
H2,5,12,-0.03276061860751529,-0.13273841886194834,-17.142395223770414
H2,5,13,-0.029828009501058846,-103.95618293708816,-2.1843005515782243
H2,5,19,-0.031398784799887,-0.24576769873789212,-0.0005290142697386787
H2,5,1,-0.03285750185182594,-0.029968754145555835,-0.0006256178753727043
H2,5,22,-0.030308358118529492,-0.029943860691288238,-0.00048398021306447374
H2,5,23,-0.037474344714794536,-0.08434662475663068,-0.002687638043700011
H2,5,24,-0.030048872772962625,-0.029826055423268043,-0.26825605906377054
H2,5,26,-0.24741970605960442,-0.029868378532345006,-0.00042105362342599346
H2,5,27,-0.033330312600074,-0.08618440805230398,-0.006727281601946735
H2,5,29,-0.03385805938878233,-0.11837799550438673,-5.691722262666228
H2,5,30,-0.031014154926409458,-0.029871055706527892,-0.0003456125605833929
H2,5,4,-0.02985299854789543,-67.98841845434856,-0.0006173759752335299
H2,5,7,-0.030100257512182375,-1.2493441452618352,-0.00033739337627594965
H2,5,8,-0.02980285014091001,-492.4858367021002,-0.014598051085335972
H2,6,11,-0.030827684414434064,-0.03448328857777518,-0.0003916302624120717
H2,6,12,-0.06097623322513812,-0.029828276915529868,-0.002462726630505227
H2,6,13,-0.0837823115538536,-0.029809316028496652,-0.0003722077153220482
H2,6,19,-0.03175189425655192,-0.21254077579972877,-0.0005688833712445899
H2,6,1,-0.046892364771643144,-0.029882952952989327,-0.000522926749560222
H2,6,22,-0.029873351188858824,-0.029955945068922085,-0.00048371482032384504
H2,6,23,-0.047182734123550965,-0.047321855678273836,-0.0021314444796289938
H2,6,24,-0.030056699516146174,-0.02984069618058196,-0.21697567589377265
H2,6,26,-0.09461299163762997,-0.029949839956729937,-0.000368657090474642
H2,6,27,-0.03217821613680994,-0.12367057628176678,-5.694485920094458
H2,6,29,-0.04546913127422906,-0.029961764849107047,-0.006207870339339494
H2,6,30,-0.02981646346540367,-156.20632124729426,-0.00038738088591178777
H2,6,4,-0.029960501665753682,-24.001689108895555,-0.000675747407976748
H2,6,7,-0.030019324213202404,-1.6898139863683366,-0.00046364045621248405
H2,6,8,-0.03245594411120578,-0.029826428012041842,-0.007383711217061463
H2,7,11,-0.030329058164237126,-0.6726544822601278,-0.00044047072025059695
H2,7,12,-0.04043872108119442,-0.0298106073819517,-0.0011501023967638777
H2,7,13,-0.11386200619110357,-0.029849516981301134,-0.00029171061895230666
H2,7,19,-0.030788007299725164,-0.3796712639887679,-0.0006944284162311788
H2,7,1,-0.03021303314261838,-0.029965059520107206,-0.0005212171926906185
H2,7,22,-0.0383974193907549,-0.029835930555305486,-0.0004003901461697416
H2,7,23,-0.03700333997432545,-0.0732703731785917,-0.0022086321548817397
H2,7,24,-0.030146852584650236,-0.029871330965557424,-0.18765806656976836
H2,7,26,-0.2537928976339388,-0.02987427553069718,-0.00028278992092992523
H2,7,27,-0.08516549288261231,-0.029910687874266772,-0.002279291177268864
H2,7,29,-0.030103800740941034,-0.029939341812205155,-0.006059016924088773
H2,7,30,-0.029822322907094887,-120.16797459481512,-0.0004269669725247257
H2,7,4,-0.24042199976011255,-0.029887139267560394,-0.0004393016321767522
H2,7,7,-0.030107371578906608,-1.2264848623935976,-0.0006280912818799581
H2,7,8,-0.03218510827327162,-0.029838550943642354,-0.0056062708836517134
H2,8,11,-0.030288036970063464,-0.7338037854534335,-0.0005092863909807061
H2,8,12,-0.029856413943224983,-0.03443695497722111,-0.0011739707583961296
H2,8,13,-0.03017815353371919,-0.029959158396302997,-0.0002912161167362618
H2,8,19,-0.031247346739255583,-0.26673245458528433,-0.0008059915229839303
H2,8,1,-0.037191291552486204,-0.02987864332426521,-0.00047603318805808446
H2,8,22,-0.045121671423623125,-0.029885332993582925,-0.00035798089565965797
H2,8,23,-0.034153639341032854,-0.11589716052490115,-0.0027363673547405815
H2,8,24,-0.030035527134202197,-0.029839811364278903,-0.1680605824280874
H2,8,26,-0.030250298987413136,-0.03381262651350868,-0.0002839396298005159
H2,8,27,-0.06593350924501357,-0.029885607988567545,-0.0011006088869490805
H2,8,29,-0.03512289034861592,-0.02997591346204983,-0.004475664643068585
H2,8,30,-0.029814056370238397,-180.18211003550195,-0.0005042012878655983
H2,8,4,-0.029890206146879563,-40.00801113103656,-0.0004902484067677284
H2,8,7,-0.030582215016387714,-0.4954954568154562,-0.0007215786124928207
H2,8,8,-0.044236242028826485,-0.029821956391366318,-0.0020965754471279265
H2,9,11,-0.03014029339044454,-1.0372048181288427,-0.0006601545032451903
H2,9,12,-0.029805365072359112,-0.0319152188140085,-0.0012735190538518933
H2,9,13,-0.031122221406103705,-0.029857659570343833,-0.00028844660480034667
