G,Include,VRE,C_inv,C_v,WACC,Lifetime,FOMg
PV_old,0,1,895000,0,0.071,30,1
Wind_old,0,1,1335000,0,0.071,30,0
Gas,0,0,2500000,60,0.071,30,0
Base_old,0,0,2000000,25,0.071,30,0
PV,0,1,825000,0,0.034,20,0
Wind_Distributed,0,1,1952000,0,0.039,25,0
Gas,0,0,1383000,50,0.054,20,0
Nuclear,0,0,6344000,7,0.047,60,0
Wind,0,1,1952000,0,0.039,25,0
Gas,0,0,1461400,229,0.054,25,0
PV_cheap,0,1,405400,8,0.034,20,0
Nuclear,0,0,14375000,7,0.047,60,0
Wind,0,1,2016300,13,0.039,25,0
Wind_Offshore,0,1,4500000,16,0.04,30,0
Wind_Onshore,0,1,2016300,13,0.037,25,0
Wind_Offshore,0,1,3829000,16,0.04,30,0
Wind_On,0,1,1327000,13,0.037,25,0
PV,0,1,854000,8,0.034,30,0
Wind_Offshore,0,1,3310595,16,0.04,30,0
Wind_Offshore,0,1,3200595,16,0.04,30,0
PV,0,1,622741.7,8,0.034,30,0
New,0,0,0,0,0,0,0
Gas,0,0,1461400,229,0.07,25,0
Gas,0,0,1861400,529,0.07,25,0
Gas,0,0,2061400,529,0.07,25,0
PV,0,1,854000,8,0.03,30,0
PV,0,1,624000,8,0.03,30,0
Wind_Onshore,0,1,2016300,13,0.035,25,0
Wind_Onshore,0,1,1335000,13,0.035,25,0
Wind_Offshore,0,1,3200595,16,0.04,30,0
Wind_Offshore,0,1,3000595,16,0.04,30,0
Wind_Offshore,0,1,2550595,16,0.04,30,0
Wind_Offshore,0,1,1750595,16,0.04,30,0
Nuclear,0,0,12375000,7,0.047,60,0
NEW FINAL,0,0,0,0,0,0,0
PV,1,1,1136000,0,0.062,25,13000
Wind_Onshore,1,1,1327000,0,0.061,30,28000
Wind_Offshore,1,1,3487000,0,0.065,30,72000
Nuclear,1,0,6344000,15,0.07,60,156000
Nuclear,0,0,8580000,15,0.07,60,183000
Gas,0,0,1330000,130,0.07,25,29000
Gas,1,0,1330000,312,0.07,25,29000
