Y,T,PV,Wind
26,1,0.0,0.6750666666666666
26,2,0.0007142857142857143,0.629857142857143
26,3,0.0235,0.75725
26,4,0.0165,0.8207249999999999
26,5,0.0,0.7818200000000001
26,6,0.0,0.8097000000000001
26,7,0.00030000000000000003,0.8380000000000001
26,8,0.059,0.7863
26,9,0.1855,0.7888749999999999
26,10,0.108,0.7766
26,11,0.02,0.7194
26,12,0.0,0.62262
26,13,0.0,0.65625
26,14,0.0,0.63975
26,15,0.0,0.5505500000000001
26,16,0.0,0.4198
26,17,0.0,0.30475
26,18,0.0,0.21655
26,19,0.031,0.19405
26,20,0.08925,0.21145
26,21,0.0018333333333333333,0.25089999999999996
26,22,0.0,0.20550000000000002
26,23,0.0,0.214275
26,24,0.0035,0.24015
26,25,0.074,0.2543
26,26,0.1865,0.254975
26,27,0.049,0.29445
26,28,0.0,0.3052
26,29,0.0,0.29359999999999997
26,30,0.0,0.2984
26,31,0.0,0.313475
26,32,0.0,0.3347
26,33,0.018875000000000003,0.3395375
26,34,0.0,0.372025
26,35,0.0,0.36360000000000003
26,36,0.0,0.3794
26,37,0.0,0.39616250000000003
26,38,0.0,0.3888
26,39,0.028333333333333335,0.39843333333333336
26,40,0.14033333333333334,0.422
26,41,0.055,0.34495
26,42,0.0,0.305875
26,43,0.0,0.3023
26,44,0.0,0.3294
26,45,0.0,0.3611
26,46,0.0,0.4589
26,47,0.0,0.5919666666666666
26,48,0.0,0.6826
26,49,0.0,0.7159
26,50,0.006,0.7736000000000001
26,51,0.017571428571428568,0.8328714285714286
26,52,0.0,0.8089666666666666
26,53,0.0,0.7820499999999999
26,54,0.0,0.7394
26,55,0.0,0.6754399999999999
26,56,0.0,0.6113666666666666
26,57,0.004333333333333333,0.5713666666666667
26,58,0.1006,0.57494
26,59,0.019,0.4895
26,60,0.0,0.45095
26,61,0.0,0.5479
26,62,0.0,0.6689
26,63,0.0,0.7897
26,64,0.0,0.9140333333333334
26,65,0.0295,0.8533
26,66,0.098,0.7561
26,67,0.0765,0.6343
26,68,0.028,0.47866666666666663
26,69,0.0,0.596
26,70,0.0,0.7169
26,71,0.0,0.8531
26,72,0.0,0.9154
26,73,0.0,0.9328
26,74,0.0001,0.9366899999999999
26,75,0.0625,0.94975
26,76,0.16,0.9195333333333333
26,77,0.088,0.8686
26,78,0.008,0.8163
26,79,0.0,0.77475
26,80,0.0,0.75295
26,81,0.0,0.74415
26,82,0.0,0.7779375
26,83,0.004,0.7078
26,84,0.064,0.6707000000000001
26,85,0.029500000000000002,0.776
26,86,0.0,0.8156999999999999
26,87,0.0,0.8221499999999999
26,88,0.0,0.8361
26,89,0.0,0.88745
26,90,0.0,0.949425
26,91,0.007333333333333333,0.9268666666666666
26,92,0.08466666666666667,0.8792333333333334
26,93,0.0615,0.7935000000000001
26,94,0.003,0.67425
26,95,0.0,0.5572333333333334
26,96,0.0,0.5568500000000001
26,97,0.0,0.5663
26,98,0.0,0.6039
26,99,0.0,0.5404199999999999
26,100,0.019666666666666666,0.5512666666666667
26,101,0.10450000000000001,0.5446
26,102,0.0215,0.53525
26,103,0.0,0.56116
26,104,0.0,0.5372
26,105,0.0,0.5367375
26,106,0.0,0.5889
26,107,0.027000000000000003,0.6211
26,108,0.15775,0.63375
26,109,0.021666666666666667,0.6200333333333333
26,110,0.0,0.715
26,111,0.0,0.8125
26,112,0.0,0.9029
26,113,0.0,0.9383
26,114,0.0,0.8898125
26,115,0.0,0.8911
26,116,0.06485714285714285,0.8935571428571428
26,117,0.005,0.84605
26,118,0.0,0.8421333333333333
26,119,0.0,0.887
26,120,0.0,0.8962
26,121,0.0,0.8422666666666667
26,122,0.0,0.7304999999999999
26,123,0.0,0.648
26,124,0.0,0.5688666666666666
26,125,0.007,0.5093
26,126,0.059,0.4905
26,127,0.1565,0.481375
26,128,0.03133333333333333,0.47913333333333336
26,129,0.0,0.47036666666666666
26,130,0.0,0.43920000000000003
26,131,0.0,0.37982499999999997
26,132,0.0007142857142857143,0.3099857142857143
26,133,0.033,0.2661
26,134,0.09875,0.225275
26,135,0.021333333333333333,0.21020000000000003
26,136,0.0,0.2029
26,137,0.0,0.18
26,138,0.0,0.17505
26,139,0.0,0.21003333333333332
26,140,0.0,0.29042500000000004
26,141,0.0,0.3302
26,142,0.0,0.3644
26,143,0.034,0.3939
26,144,0.188,0.39704999999999996
26,145,0.075,0.4141
26,146,0.0,0.392825
26,147,0.0,0.3244
26,148,0.0,0.2845
26,149,0.0,0.22376666666666667
26,150,0.0,0.16515
26,151,0.0,0.1109
26,152,0.0075,0.08265
26,153,0.091,0.0552
26,154,0.19624999999999998,0.033
26,155,0.099,0.032
26,156,0.012,0.043399999999999994
26,157,0.0,0.06895
26,158,0.0,0.0871
26,159,0.0,0.09022500000000001
26,160,0.0,0.1061
26,161,0.035500000000000004,0.13245
26,162,0.1345,0.16302499999999998
26,163,0.024666666666666667,0.20186666666666667
26,164,0.0,0.2517333333333333
26,165,0.0,0.2565
26,166,0.0,0.2533
26,167,0.0,0.2123625
26,168,0.011000000000000001,0.1673
26,169,0.07725,0.11435000000000001
26,170,0.027999999999999997,0.093
26,171,0.0,0.104
26,172,0.0,0.10955000000000001
26,173,0.0,0.1061
26,174,0.0,0.07398750000000001
26,175,0.0095,0.05245
26,176,0.084,0.0591
26,177,0.1708,0.088
26,178,0.018,0.14650000000000002
26,179,0.0,0.19665
26,180,0.0,0.2319
26,181,0.0,0.26165
26,182,0.0,0.3038666666666667
26,183,0.0,0.38905
26,184,0.0,0.5129
26,185,0.025,0.5637
26,186,0.11833333333333333,0.5812499999999999
26,187,0.0075,0.56305
26,188,0.0,0.5413
26,189,0.0,0.524
26,190,0.0,0.52545
26,191,0.0,0.5388000000000001
26,192,0.0,0.58
26,193,0.015,0.5092333333333333
26,194,0.158,0.4492
26,195,0.26625,0.41265
26,196,0.155,0.3879
26,197,0.025500000000000002,0.3991
26,198,0.0,0.38485
26,199,0.0,0.353
26,200,0.0,0.33294999999999997
26,201,0.0,0.3528
26,202,0.0,0.42217499999999997
26,203,0.0125,0.4353
26,204,0.088,0.4168
26,205,0.149,0.4685
26,206,0.021,0.5379666666666667
26,207,0.0,0.5278333333333333
26,208,0.0,0.4226
26,209,0.0,0.3775
26,210,0.0,0.3591
26,211,0.0,0.4057666666666666
26,212,0.0,0.4537
26,213,0.0105,0.5084
26,214,0.09,0.5319
26,215,0.16966666666666666,0.5397
26,216,0.08549999999999999,0.50605
26,217,0.011,0.4656
26,218,0.0,0.39815
26,219,0.0,0.35405
26,220,0.0,0.30955
26,221,0.0,0.2934571428571429
26,222,0.0,0.349
26,223,0.007,0.34030000000000005
26,224,0.0985,0.31845
26,225,0.17,0.3518333333333334
26,226,0.02866666666666667,0.36529999999999996
26,227,0.0,0.40015
26,228,0.0,0.49315
26,229,0.0,0.59065
26,230,0.0,0.6611999999999999
26,231,0.0,0.7385
26,232,0.001,0.7868999999999999
26,233,0.048,0.83405
26,234,0.12675,0.874
26,235,0.016,0.79335
26,236,0.0,0.7474333333333334
26,237,0.0,0.6940500000000001
26,238,0.0,0.6948000000000001
26,239,0.0,0.7249
26,240,0.0,0.6622
26,241,0.0,0.56075
26,242,0.018,0.4601333333333333
26,243,0.088,0.40692000000000006
26,244,0.01,0.3368
26,245,0.0,0.2924
26,246,0.0,0.273
26,247,0.0,0.28965
26,248,0.0,0.3554333333333333
26,249,0.0,0.4426399999999999
26,250,0.048,0.4344
26,251,0.16649999999999998,0.458225
26,252,0.042,0.4345666666666667
26,253,0.0,0.4353666666666667
26,254,0.0,0.46465
26,255,0.0,0.4895
26,256,0.0,0.5324
26,257,0.0,0.589825
26,258,0.005,0.66465
26,259,0.0875,0.7021999999999999
26,260,0.162,0.7694333333333333
26,261,0.043666666666666666,0.815
26,262,0.0,0.835
26,263,0.0,0.8421000000000001
26,264,0.0,0.8505
26,265,0.0,0.838575
26,266,0.0,0.7721
26,267,0.0,0.7038
26,268,0.0175,0.6372500000000001
26,269,0.126,0.5524
26,270,0.24,0.48645000000000005
26,271,0.161,0.4136
26,272,0.036000000000000004,0.3839
26,273,0.0,0.33686666666666665
26,274,0.0,0.3129
26,275,0.0,0.3004
26,276,0.0,0.2729333333333333
26,277,0.0,0.21854
26,278,0.03266666666666666,0.1983666666666667
26,279,0.131,0.17185
26,280,0.035333333333333335,0.15536666666666668
26,281,0.0,0.15633333333333332
26,282,0.0,0.1286
26,283,0.0,0.1179
26,284,0.0,0.12395714285714286
26,285,0.0,0.1817
26,286,0.0175,0.21265
26,287,0.16599999999999998,0.22675
26,288,0.2693333333333333,0.296
26,289,0.169,0.3127
26,290,0.0415,0.32530000000000003
26,291,0.0,0.306575
26,292,0.0,0.27349999999999997
26,293,0.0,0.2440625
26,294,0.025,0.23745
26,295,0.154,0.2113
26,296,0.28700000000000003,0.203325
26,297,0.171,0.2116
26,298,0.041999999999999996,0.22385
26,299,0.0,0.2406666666666667
26,300,0.0,0.22335
26,301,0.0,0.2172
26,302,0.0,0.20826250000000002
26,303,0.018,0.1618
26,304,0.099,0.1331
26,305,0.17259999999999998,0.11190000000000003
26,306,0.0325,0.1243
26,307,0.0,0.1364
26,308,0.0,0.1158
26,309,0.0,0.105
26,310,0.0003333333333333333,0.09662222222222222
26,311,0.094,0.0971
26,312,0.195,0.0872
26,313,0.31,0.10927500000000001
26,314,0.224,0.1137
26,315,0.115,0.1162
26,316,0.00375,0.13465
26,317,0.0,0.13903333333333334
26,318,0.0043,0.17908
26,319,0.126,0.2028
26,320,0.26875000000000004,0.222675
26,321,0.192,0.2402
26,322,0.047499999999999994,0.25255
26,323,0.0,0.25096666666666667
26,324,0.0,0.219
26,325,0.0,0.2076
26,326,0.0,0.2080875
26,327,0.0335,0.20505
26,328,0.161,0.1944
26,329,0.3013333333333333,0.20773333333333333
26,330,0.2285,0.26855
26,331,0.094,0.2834
26,332,0.003,0.3291
26,333,0.0,0.3547
26,334,0.0,0.3626
26,335,0.0,0.3567
26,336,0.0,0.3096
26,337,0.06333333333333334,0.2788
26,338,0.18125,0.26594999999999996
26,339,0.042499999999999996,0.25085
26,340,0.0,0.2115
26,341,0.0,0.19035000000000002
26,342,0.0,0.16898749999999998
26,343,0.012,0.15385
26,344,0.0865,0.13635
26,345,0.1615,0.131075
26,346,0.072,0.1108
26,347,0.0016,0.12208000000000001
26,348,0.0,0.1493
26,349,0.0,0.15687500000000001
26,350,0.024,0.14285
26,351,0.151,0.15015
26,352,0.26966666666666667,0.19813333333333336
26,353,0.194,0.1883
26,354,0.084,0.1553
