Y,T,Weights
23,1,4
23,2,6
23,3,2
23,4,4
23,5,5
23,6,2
23,7,8
23,8,2
23,9,1
23,10,4
23,11,3
23,12,3
23,13,2
23,14,1
23,15,3
23,16,1
23,17,2
23,18,4
23,19,2
23,20,3
23,21,3
23,22,3
23,23,2
23,24,4
23,25,7
23,26,1
23,27,2
23,28,2
23,29,2
23,30,5
23,31,2
23,32,7
23,33,1
23,34,1
23,35,2
23,36,4
23,37,2
23,38,4
23,39,2
23,40,1
23,41,1
23,42,2
23,43,4
23,44,1
23,45,2
23,46,1
23,47,2
23,48,2
23,49,1
23,50,2
23,51,3
23,52,2
23,53,1
23,54,8
23,55,2
23,56,1
23,57,4
23,58,2
23,59,4
23,60,2
23,61,1
23,62,2
23,63,3
23,64,2
23,65,1
23,66,1
23,67,3
23,68,2
23,69,4
23,70,3
23,71,2
23,72,1
23,73,8
23,74,1
23,75,2
23,76,1
23,77,2
23,78,2
23,79,1
23,80,4
23,81,2
23,82,2
23,83,8
23,84,1
23,85,2
23,86,4
23,87,2
23,88,3
23,89,2
23,90,2
23,91,2
23,92,2
23,93,5
23,94,1
23,95,3
23,96,2
23,97,1
23,98,3
23,99,2
23,100,2
23,101,7
23,102,1
23,103,1
23,104,2
23,105,5
23,106,2
23,107,2
23,108,2
23,109,2
23,110,3
23,111,4
23,112,1
23,113,2
23,114,2
23,115,3
23,116,1
23,117,1
23,118,5
23,119,2
23,120,8
23,121,2
23,122,1
23,123,1
23,124,3
23,125,1
23,126,1
23,127,4
23,128,2
23,129,1
23,130,8
23,131,2
23,132,1
23,133,4
23,134,1
23,135,2
23,136,3
23,137,2
23,138,1
23,139,8
23,140,2
23,141,1
23,142,4
23,143,1
23,144,1
23,145,4
23,146,2
23,147,1
23,148,9
23,149,2
23,150,5
23,151,2
23,152,2
23,153,2
23,154,2
23,155,5
23,156,5
23,157,1
23,158,4
23,159,3
23,160,2
23,161,2
23,162,2
23,163,4
23,164,4
23,165,2
23,166,2
23,167,2
23,168,1
23,169,1
23,170,6
23,171,2
23,172,3
23,173,4
23,174,1
23,175,1
23,176,1
23,177,1
23,178,7
23,179,2
23,180,2
23,181,1
23,182,1
23,183,3
23,184,5
23,185,3
23,186,4
23,187,3
23,188,3
23,189,2
23,190,1
23,191,2
23,192,5
23,193,1
23,194,3
23,195,4
23,196,1
23,197,2
23,198,3
23,199,2
23,200,1
23,201,8
23,202,2
23,203,2
23,204,3
23,205,1
23,206,2
23,207,2
23,208,2
23,209,2
23,210,8
23,211,2
23,212,8
23,213,3
23,214,2
23,215,2
23,216,6
23,217,3
23,218,1
23,219,2
23,220,3
23,221,2
23,222,3
23,223,1
23,224,1
23,225,1
23,226,3
23,227,5
23,228,2
23,229,6
23,230,2
23,231,3
23,232,2
23,233,1
23,234,5
23,235,3
23,236,2
23,237,1
23,238,4
23,239,1
23,240,2
23,241,2
23,242,2
23,243,1
23,244,1
23,245,8
23,246,3
23,247,5
23,248,2
23,249,3
