Time,Scenario,dfix_RA,dflex_RA,dfix_RN,dflex_RN,diff_dfix,diff_dflex
1,10,53.65642482,5.958445039,53.65642482,5.952844145,0,0.005600893
1,11,54.07326414,5.921291437,54.07326414,5.920250518,0,0.001040919
1,12,52.68141405,5.85143382,52.68141405,5.847941336,0,0.003492484
1,13,55.8656208,6.117505079,55.8656208,6.116824922,0,0.000680157
1,14,51.81368877,5.75360296,51.81368877,5.747854935,0,0.005748025
1,15,51.47900901,5.716587263,51.47900901,5.711094058,0,0.005493205
1,16,46.13786361,5.120117438,46.13786361,5.116775145,0,0.003342294
1,17,57.20176584,6.263963877,57.20176584,6.262812726,0,0.001151151
1,18,50.42119437,5.59877426,50.42119437,5.59281481,0,0.00595945
1,19,51.26289228,5.613553791,51.26289228,5.612768374,0,0.000785417
1,1,55.94612409,6.216143478,55.94612409,6.215931788,0,0.00021169
1,20,50.85138357,5.568495234,50.85138357,5.567764873,0,0.000730361
1,21,53.16384159,5.893386487,53.16384159,5.892335755,0,0.001050732
1,22,54.25972434,5.941648477,54.25972434,5.940941472,0,0.000707005
1,23,54.20594646,6.01934067,54.20594646,6.017423853,0,0.001916818
1,24,56.39472765,6.26154532,56.39472765,6.259114668,0,0.002430652
1,25,47.85465807,5.31371173,47.85465807,5.307888006,0,0.005823724
1,26,48.23535483,5.353682146,48.23535483,5.350587053,0,0.003095093
1,27,47.42844606,5.193349418,47.42844606,5.192312377,0,0.001037041
1,28,56.93195448,6.323362782,56.93195448,6.319589734,0,0.003773049
1,29,53.72026839,5.965084812,53.72026839,5.96302367,0,0.002061142
1,2,45.2434149,5.021153182,45.2434149,5.018006645,0,0.003146537
1,30,49.09397967,5.451491061,49.09397967,5.44588565,0,0.00560541
1,3,56.6447409,6.290243645,56.6447409,6.288279368,0,0.001964277
1,4,49.13344071,5.458855857,49.13344071,5.458015037,0,0.00084082
1,5,56.19796155,6.244004925,56.19796155,6.243548763,0,0.000456161
1,6,53.16384159,5.905072111,53.16384159,5.901690327,0,0.003381784
1,7,52.68141405,5.853351332,52.68141405,5.853042476,0,0.000308856
1,8,48.5330544,5.386505099,48.5330544,5.383192735,0,0.003312364
1,9,53.23921776,5.911626143,53.23921776,5.90585124,0,0.005774903
2,10,64.25403399,7.135478414,64.25403399,7.129081984,0,0.00639643
2,11,52.59763098,5.84106255,52.59763098,5.835598415,0,0.005464134
2,12,71.15196951,7.869346913,71.15196951,7.867953282,0,0.001393631
2,13,71.90755965,7.873339009,71.90755965,7.871718802,0,0.001620207
2,14,60.86027925,6.664558072,60.86027925,6.664026768,0,0.000531303
2,15,68.13903951,7.461508495,68.13903951,7.459696256,0,0.001812239
2,16,57.58230375,6.393556735,57.58230375,6.391159325,0,0.002397409
2,17,57.37374567,6.282785385,57.37374567,6.281594512,0,0.001190873
2,18,59.37657741,6.502072889,59.37657741,6.501210926,0,0.000861964
2,19,57.40533162,6.286186149,57.40533162,6.285232283,0,0.000953866
2,1,58.06376487,6.451335065,58.06376487,6.450914479,0,0.000420586
2,20,64.16509131,7.026369356,64.16509131,7.02484005,0,0.001529306
2,21,74.42787141,8.150190334,74.42787141,8.148430063,0,0.00176027
2,22,69.31602909,7.59032381,69.31602909,7.589345463,0,0.000978346
2,23,65.37830031,7.258986437,65.37830031,7.256164709,0,0.002821729
2,24,56.34407511,6.16980784,56.34407511,6.168822055,0,0.000985785
2,25,64.46926683,7.159407019,64.46926683,7.152980695,0,0.006426325
2,26,55.99193607,6.217262966,55.99193607,6.215177596,0,0.00208537
2,27,62.66896848,6.953743618,62.66896848,6.949050328,0,0.00469329
2,28,59.50796661,6.516438905,59.50796661,6.515555891,0,0.000883013
2,29,46.78170984,5.123205257,46.78170984,5.122307191,0,0.000898066
2,2,53.28963081,5.91686307,53.28963081,5.914604985,0,0.002258085
2,30,57.01437468,6.243384827,57.01437468,6.242379106,0,0.001005721
2,3,76.56754347,8.500808941,76.56754347,8.49722228,0,0.003586661
2,4,58.24010007,6.470936085,58.24010007,6.4705309,0,0.000405185
2,5,52.40883978,5.817852433,52.40883978,5.814993943,0,0.00285849
2,6,74.42787141,8.265921572,74.42787141,8.259313859,0,0.006607712
2,7,71.84751993,7.982775736,71.84751993,7.98218125,0,0.000594486
2,8,62.44591743,6.83795344,62.44591743,6.836659302,0,0.001294139
2,9,64.37130795,7.14850436,64.37130795,7.142101502,0,0.006402858
3,10,53.13827691,5.822420592,53.13827691,5.820952857,0,0.001467735
3,11,75.33394308,7.9879442,75.33394308,7.987094852,0,0.000849348
3,12,52.73064693,5.855099425,52.73064693,5.848646611,0,0.006452814
3,13,68.61263391,7.513357703,68.61263391,7.512546386,0,0.000811317
3,14,80.93380266,8.86263209,80.93380266,8.860775986,0,0.001856104
3,15,51.83072244,5.755441193,51.83072244,5.74969283,0,0.005748364
3,16,76.9454055,8.542729351,76.9454055,8.539144534,0,0.003584817
3,17,58.7191104,6.430124639,58.7191104,6.428734758,0,0.001389881
3,18,65.74702995,7.199573833,65.74702995,7.197811492,0,0.001762341
3,19,75.00245733,8.329909504,75.00245733,8.323786303,0,0.006123201
3,1,51.53566689,5.725769175,51.53566689,5.724928422,0,0.000840754
3,20,51.19757946,5.606292331,51.19757946,5.604832944,0,0.001459386
3,21,55.32589314,6.143791586,55.32589314,6.138120066,0,0.00567152
3,22,79.79626008,8.629590511,79.79626008,8.62881892,0,0.000771591
3,23,60.96236841,6.770495787,60.96236841,6.768847869,0,0.001647917
3,24,59.55273873,6.611918943,59.55273873,6.609227846,0,0.002691098
3,25,50.82139458,5.643541395,50.82139458,5.638072994,0,0.005468401
3,26,59.45750703,6.510607521,59.45750703,6.509367876,0,0.001239646
3,27,56.0231955,6.219257495,56.0231955,6.216304927,0,0.002952568
3,28,66.35910024,7.370301864,66.35910024,7.365712749,0,0.004589116
3,29,66.13716357,7.341780542,66.13716357,7.338165162,0,0.00361538
3,2,58.86020007,6.539827687,58.86020007,6.539406373,0,0.000421314
3,30,61.25991021,6.708296908,61.25991021,6.70764621,0,0.000650698
3,3,52.6527414,5.843604506,52.6527414,5.840028482,0,0.003576023
3,4,74.44496466,8.271310253,74.44496466,8.270582451,0,0.000727802
3,5,71.14472019,7.904585429,71.14472019,7.903802474,0,0.000782955
3,6,55.32589314,6.147201547,55.32589314,6.146258524,0,0.000943023
3,7,54.53886753,6.05949388,54.53886753,6.058722387,0,0.000771494
3,8,60.71170554,6.648108582,60.71170554,6.647207505,0,0.000901076
3,9,54.39784239,6.039387051,54.39784239,6.031378579,0,0.008008472
4,10,65.84768496,7.313437062,65.84768496,7.308504867,0,0.004932195
4,11,57.62470095,6.31010843,57.62470095,6.30873513,0,0.0013733
4,12,72.51799383,7.941055313,72.51799383,7.939465814,0,0.001589498
4,13,54.07565598,5.958535047,54.07565598,5.957734847,0,0.0008002
4,14,70.84114623,7.75750365,70.84114623,7.756550961,0,0.000952689
4,15,77.33395881,8.392217708,77.33395881,8.391068783,0,0.001148924
4,16,60.29949339,6.693446159,60.29949339,6.689995497,0,0.003450662
4,17,63.10135197,6.909996762,63.10135197,6.908818259,0,0.001178503
4,18,53.47563228,5.936972482,53.47563228,5.929025889,0,0.007946593
4,19,62.71526169,6.867628056,62.71526169,6.866286853,0,0.001341202
4,1,75.2747139,8.363590477,75.2747139,8.363023712,0,0.000566764
4,20,73.91464956,8.093984532,73.91464956,8.092504488,0,0.001480044
4,21,74.5325766,7.895481604,74.5325766,7.894769716,0,0.000711888
4,22,59.14853748,6.56492225,59.14853748,6.561145618,0,0.003776632
4,23,79.2487206,8.798800233,79.2487206,8.795288895,0,0.003511338
4,24,61.15812849,6.697019354,61.15812849,6.696088904,0,0.000930451
4,25,70.22580489,7.799021786,70.22580489,7.79260455,0,0.006417236
4,26,57.44135655,6.289974032,57.44135655,6.289170727,0,0.000803304
4,27,76.61953071,8.390040855,76.61953071,8.388649972,0,0.001390883
4,28,80.87619654,8.982393619,80.87619654,8.976028485,0,0.006365134
4,29,58.25530557,6.379138609,58.25530557,6.378307075,0,0.000831534
4,2,74.6701011,8.290510984,74.6701011,8.287213646,0,0.003297338
4,30,69.94532844,7.659412385,69.94532844,7.658775116,0,0.000637268
4,3,69.10589466,7.678228553,69.10589466,7.67778303,0,0.000445523
4,4,57.50009361,6.388575048,57.50009361,6.387907765,0,0.000667283
4,5,60.0808725,6.675350676,60.0808725,6.67472488,0,0.000625796
4,6,73.9842615,8.220235955,73.9842615,8.218418204,0,0.00181775
