T,O,price_1,price_2,price_3,
1,1,22.07804745,22.07804745,220,10
1,2,15.38203647,15.38203647,15.38203647,8
1,3,15.39035868,-15.39035868,-15.39035868,2
2,1,22.0758451,22.0758451,176,8
2,2,15.38389147,15.38389147,15.38389147,6
2,3,13.01006633,-13.01006633,-13.01006633,10
3,1,22.06821307,22.06821307,0,0
3,2,13.00726793,13.00726793,13.00726793,3
3,3,15.38163612,-15.38163612,-15.38163612,0
4,1,22.08466924,22.08466924,66,3
4,2,13.00725831,13.00725831,13.00725831,5
4,3,15.39798862,-15.39798862,-15.39798862,9
5,1,22.06821288,22.06821288,66,3
5,2,15.38115298,15.38115298,15.38115298,8
5,3,13.010167,-13.010167,-13.010167,1
6,1,18.70282068,18.70282068,88,4
6,2,13.00721661,13.00721661,13.00721661,7
6,3,15.38301071,-15.38301071,-15.38301071,8
7,1,22.06821148,22.06821148,220,10
7,2,15.38115284,15.38115284,15.38115284,6
7,3,15.39735168,-15.39735168,-15.39735168,3
8,1,22.08215624,22.08215624,154,7
8,2,13.00720065,13.00720065,13.00720065,8
8,3,15.38163611,-15.38163611,-15.38163611,7
9,1,22.06821182,22.06821182,154,7
9,2,15.38217575,15.38217575,15.38217575,2
9,3,13.00986487,-13.00986487,-13.00986487,3
10,1,18.7071392,18.7071392,88,4
10,2,15.38115315,15.38115315,15.38115315,2
10,3,15.38163593,-15.38163593,-15.38163593,10
11,1,22.06821357,22.06821357,176,8
11,2,13.0071873,13.0071873,13.0071873,7
11,3,15.40697406,-15.40697406,-15.40697406,0
12,1,16.44439759,16.44439759,110,5
12,2,15.39242442,15.39242442,15.39242442,4
12,3,15.38785661,-15.38785661,-15.38785661,6
13,1,19.36124013,19.36124013,66,3
13,2,15.39224149,15.39224149,15.39224149,5
13,3,15.39037701,-15.39037701,-15.39037701,10
14,1,19.34829139,19.34829139,154,7
14,2,13.00724941,13.00724941,13.00724941,6
14,3,15.38163399,-15.38163399,-15.38163399,8
15,1,16.41672353,16.41672353,66,3
15,2,15.3811544,15.3811544,15.3811544,8
15,3,13.01001309,-13.01001309,-13.01001309,0
16,1,16.40175259,16.40175259,88,4
16,2,13.00721777,13.00721777,13.00721777,2
16,3,15.38162636,-15.38162636,-15.38162636,2
