O,T,value
13,1,0.588765402
13,2,0.512153103
13,3,0.543444066
13,4,0.610819819
13,5,0.701758985
13,6,0.717707202
13,7,0.747690474
13,8,0.633450058
13,9,0.544682315
13,10,0.669637841
13,11,0.761937755
13,12,0.798972885
13,13,0.798846485
13,14,0.799857683
13,15,0.890027527
13,16,0.778978316
13,17,0.630842478
13,18,0.561790757
13,19,0.638421782
13,20,0.727763005
13,21,0.794764241
13,22,0.832097425
13,23,0.84689712
13,24,0.923083405
13,25,0.840539681
13,26,0.718381334
13,27,0.626256195
13,28,0.577664293
13,29,0.707670125
13,30,0.768847609
13,31,0.782211653
13,32,0.868094828
13,33,0.795063856
13,34,0.693738062
13,35,0.599554324
13,36,0.562405902
13,37,0.681528782
13,38,0.781212938
13,39,0.805425515
13,40,0.875763081
13,41,0.803771394
13,42,0.692314895
13,43,0.58058921
13,44,0.746189281
13,45,0.843807348
13,46,0.929637467
13,47,0.817534924
13,48,0.702988652
13,49,0.609658814
13,50,0.81504438
13,51,0.852908131
13,52,0.940208232
13,53,0.879040111
13,54,0.741245646
13,55,0.608600801
13,56,0.817572375
13,57,0.85128366
13,58,0.852645968
13,59,0.937282312
13,60,0.824735029
13,61,0.707894835
13,62,0.61069342
13,63,0.817341423
13,64,0.855361223
13,65,0.860223712
13,66,0.947835911
13,67,0.832000674
13,68,0.714261638
13,69,0.623022078
13,70,0.830874
13,71,0.863436763
13,72,0.843601363
13,73,0.914277555
13,74,0.796468297
13,75,0.648749111
13,76,0.588189581
13,77,0.698709786
13,78,0.769573237
13,79,0.747256657
13,80,0.858363607
13,81,0.730971374
13,82,0.621019188
13,83,0.584456441
13,84,0.70819445
13,85,0.792679425
13,86,0.81176735
13,87,0.883974383
13,88,0.821991686
13,89,0.702211528
13,90,0.610083268
13,91,0.588208307
13,92,0.598036278
13,93,0.828121294
13,94,0.874433542
13,95,0.871303197
13,96,0.866933823
13,97,0.940325269
13,98,0.841972211
13,99,0.723268791
13,100,0.640113354
13,101,0.610304858
13,102,0.601419423
13,103,0.665780308
13,104,0.810119471
13,105,0.884652676
13,106,0.967772743
13,107,0.917166024
13,108,0.821017939
13,109,0.734785214
13,110,0.642204412
13,111,0.615988165
13,112,0.836672784
13,113,0.866637954
13,114,0.853657166
13,115,0.93040991
13,116,0.829744205
13,117,0.713400247
13,118,0.640269403
13,119,0.614194225
13,120,0.829101282
13,121,0.860616956
13,122,0.86816505
13,123,0.970188383
13,124,0.896848433
13,125,0.755542864
