T,O,price_model,price
1,10,0.015513791,0.015513791
1,11,130.000158,130.000158
1,12,0.008482322,0.008482322
1,13,130.0003677,130.0003677
1,14,0.019139751,0.019139751
1,15,0.006815379,0.006815379
1,16,0.108182605,0.108182605
1,17,129.9929553,129.9929553
1,18,0.002146203,0.002146203
1,19,130.0016916,130.0016916
1,1,129.9982001,-129.9982001
1,20,130.0020991,130.0020991
1,21,20.4940807,20.4940807
1,22,129.9843453,129.9843453
1,23,0.008443631,0.008443631
1,24,0.025606345,0.025606345
1,25,0.005243781,0.005243781
1,26,0.003961829,0.003961829
1,27,129.974038,129.974038
1,28,0.384685179,0.384685179
1,29,0.019118564,0.019118564
1,2,0.012703567,-0.012703567
1,30,0.105391067,0.105391067
1,3,0.002017278,-0.002017278
1,4,130.008793,-130.008793
1,5,130.0031586,-130.0031586
1,6,0.001968234,-0.001968234
1,7,129.6395218,-129.6395218
1,8,0.029843176,0.029843176
1,9,0.970140757,0.970140757
2,10,0.00333828,0.00333828
2,11,0.160193031,0.160193031
2,12,41.14880119,41.14880119
2,13,129.9703899,129.9703899
2,14,129.9964474,129.9964474
2,15,129.9940364,129.9940364
2,16,0.012438096,0.012438096
2,17,130.0098059,130.0098059
2,18,129.973384,129.973384
2,19,129.9917599,129.9917599
2,1,129.9766899,-129.9766899
2,20,129.9932418,129.9932418
2,21,130.0019098,130.0019098
2,22,130.0382292,130.0382292
2,23,0.00578244,0.00578244
2,24,129.9937085,129.9937085
2,25,0.006406777,0.006406777
2,26,0.444529231,0.444529231
2,27,1.27364301,1.27364301
2,28,130.0012833,130.0012833
2,29,128.268487,128.268487
2,2,0.001353836,-0.001353836
2,30,129.9711434,129.9711434
2,3,0.027909162,-0.027909162
2,4,129.9738557,-129.9738557
2,5,0.007558342,-0.007558342
2,6,0.283598118,-0.283598118
2,7,130.8148933,-130.8148933
2,8,129.924676,129.924676
2,9,0.008140807,0.008140807
3,10,124.5144938,124.5144938
3,11,411.2507508,411.2507508
3,12,0.107301174,0.107301174
3,13,130.0189301,130.0189301
3,14,129.9993068,129.9993068
3,15,0.213797601,0.213797601
3,16,0.065741419,0.065741419
3,17,129.9946303,129.9946303
3,18,129.9875216,129.9875216
3,19,0.005311957,0.005311957
3,1,129.9926488,-129.9926488
3,20,130.0042503,130.0042503
3,21,0.2979202,0.2979202
3,22,240.0743879,240.0743879
3,23,0.296081005,0.296081005
3,24,0.072593789,0.072593789
3,25,0.04590497,0.04590497
3,26,130.0504204,130.0504204
3,27,0.018005536,0.018005536
3,28,0.393653761,0.393653761
3,29,0.018309338,0.018309338
3,2,129.8872905,-129.8872905
3,30,130.0158916,130.0158916
3,3,0.004507363,-0.004507363
3,4,130.1125676,-130.1125676
3,5,129.9308994,-129.9308994
3,6,130.0463738,-130.0463738
3,7,129.9216204,-129.9216204
3,8,130.0306161,130.0306161
3,9,0.032405975,0.032405975
4,10,0.00467204,0.00467204
4,11,130.0763398,130.0763398
4,12,130.0129011,130.0129011
4,13,73.74084369,73.74084369
4,14,129.9891799,129.9891799
4,15,209.8683461,209.8683461
4,16,0.040287236,0.040287236
4,17,130.0033553,130.0033553
4,18,0.005435879,0.005435879
4,19,129.9877547,129.9877547
4,1,130.0891898,-130.0891898
4,20,130.0396118,130.0396118
4,21,419.3651732,419.3651732
4,22,0.09248979,0.09248979
4,23,0.076214638,0.076214638
4,24,129.9864695,129.9864695
4,25,0.011861476,0.011861476
4,26,130.0740185,130.0740185
4,27,129.9900982,129.9900982
4,28,0.046516258,0.046516258
4,29,130.0199385,130.0199385
4,2,0.002834728,-0.002834728
4,30,130.0108494,130.0108494
4,3,129.9907619,-129.9907619
4,4,129.8474187,-129.8474187
4,5,129.9976987,-129.9976987
4,6,129.9954756,-129.9954756
4,7,130.0261564,-130.0261564
4,8,130.8737968,130.8737968
4,9,0.00305081,0.00305081
5,10,129.9370803,129.9370803
5,11,0.015778573,0.015778573
5,12,130.0262216,130.0262216
5,13,0.125562181,0.125562181
