Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
H2,1,11,-327.61978868211065,-3.231326425024109e-5,-6.618616410707058e-7
H2,1,12,-3.2462523082504735e-5,-4.0697800895337585e-5,-5.026275057587194e-6
H2,1,13,-9.352603450838558e-5,-3.231326026929929e-5,-6.323538845710944e-7
H2,1,19,-468.02889046211806,-3.2313261245189897e-5,-4.957130432536471e-7
H2,1,1,-3.877486512829473e-5,-3.2313258600077116e-5,-1.2987406448691265e-6
H2,1,22,-5.1728999056986584e-5,-3.231326085328046e-5,-1.016293655284302e-6
H2,1,23,-3.257498146429104e-5,-3.6306469325106625e-5,-3.7654308661492035e-6
H2,1,24,-3.249038624382606e-5,-4.488498323571156e-5,-4.800640410133604e-6
H2,1,26,-3.2713471528327326e-5,-4.714344342466914e-5,-3.818343472957244e-6
H2,1,27,-3.255710556802159e-5,-4.27147505647658e-5,-3.62462951770866e-6
H2,1,29,-3.2425583263907186e-5,-4.1139443734768466e-5,-4.887432474998572e-6
H2,1,30,-3.23132672400111e-5,-97.13643552953364,-1.0990976016929686e-5
H2,1,4,-0.0002066242273827284,-3.2313274752704285e-5,-1.2438519350241363e-6
H2,1,7,-5.779580131744504e-5,-3.231326591857195e-5,-9.104619848926722e-7
H2,1,8,-3.231327526640449e-5,-60.06891530411615,-8.877296950661555e-6
H2,2,11,-171.6702060716603,-3.231327334928435e-5,-4.459577274062695e-7
H2,2,12,-3.259977763756653e-5,-4.104601663677002e-5,-7.511204355438219e-6
H2,2,13,-3.231328578124078e-5,-40.046557043428756,-6.690119192170208e-7
H2,2,19,-3.261281702569046e-5,-0.0005447345225080306,-6.575483421628146e-7
H2,2,1,-4.212399382984022e-5,-3.231326356114203e-5,-9.44928969074433e-7
H2,2,22,-0.00010533596792522277,-3.2313262783754935e-5,-5.208002053664482e-7
H2,2,23,-3.2798846802173894e-5,-3.666886719418119e-5,-4.268948813356476e-6
H2,2,24,-3.2505859074033334e-5,-4.481118870874947e-5,-1.0014921088504938e-5
H2,2,26,-3.24659402202342e-5,-4.6881386924682385e-5,-1.2371144229864433e-5
H2,2,27,-3.276288103885478e-5,-4.3348999282657366e-5,-4.041444773065113e-6
H2,2,29,-3.285198029321974e-5,-4.1389755777227985e-5,-5.505330465633949e-6
H2,2,30,-3.2313275885121626e-5,-3.231327321517904e-5,-1.0990906620747889e-5
H2,2,4,-0.00014211060190047855,-3.231326315550173e-5,-5.543733385366146e-7
H2,2,7,-40.08541646086363,-3.2313272881050154e-5,-5.148398162944107e-7
H2,2,8,-5.51723197205237e-5,-3.231328054108261e-5,-2.4055083068617073e-6
H2,3,11,-156.0095926215479,-3.2313275267698095e-5,-3.565013851356473e-7
H2,3,12,-3.281697048964802e-5,-4.10390114623026e-5,-1.0054255107300822e-5
H2,3,13,-3.231325817770552e-5,-320.37222709081533,-1.2476168550225611e-6
H2,3,19,-3.281468650243572e-5,-0.00044899642692095346,-7.991090279541853e-7
H2,3,1,-4.140523959323775e-5,-3.23132747534619e-5,-8.461415606015457e-7
H2,3,22,-71.1086037294277,-3.231326478585922e-5,-3.617772241082179e-7
H2,3,23,-3.246543379703373e-5,-3.62342205647401e-5,-7.93124515714514e-6
H2,3,24,-3.250938180794941e-5,-4.4371597240649974e-5,-14.748500326250126
H2,3,26,-3.262788640633902e-5,-4.697487412865492e-5,-8.58032872933192
H2,3,27,-3.250048669260373e-5,-4.19239156105944e-5,-5.480741170042564e-6
H2,3,29,-3.259463950675158e-5,-4.157701869724078e-5,-7.4685583606852925e-6
H2,3,30,-3.2504966455262694e-5,-3.2313260614829346e-5,-9.363226357361591e-6
H2,3,4,-0.00015940792683778304,-3.2313271333105846e-5,-4.2695327659541246e-7
H2,3,7,-9.591540139051341,-3.231328427170837e-5,-3.90428869653256e-7
H2,3,8,-7.890810387199804e-5,-3.2313268483666194e-5,-8.24316070868715e-7
H2,4,11,-3.2641732464175875e-5,-0.000388844497374634,-3.944889302821658e-7
H2,4,12,-3.261632755565964e-5,-4.1363116482351505e-5,-2.4730824412623084e-5
H2,4,13,-3.2313265705934076e-5,-110.12783257887381,-1.7754538885976599e-6
H2,4,19,-0.0015369801384737878,-3.262063488664203e-5,-4.696424060978417e-7
H2,4,1,-9.861695157123117e-5,-3.231326705854001e-5,-5.595586578314527e-7
H2,4,22,-3.231330051480466e-5,-3.231329916795585e-5,-3.6177716444769115e-7
H2,4,23,-3.288730637072492e-5,-3.696847567602705e-5,-9.838295586722455e-6
H2,4,24,-3.2313429053879766e-5,-3.2313263334551593e-5,-0.443974940195149
H2,4,26,-0.00041912373662224105,-3.231326689993138e-5,-7.132201467476901e-7
H2,4,27,-3.2484962482173845e-5,-4.297320525501002e-5,-9.40548731602282e-6
H2,4,29,-3.242773040338677e-5,-4.135086861211566e-5,-6.262474764290072e-5
H2,4,30,-0.0005737798083031431,-3.231325964521859e-5,-3.036972641017358e-7
H2,4,4,-3.231326394106147e-5,-130.15208892003426,-4.853052216489469e-7
H2,4,7,-11.337029173292859,-3.231327965023526e-5,-3.0369705275154766e-7
H2,4,8,-3.2313268255304424e-5,-90.10343002294034,-1.1258933736811889e-6
H2,5,11,-3.279700407584546e-5,-0.00038554601573459756,-4.230498819733729e-7
H2,5,12,-3.2699394195837e-5,-4.128854251922891e-5,-8.580092260762395
H2,5,13,-3.2313259087686384e-5,-260.30362814151795,-9.654606179887935
H2,5,19,-3.3067609105003184e-5,-0.00023096085375654894,-5.112973049155657e-7
H2,5,1,-4.6452410483622274e-5,-3.2313279883124205e-5,-5.197139205014285e-7
H2,5,22,-3.231330208891704e-5,-3.231327338876722e-5,-3.6177702556067065e-7
H2,5,23,-3.308155694750476e-5,-3.72947026700705e-5,-1.1658895890217496e-5
H2,5,24,-3.23133460792999e-5,-3.231326394083494e-5,-0.3005490798477382
