Y,T,Weights
18,1,4
18,2,3
18,3,2
18,4,1
18,5,2
18,6,2
18,7,2
18,8,5
18,9,2
18,10,2
18,11,9
18,12,1
18,13,1
18,14,2
18,15,3
18,16,2
18,17,3
18,18,3
18,19,2
18,20,4
18,21,3
18,22,2
18,23,5
18,24,4
18,25,2
18,26,8
18,27,2
18,28,5
18,29,2
18,30,1
18,31,2
18,32,2
18,33,1
18,34,3
18,35,2
18,36,1
18,37,2
18,38,1
18,39,3
18,40,4
18,41,2
18,42,3
18,43,2
18,44,2
18,45,8
18,46,3
18,47,5
18,48,2
18,49,2
18,50,2
18,51,2
18,52,8
18,53,1
18,54,2
18,55,6
18,56,3
18,57,2
18,58,2
18,59,5
18,60,3
18,61,2
18,62,2
18,63,2
18,64,4
18,65,2
18,66,2
18,67,1
18,68,1
18,69,2
18,70,9
18,71,3
18,72,2
18,73,1
18,74,1
18,75,2
18,76,3
18,77,9
18,78,1
18,79,2
18,80,1
18,81,3
18,82,1
18,83,1
18,84,2
18,85,2
18,86,1
18,87,1
18,88,1
18,89,1
18,90,7
18,91,3
18,92,5
18,93,2
18,94,3
18,95,2
18,96,1
18,97,2
18,98,6
18,99,1
18,100,2
18,101,6
18,102,3
18,103,2
18,104,2
18,105,2
18,106,1
18,107,1
18,108,1
18,109,3
18,110,1
18,111,1
18,112,1
18,113,2
18,114,4
18,115,3
18,116,2
18,117,2
18,118,2
18,119,2
18,120,4
18,121,3
18,122,5
18,123,2
18,124,2
18,125,2
18,126,2
18,127,3
18,128,7
18,129,2
18,130,3
18,131,3
18,132,2
18,133,1
18,134,2
18,135,2
18,136,2
18,137,2
18,138,2
18,139,3
18,140,2
18,141,3
18,142,1
18,143,2
18,144,2
18,145,2
18,146,2
18,147,3
18,148,5
18,149,1
18,150,3
18,151,1
18,152,2
18,153,3
18,154,3
18,155,2
18,156,2
18,157,2
18,158,5
18,159,2
18,160,2
18,161,4
18,162,2
18,163,1
18,164,3
18,165,1
18,166,1
18,167,8
18,168,2
18,169,1
18,170,3
18,171,1
18,172,3
18,173,3
18,174,1
18,175,1
18,176,1
18,177,8
18,178,2
18,179,2
18,180,3
18,181,1
18,182,2
18,183,3
18,184,2
18,185,3
18,186,3
18,187,3
18,188,3
18,189,3
18,190,2
18,191,2
18,192,3
18,193,2
18,194,1
18,195,5
18,196,5
18,197,1
18,198,4
18,199,1
18,200,2
18,201,2
18,202,2
18,203,2
18,204,3
18,205,7
18,206,1
18,207,4
18,208,1
18,209,6
18,210,2
18,211,5
18,212,3
18,213,2
18,214,2
18,215,3
18,216,1
18,217,2
18,218,2
18,219,2
18,220,2
18,221,3
18,222,5
18,223,2
18,224,2
18,225,3
18,226,1
18,227,2
18,228,2
18,229,2
18,230,2
18,231,8
18,232,2
18,233,2
18,234,4
18,235,2
18,236,2
18,237,2
18,238,2
18,239,8
18,240,3
18,241,2
18,242,2
18,243,1
18,244,2
18,245,3
18,246,2
18,247,1
18,248,4
18,249,4
18,250,3
18,251,4
18,252,3
18,253,2
18,254,2
18,255,2
18,256,5
18,257,4
18,258,1
18,259,2
18,260,4
18,261,2
18,262,2
18,263,2
18,264,2
18,265,5
18,266,5
18,267,2
18,268,3
18,269,3
18,270,2
18,271,2
18,272,2
18,273,8
18,274,1
18,275,2
18,276,4
18,277,3
18,278,3
18,279,2
18,280,1
18,281,3
18,282,5
18,283,3
18,284,5
18,285,2
18,286,3
18,287,2
18,288,1
18,289,8
18,290,2
18,291,1
18,292,1
18,293,3
18,294,1
18,295,1
18,296,4
18,297,2
18,298,1
18,299,8
18,300,2
18,301,1
18,302,4
18,303,1
18,304,1
18,305,1
18,306,3
18,307,2
18,308,4
18,309,5
18,310,2
18,311,1
18,312,4
18,313,1
18,314,2
18,315,3
18,316,2
18,317,4
18,318,7
18,319,1
18,320,4
18,321,1
18,322,2
18,323,3
18,324,3
18,325,3
18,326,6
18,327,1
18,328,1
18,329,4
18,330,1
18,331,1
18,332,1
18,333,3
18,334,2
18,335,9
18,336,1
18,337,1
18,338,1
18,339,4
18,340,1
18,341,1
18,342,1
18,343,3
18,344,2
18,345,4
18,346,5
18,347,3
18,348,5
18,349,2
18,350,3
18,351,2
18,352,1
18,353,8
18,354,2
18,355,6
18,356,2
18,357,3
18,358,2
18,359,1
18,360,4
18,361,4
18,362,3
18,363,5
18,364,2
18,365,3
18,366,2
18,367,1
18,368,5
18,369,2
18,370,1
18,371,2
18,372,2
18,373,4
18,374,1
18,375,4
18,376,2
18,377,4
18,378,4
18,379,2
18,380,2
18,381,3
18,382,2
18,383,2
18,384,4
18,385,2
18,386,5
18,387,4
18,388,1
18,389,1
18,390,3
18,391,1
18,392,3
18,393,2
18,394,2
18,395,2
18,396,8
18,397,2
18,398,2
18,399,4
18,400,1
18,401,1
18,402,3
18,403,2
18,404,3
18,405,3
18,406,2
18,407,1
18,408,2
18,409,2
18,410,3
18,411,3
18,412,3
18,413,1
18,414,1
18,415,1
18,416,3
18,417,5
18,418,2
18,419,4
18,420,2
18,421,2
18,422,3
18,423,2
18,424,1
18,425,8
18,426,2
18,427,1
18,428,1
18,429,3
18,430,1
18,431,2
18,432,3
18,433,2
18,434,4
18,435,5
18,436,2
18,437,1
18,438,4
18,439,1
18,440,2
18,441,3
18,442,2
18,443,11
18,444,2
18,445,3
18,446,3
18,447,3
18,448,2
18,449,2
18,450,4
18,451,4
18,452,1
18,453,1
18,454,1
18,455,3
18,456,2
18,457,6
18,458,9
18,459,2
18,460,1
18,461,5
18,462,2
18,463,2
18,464,2
18,465,2
18,466,2
18,467,3
18,468,3
18,469,2
18,470,8
18,471,4
18,472,2
18,473,8
18,474,2
18,475,2
18,476,3
18,477,1
18,478,2
18,479,3
18,480,2
18,481,1
18,482,3
18,483,5
18,484,2
18,485,2
18,486,3
18,487,3
18,488,3
18,489,2
18,490,1
18,491,8
18,492,1
18,493,2
18,494,4
18,495,2
18,496,4
18,497,2
18,498,1
18,499,3
18,500,6
18,501,1
18,502,1
18,503,1
18,504,3
18,505,1
18,506,1
18,507,1
18,508,4
18,509,2
18,510,3
18,511,2
18,512,2
18,513,3
18,514,1
18,515,4
18,516,1
18,517,3
18,518,2
18,519,2
18,520,9
18,521,2
18,522,2
18,523,3
18,524,1
18,525,2
18,526,3
18,527,2
18,528,1
18,529,8
18,530,1
18,531,1
18,532,1
18,533,1
18,534,3
18,535,1
18,536,1
18,537,1
18,538,3
18,539,2
18,540,1
18,541,3
18,542,5
18,543,2
18,544,1
18,545,1
18,546,3
18,547,1
18,548,1
18,549,1
18,550,4
18,551,2
18,552,8
18,553,1
18,554,1
18,555,1
18,556,1
18,557,3
18,558,1
18,559,1
18,560,1
18,561,4
18,562,2
18,563,2
18,564,5
18,565,1
18,566,1
18,567,2
18,568,1
18,569,1
18,570,1
18,571,5
18,572,2
18,573,1
18,574,2
18,575,3
18,576,6
18,577,1
18,578,1
18,579,4
18,580,1
18,581,2
18,582,1
18,583,3
18,584,2
18,585,3
18,586,2
18,587,2
18,588,2
18,589,1
18,590,1
18,591,1
18,592,3
18,593,1
18,594,1
18,595,2
18,596,3
18,597,2
18,598,2
18,599,6
18,600,1
18,601,1
18,602,1
18,603,1
18,604,3
18,605,1
18,606,1
18,607,1
18,608,4
18,609,2
18,610,8
18,611,1
18,612,1
18,613,1
18,614,1
18,615,2
18,616,1
18,617,1
18,618,1
18,619,1
18,620,4
18,621,2
18,622,3
18,623,5
18,624,1
18,625,1
18,626,2
18,627,3
18,628,2
18,629,1
18,630,2
18,631,2
18,632,1
18,633,1
18,634,2
18,635,6
18,636,2
18,637,1
18,638,1
18,639,3
18,640,2
18,641,1
18,642,4
18,643,2
18,644,8
18,645,2
18,646,1
18,647,3
18,648,2
18,649,1
18,650,1
18,651,3
18,652,2
18,653,4
18,654,6
18,655,1
18,656,1
18,657,1
18,658,3
18,659,2
18,660,1
18,661,3
18,662,2
18,663,5
18,664,5
18,665,1
18,666,1
18,667,4
18,668,1
18,669,1
18,670,1
18,671,4
18,672,2
18,673,8
18,674,2
18,675,1
18,676,4
18,677,2
18,678,1
18,679,4
18,680,2
18,681,5
18,682,3
18,683,1
18,684,2
18,685,1
18,686,4
18,687,1
18,688,1
18,689,3
18,690,2
18,691,1
18,692,3
18,693,4
18,694,1
18,695,1
18,696,1
18,697,3
18,698,3
18,699,2
18,700,3
18,701,2
18,702,1
18,703,8
18,704,1
18,705,2
18,706,4
18,707,2
18,708,1
18,709,4
18,710,2
18,711,8
18,712,1
18,713,2
18,714,4
18,715,2
18,716,1
18,717,2
18,718,2
18,719,2
18,720,3
18,721,2
18,722,4
18,723,1
18,724,1
18,725,3
18,726,2
18,727,2
18,728,4
18,729,2
18,730,5
18,731,3
18,732,1
18,733,1
18,734,1
18,735,4
18,736,2
18,737,1
18,738,2
18,739,2
18,740,2
18,741,3
18,742,5
18,743,1
18,744,1
18,745,5
18,746,1
18,747,1
18,748,1
18,749,4
18,750,2
18,751,8
18,752,2
18,753,1
18,754,5
18,755,2
18,756,5
18,757,1
18,758,8
18,759,1
18,760,1
18,761,1
18,762,4
18,763,1
18,764,1
18,765,1
18,766,4
18,767,2
18,768,3
18,769,5
18,770,1
18,771,1
18,772,1
18,773,4
18,774,1
18,775,1
18,776,1
18,777,5
18,778,1
18,779,5
18,780,3
18,781,1
18,782,1
18,783,1
18,784,4
18,785,1
18,786,1
18,787,1
18,788,1
18,789,3
18,790,2
18,791,3
18,792,5
18,793,1
18,794,1
18,795,1
18,796,1
18,797,3
18,798,1
18,799,1
18,800,1
18,801,1
18,802,3
18,803,2
18,804,8
18,805,1
18,806,1
18,807,1
18,808,1
18,809,3
18,810,1
18,811,1
18,812,1
18,813,5
18,814,8
18,815,2
18,816,1
18,817,1
18,818,4
18,819,1
18,820,1
18,821,1
18,822,4
18,823,1
18,824,8
18,825,2
18,826,2
18,827,5
18,828,2
18,829,4
18,830,1
18,831,8
18,832,2
18,833,1
18,834,1
18,835,4
18,836,2
18,837,1
18,838,4
18,839,1
18,840,8
18,841,1
18,842,1
18,843,1
18,844,1
18,845,4
18,846,1
18,847,1
18,848,1
18,849,1
18,850,3
18,851,1
18,852,8
18,853,1
18,854,1
18,855,1
18,856,1
18,857,4
18,858,1
18,859,1
18,860,1
18,861,1
18,862,3
18,863,2
18,864,8
18,865,1
18,866,1
18,867,1
18,868,4
18,869,1
18,870,1
18,871,1
18,872,5
18,873,3
18,874,6
18,875,1
18,876,1
18,877,2
18,878,3
