Y,T,Weights
18,1,10
18,2,30
18,3,10
18,4,6
18,5,32
18,6,6
18,7,9
18,8,14
18,9,25
18,10,9
18,11,14
18,12,10
18,13,7
18,14,9
18,15,16
18,16,32
18,17,8
18,18,15
18,19,9
18,20,14
18,21,6
18,22,7
18,23,16
18,24,45
18,25,6
18,26,10
18,27,7
18,28,9
18,29,16
18,30,8
18,31,27
18,32,11
18,33,17
18,34,17
18,35,10
18,36,16
18,37,12
18,38,34
18,39,14
18,40,12
18,41,6
18,42,48
18,43,6
18,44,26
18,45,10
18,46,24
18,47,14
18,48,8
18,49,15
18,50,9
18,51,14
18,52,13
18,53,6
18,54,17
18,55,6
18,56,31
18,57,59
18,58,13
18,59,43
18,60,5
18,61,33
18,62,15
18,63,19
18,64,16
18,65,22
18,66,15
18,67,9
18,68,15
18,69,11
18,70,13
18,71,11
18,72,6
18,73,19
18,74,5
18,75,18
18,76,25
18,77,23
18,78,13
18,79,48
18,80,34
18,81,15
18,82,11
18,83,6
18,84,12
18,85,4
18,86,7
18,87,16
18,88,15
18,89,11
18,90,7
18,91,6
18,92,11
18,93,7
18,94,17
18,95,7
18,96,18
18,97,11
18,98,20
18,99,11
18,100,5
18,101,7
18,102,5
18,103,13
18,104,5
18,105,18
18,106,7
18,107,15
18,108,10
18,109,16
18,110,7
18,111,18
18,112,5
18,113,17
18,114,8
18,115,16
18,116,7
18,117,19
18,118,6
18,119,15
18,120,10
18,121,16
18,122,7
18,123,15
18,124,9
18,125,24
18,126,16
18,127,7
18,128,17
18,129,8
18,130,6
18,131,9
18,132,9
18,133,17
18,134,8
18,135,16
18,136,8
18,137,16
18,138,7
18,139,17
18,140,7
18,141,16
18,142,8
18,143,16
18,144,7
18,145,17
18,146,8
18,147,14
18,148,16
18,149,8
18,150,11
18,151,16
18,152,8
18,153,15
18,154,9
18,155,14
18,156,9
18,157,17
18,158,8
18,159,15
18,160,8
18,161,17
18,162,8
18,163,16
18,164,8
18,165,16
18,166,8
18,167,15
18,168,7
18,169,16
18,170,9
18,171,17
18,172,7
18,173,16
18,174,8
18,175,16
18,176,8
18,177,16
18,178,9
18,179,15
18,180,8
18,181,16
18,182,8
18,183,15
18,184,9
18,185,15
18,186,9
18,187,16
18,188,8
18,189,16
18,190,8
18,191,16
18,192,8
18,193,15
18,194,8
18,195,17
18,196,9
18,197,17
18,198,16
18,199,19
18,200,10
18,201,9
18,202,16
18,203,9
18,204,15
18,205,8
18,206,16
18,207,8
18,208,16
18,209,9
18,210,15
18,211,8
18,212,16
18,213,8
18,214,16
18,215,8
18,216,16
18,217,8
18,218,16
18,219,9
18,220,13
18,221,11
18,222,8
18,223,8
18,224,8
18,225,14
18,226,10
18,227,16
18,228,9
18,229,13
18,230,9
18,231,6
18,232,8
18,233,10
18,234,14
18,235,9
18,236,15
18,237,10
18,238,14
18,239,9
18,240,17
18,241,8
18,242,16
18,243,9
18,244,13
18,245,9
18,246,15
18,247,13
18,248,13
18,249,9
18,250,13
18,251,12
18,252,13
18,253,10
18,254,15
