Y,T,Weights
20,1,58
20,2,11
20,3,10
20,4,16
20,5,11
20,6,12
20,7,9
20,8,15
20,9,24
20,10,33
20,11,16
20,12,8
20,13,14
20,14,10
20,15,14
20,16,10
20,17,16
20,18,8
20,19,32
20,20,7
20,21,26
20,22,7
20,23,14
20,24,10
20,25,8
20,26,8
20,27,8
20,28,16
20,29,8
20,30,16
20,31,8
20,32,14
20,33,20
20,34,4
20,35,13
20,36,12
20,37,9
20,38,15
20,39,9
20,40,14
20,41,10
20,42,14
20,43,10
20,44,16
20,45,8
20,46,14
20,47,36
20,48,22
20,49,15
20,50,9
20,51,15
20,52,11
20,53,13
20,54,9
20,55,15
20,56,9
20,57,15
20,58,57
20,59,15
20,60,9
20,61,15
20,62,9
20,63,15
20,64,9
20,65,15
20,66,9
20,67,15
20,68,11
20,69,6
20,70,43
20,71,13
20,72,10
20,73,13
20,74,9
20,75,15
20,76,9
20,77,26
20,78,13
20,79,35
20,80,7
20,81,15
20,82,15
20,83,9
20,84,15
20,85,9
20,86,8
20,87,16
20,88,39
20,89,12
20,90,30
20,91,91
20,92,12
20,93,8
20,94,16
20,95,9
20,96,8
20,97,16
20,98,8
20,99,17
20,100,6
20,101,19
20,102,12
20,103,35
20,104,7
20,105,7
20,106,10
20,107,6
20,108,17
20,109,9
20,110,15
20,111,8
20,112,6
20,113,9
20,114,15
20,115,11
20,116,8
20,117,5
20,118,9
20,119,9
20,120,17
20,121,7
20,122,17
20,123,7
20,124,16
20,125,9
20,126,15
20,127,9
20,128,15
20,129,9
20,130,15
20,131,9
20,132,16
20,133,7
20,134,17
20,135,8
20,136,5
20,137,9
20,138,10
20,139,16
20,140,8
20,141,9
20,142,6
20,143,9
20,144,13
20,145,9
20,146,18
20,147,8
20,148,16
20,149,6
20,150,15
20,151,11
20,152,15
20,153,9
20,154,16
20,155,7
20,156,16
20,157,9
20,158,14
20,159,10
20,160,15
20,161,9
20,162,15
20,163,9
20,164,16
20,165,6
20,166,18
20,167,8
20,168,15
20,169,9
20,170,16
20,171,8
20,172,14
20,173,9
20,174,16
20,175,8
20,176,16
20,177,8
20,178,16
20,179,8
20,180,15
20,181,8
20,182,16
20,183,9
20,184,17
20,185,7
20,186,14
20,187,11
20,188,15
20,189,8
20,190,16
20,191,10
20,192,14
20,193,8
20,194,16
20,195,8
20,196,6
20,197,9
20,198,9
20,199,16
20,200,8
20,201,16
20,202,8
20,203,16
20,204,8
20,205,17
20,206,7
20,207,16
20,208,8
20,209,14
20,210,10
20,211,17
20,212,7
20,213,16
20,214,8
20,215,16
20,216,10
20,217,12
20,218,10
20,219,14
20,220,12
20,221,14
20,222,14
20,223,10
20,224,8
20,225,6
20,226,8
20,227,6
20,228,21
20,229,7
20,230,16
20,231,9
20,232,13
20,233,12
20,234,12
20,235,11
20,236,15
20,237,9
20,238,15
20,239,8
20,240,15
20,241,9
