O,T,G,value
10,1,PV,0
10,2,PV,0.003833333
10,3,PV,0.0715
10,4,PV,0.046
10,5,PV,0
10,6,PV,0
10,7,PV,0
10,8,PV,0
10,9,PV,0.044
10,10,PV,0.013
10,11,PV,0
10,12,PV,0
10,13,PV,0
10,14,PV,0
10,15,PV,0
10,16,PV,0.044666667
10,17,PV,0.092666667
10,18,PV,0.0035
10,19,PV,0
10,20,PV,0
10,21,PV,0
10,22,PV,0
10,23,PV,0
10,24,PV,0.0002
10,25,PV,0.0375
10,26,PV,0.05525
10,27,PV,0.003
10,28,PV,0
10,29,PV,0
10,30,PV,0
10,31,PV,0
10,32,PV,0
10,33,PV,0
10,34,PV,0.0005
10,35,PV,0.0394
10,36,PV,0.0175
10,37,PV,0
10,38,PV,0
10,39,PV,0
10,40,PV,0
10,41,PV,0.014
10,42,PV,0.08825
10,43,PV,0.015
10,44,PV,0
10,45,PV,0
10,46,PV,0
10,47,PV,0
10,48,PV,0.031
10,49,PV,0.009
10,50,PV,0
10,51,PV,0
10,52,PV,0
10,53,PV,0
10,54,PV,0.011666667
10,55,PV,0.1025
10,56,PV,0.0285
10,57,PV,0
10,58,PV,0
10,59,PV,0
10,60,PV,0.013
10,61,PV,0.1246
10,62,PV,0.008
10,63,PV,0
10,64,PV,0
10,65,PV,0
10,66,PV,0.000571429
10,67,PV,0.0885
10,68,PV,0.192666667
10,69,PV,0.11
10,70,PV,0.0125
10,71,PV,0
10,72,PV,0
10,73,PV,0
10,74,PV,0
10,75,PV,0.0016
10,76,PV,0.071
10,77,PV,0.152
10,78,PV,0.226
10,79,PV,0.126
10,80,PV,0.0145
10,81,PV,0
10,82,PV,0
10,83,PV,0
10,84,PV,0
10,85,PV,0
10,86,PV,0
10,87,PV,0
10,88,PV,0.0045
10,89,PV,0.043666667
10,90,PV,0
10,91,PV,0
10,92,PV,0
10,93,PV,0
10,94,PV,0
10,95,PV,0
10,96,PV,0.019
10,97,PV,0.033
10,98,PV,0.038
10,99,PV,0.009333333
10,100,PV,0
10,101,PV,0
10,102,PV,0
10,103,PV,0
10,104,PV,0
10,105,PV,0.01
10,106,PV,0.126666667
10,107,PV,0.133
10,108,PV,0.074
10,109,PV,0.012666667
10,110,PV,0
10,111,PV,0
10,112,PV,0
10,113,PV,0
10,114,PV,0
10,115,PV,0
10,116,PV,0
10,117,PV,0.018166667
10,118,PV,0.006333333
10,119,PV,0
10,120,PV,0
10,121,PV,0
10,122,PV,0
10,123,PV,0
10,124,PV,0.016
10,125,PV,0.11425
10,126,PV,0.025333333
10,127,PV,0
10,128,PV,0
10,129,PV,0
10,130,PV,0
10,131,PV,0.000714286
10,132,PV,0.0655
10,133,PV,0.135
10,134,PV,0.0895
10,135,PV,0.008
10,136,PV,0
10,137,PV,0
10,138,PV,0
10,139,PV,0
10,140,PV,0
10,141,PV,0.001666667
10,142,PV,0.022
10,143,PV,0.041
10,144,PV,0.045
10,145,PV,0.017
10,146,PV,0
10,147,PV,0
10,148,PV,0
10,149,PV,0
10,150,PV,0.007
10,151,PV,0.059
10,152,PV,0.0382
10,153,PV,0
10,154,PV,0
10,155,PV,0
10,156,PV,0
10,157,PV,0
10,158,PV,0.013
10,159,PV,0.09375
10,160,PV,0.026
10,161,PV,0
10,162,PV,0
10,163,PV,0
10,164,PV,0
10,165,PV,0.004
10,166,PV,0.0855
10,167,PV,0.16425
10,168,PV,0.0185
10,169,PV,0
10,170,PV,0
10,171,PV,0
10,172,PV,0
10,173,PV,0
10,174,PV,0.054
10,175,PV,0.142
10,176,PV,0.218
10,177,PV,0.137
10,178,PV,0.022
10,179,PV,0
10,180,PV,0
10,181,PV,0
10,182,PV,0
10,183,PV,0
10,184,PV,0.016
10,185,PV,0.0205
10,186,PV,0
10,187,PV,0
10,188,PV,0
10,189,PV,0.0006
10,190,PV,0.036
10,191,PV,0.082333333
10,192,PV,0.018
10,193,PV,0
10,194,PV,0
10,195,PV,0
10,196,PV,0
10,197,PV,0.001333333
10,198,PV,0.0455
10,199,PV,0.105
10,200,PV,0.106
10,201,PV,0.065
10,202,PV,0.01
10,203,PV,0
10,204,PV,0
10,205,PV,0
10,206,PV,0
10,207,PV,0
10,208,PV,0
10,209,PV,0.004
10,210,PV,0.0835
10,211,PV,0.008
10,212,PV,0
10,213,PV,0
10,214,PV,0
10,215,PV,0
10,216,PV,0
10,217,PV,0.0115
10,218,PV,0.136333333
10,219,PV,0.0745
10,220,PV,0.022
10,221,PV,0.0025
10,222,PV,0
10,223,PV,0
10,224,PV,0
10,225,PV,0
10,226,PV,0.0055
10,227,PV,0.1045
10,228,PV,0.204333333
10,229,PV,0.132
10,230,PV,0.025
10,231,PV,0
10,232,PV,0
10,233,PV,0
10,234,PV,0
10,235,PV,0.018333333
10,236,PV,0.0876
10,237,PV,0.0075
10,238,PV,0
10,239,PV,0
10,240,PV,0
10,241,PV,0.01
10,242,PV,0.0608
10,243,PV,0.007
10,244,PV,0
10,245,PV,0
10,246,PV,0
10,247,PV,0.001714286
10,248,PV,0.0805
10,249,PV,0.0145
10,250,PV,0
10,251,PV,0
10,252,PV,0
10,253,PV,0.002714286
10,254,PV,0.0965
10,255,PV,0.206666667
10,256,PV,0.121
10,257,PV,0.022
10,258,PV,0
10,259,PV,0
10,260,PV,0
10,261,PV,0
10,262,PV,0.0145
10,263,PV,0.079
10,264,PV,0.185333333
10,265,PV,0.1255
10,266,PV,0.0145
10,267,PV,0
10,268,PV,0
10,269,PV,0
10,270,PV,0
10,271,PV,0
10,272,PV,0
10,273,PV,0.0025
10,274,PV,0.0325
10,275,PV,0.058
10,276,PV,0.034
10,277,PV,0
10,278,PV,0
10,279,PV,0
10,280,PV,0
10,281,PV,0.006
10,282,PV,0.086
10,283,PV,0.178666667
10,284,PV,0.103
10,285,PV,0.0205
10,286,PV,0
10,287,PV,0
10,288,PV,0
10,289,PV,0
10,290,PV,0.02
10,291,PV,0.121
10,292,PV,0.2004
10,293,PV,0.058
10,294,PV,0.00075
10,295,PV,0
10,296,PV,0
10,297,PV,0
10,298,PV,0
10,299,PV,0
10,300,PV,0.0095
10,301,PV,0.085
10,302,PV,0.163
10,303,PV,0.11
10,304,PV,0.0195
10,305,PV,0
10,306,PV,0
10,307,PV,0
10,308,PV,0.0005
10,309,PV,0.074
10,310,PV,0.173
10,311,PV,0.2635
10,312,PV,0.147
10,313,PV,0.0335
10,314,PV,0
10,315,PV,0
10,316,PV,0
10,317,PV,0
10,318,PV,0.007
10,319,PV,0.105
10,320,PV,0.17125
10,321,PV,0.103
10,322,PV,0.0255
10,323,PV,0
10,324,PV,0
10,325,PV,0
10,326,PV,0
10,327,PV,0.0335
10,328,PV,0.166
10,329,PV,0.25725
10,330,PV,0.116
10,331,PV,0.00175
10,332,PV,0
10,333,PV,0
10,334,PV,0
10,335,PV,0.0355
10,336,PV,0.169
10,337,PV,0.2765
10,338,PV,0.192
10,339,PV,0.097
10,340,PV,0.0028
10,341,PV,0
10,342,PV,0
10,343,PV,0
10,344,PV,0.03
10,345,PV,0.132
10,346,PV,0.1932
10,347,PV,0.0415
10,348,PV,0
10,349,PV,0
10,350,PV,0
10,351,PV,0
10,352,PV,0.021
10,353,PV,0.1245
10,354,PV,0.214333333
10,355,PV,0.114
10,356,PV,0.003
10,357,PV,0
10,358,PV,0
10,359,PV,0
10,360,PV,0.0285
10,361,PV,0.154
10,362,PV,0.258
10,363,PV,0.188
10,364,PV,0.0575
10,365,PV,0
10,366,PV,0
10,367,PV,0
10,368,PV,0
10,369,PV,0.00175
10,370,PV,0.045
10,371,PV,0.081
10,372,PV,0.0928
10,373,PV,0.015
10,374,PV,0
10,375,PV,0
10,376,PV,0
10,377,PV,0
10,378,PV,0.00025
10,379,PV,0.0465
10,380,PV,0.131
10,381,PV,0.173
10,382,PV,0.098
10,383,PV,0.023
10,384,PV,0
10,385,PV,0
10,386,PV,0.013
10,387,PV,0.124
10,388,PV,0.236
10,389,PV,0.31175
10,390,PV,0.195
10,391,PV,0.0545
10,392,PV,0
10,393,PV,0
10,394,PV,0
10,395,PV,0
10,396,PV,0
10,397,PV,0
10,398,PV,0.008
10,399,PV,0.068
10,400,PV,0.144
10,401,PV,0.248333333
10,402,PV,0.209
10,403,PV,0.133
10,404,PV,0.0315
10,405,PV,0
10,406,PV,0
10,407,PV,0
10,408,PV,0
10,409,PV,0
10,410,PV,0.008
10,411,PV,0.072166667
10,412,PV,0.019
10,413,PV,0
10,414,PV,0
10,415,PV,0
10,416,PV,0
10,417,PV,0
10,418,PV,0.002
10,419,PV,0.068
10,420,PV,0.184
10,421,PV,0.241333333
10,422,PV,0.11
10,423,PV,0.024
10,424,PV,0
10,425,PV,0
10,426,PV,0
10,427,PV,0
10,428,PV,0.008
10,429,PV,0.074
10,430,PV,0.144
10,431,PV,0.201
10,432,PV,0.132
10,433,PV,0.0385
10,434,PV,0
10,435,PV,0
10,436,PV,0
10,437,PV,0.005428571
10,438,PV,0.1375
10,439,PV,0.195
10,440,PV,0.1085
10,441,PV,0.0085
10,442,PV,0
10,443,PV,0
10,444,PV,0
10,445,PV,0.0138
10,446,PV,0.142
10,447,PV,0.2582
10,448,PV,0.128
10,449,PV,0.0175
10,450,PV,0
10,451,PV,0
10,452,PV,0
10,453,PV,0
10,454,PV,0
10,455,PV,0
10,456,PV,0
10,457,PV,0.035
10,458,PV,0.159
10,459,PV,0.292
10,460,PV,0.391
10,461,PV,0.315
10,462,PV,0.215
10,463,PV,0.103
10,464,PV,0.005
10,465,PV,0
10,466,PV,0
10,467,PV,0.0006
10,468,PV,0.023
10,469,PV,0.127
10,470,PV,0.246
10,471,PV,0.371
10,472,PV,0.259
10,473,PV,0.155
10,474,PV,0.048
10,475,PV,0
10,476,PV,0
10,477,PV,0
10,478,PV,0
10,479,PV,0
10,480,PV,0.008
10,481,PV,0.078
10,482,PV,0.1565
10,483,PV,0.0705
10,484,PV,0.003
10,485,PV,0
10,486,PV,0
10,487,PV,0
10,488,PV,0
10,489,PV,0.006
10,490,PV,0.087
10,491,PV,0.190666667
10,492,PV,0.1375
10,493,PV,0.027
10,494,PV,0
10,495,PV,0
10,496,PV,0
10,497,PV,0
10,498,PV,0
10,499,PV,0.036
10,500,PV,0.15
10,501,PV,0.25
10,502,PV,0.1695
10,503,PV,0.035333333
10,504,PV,0
10,505,PV,0
10,506,PV,0
10,507,PV,0.002833333
10,508,PV,0.079
10,509,PV,0.186
10,510,PV,0.27925
10,511,PV,0.141
10,512,PV,0.0435
10,513,PV,0
10,514,PV,0
10,515,PV,0
10,516,PV,0
10,517,PV,0
10,518,PV,0.0096
10,519,PV,0.117
10,520,PV,0.22025
10,521,PV,0.111
10,522,PV,0.02
10,523,PV,0
10,524,PV,0
10,525,PV,0
10,526,PV,0
10,527,PV,0
10,528,PV,0.029
10,529,PV,0.081666667
10,530,PV,0.02
10,531,PV,0.000333333
10,532,PV,0
10,533,PV,0
10,534,PV,0
10,535,PV,0
10,536,PV,0.042
10,537,PV,0.135
10,538,PV,0.2195
10,539,PV,0.131
10,540,PV,0.05
10,541,PV,0.000333333
10,542,PV,0
10,543,PV,0
10,544,PV,0
10,545,PV,0.0575
10,546,PV,0.186
10,547,PV,0.27475
