Time,Scenario,Residual
1,10,-7.797549858601371e-5
1,11,0.00027464589861114774
1,12,-0.0004955830590658294
1,13,7.163721642111653e-5
1,14,-0.00035868253013315865
1,15,-0.0005248959272350362
1,16,-0.0010796452666452794
1,17,-0.0002525639675603486
1,18,-0.0004118929726866227
1,19,-0.00012260388646012643
1,1,-0.0002617542119454086
1,20,0.024060549767882744
1,21,-0.0002907372104576922
1,22,0.00013190764507076125
1,23,-0.0003403538485571289
1,24,-0.0004691289978522306
1,25,-0.00010676758730010505
1,26,-0.0007832583093048129
1,27,-0.000524617678094863
1,28,-0.0004113211585909937
1,29,-0.00028518049634662646
1,2,4.880959792608053e-5
1,30,-0.00033246632370431684
1,3,-0.0002670415067962395
1,4,-0.0007352702515657228
1,5,3.4703115492362713e-7
1,6,-0.0006685140881383944
1,7,0.218306277541501
1,8,-0.0002975202458053161
1,9,-0.0008947894571686987
2,10,-0.0007184502859898245
2,11,-0.00033128398925796887
2,12,-0.00040979175769173537
2,13,-0.00043404276604253056
2,14,-0.00031739566032573663
2,15,-0.0005360985357016901
2,16,-0.0012394038592411505
2,17,-0.1222427790268279
2,18,-0.0002972518019799253
2,19,-0.0004423070070611601
2,1,-0.00023000156524055626
2,20,0.00015267291262244242
2,21,-0.0002961794547573504
2,22,0.00010284196295765188
2,23,-0.0003119019597628281
2,24,-0.00044848171065670073
2,25,-0.0016648915206411985
2,26,-0.0008570436662331815
2,27,-0.0005319924415170263
2,28,-0.0004208715318814171
2,29,-0.0003207359058805537
2,2,-0.0002337961019662771
2,30,-0.00022041806592465463
2,3,-0.0003023703580051773
2,4,-0.0006542730795171536
2,5,-0.0003223453551690625
2,6,-0.0004428691933391349
2,7,0.00011970694204247259
2,8,-0.0002599500724542736
2,9,-0.0012068581805930734
3,10,-0.0007861098402468514
3,11,0.0002760262681480441
3,12,-0.0004645525604560774
3,13,-0.0005356067578041745
3,14,0.00024759145802999427
3,15,-0.0004188512717036019
3,16,-0.0011057113707995114
3,17,-0.00022942543171478036
3,18,0.003257993634728784
3,19,-0.00037722787740968045
3,1,0.00042701259379906986
3,20,-0.18272609230952264
3,21,-0.00026468892215358863
3,22,-2.5746072134741913e-5
3,23,-0.0012426043475555204
3,24,-0.0005894019581429433
3,25,-0.0002001133803668509
3,26,-0.0007662985880729778
3,27,-0.0006863419565705797
3,28,-0.0005291556295299316
3,29,-0.0003359082168854499
3,2,-0.00016389365844737824
3,30,0.00011478194177416072
3,3,-0.000271783987940033
3,4,5.205625233806188e-5
3,5,-0.0002553779044207616
3,6,0.00028852619960595405
3,7,-3.471952930667044e-5
3,8,0.0001884187874354737
3,9,-0.0009849129349941421
4,10,-0.0007058778287225564
4,11,-0.0004393345892372835
4,12,-0.0004812806295815264
4,13,-0.0004783260882366136
4,14,0.00020435820650937733
4,15,0.007065133227849074
4,16,-0.001789983781018023
4,17,-0.07885626439315985
4,18,0.00021864770225743513
4,19,-0.0003146026759193177
4,1,0.0004835285868667327
4,20,0.00016005362239784757
4,21,0.0001839833982629161
4,22,-0.0004895484560734076
4,23,-0.0011802929005835239
4,24,-0.0004519565724061536
4,25,-0.0001665240768566889
4,26,0.00011373945513160066
4,27,-0.0005349765900533043
4,28,-0.000373577067744435
4,29,-0.00045570182333154463
4,2,0.0006579434443860777
4,30,-0.06587107685003363
4,3,-0.00020261766606566312
4,4,-0.0006186234416283298
4,5,-0.0002212328123842866
4,6,-0.0008745742781854915
4,7,-0.0005952974182106274
4,8,-0.0003248962820618928
4,9,-0.0009605353493711277
5,10,-0.0007884931149595431
5,11,-0.0003153959122901284
5,12,-0.0003738214664945616
5,13,-0.00043545715440895805
5,14,-0.00012527718610222394
5,15,-0.0014408928248537123
5,16,-0.0003726443773164334
5,17,-0.07880633507113366
5,18,-0.0004230250427115223
5,19,-0.00046766977013668054
5,1,-0.0005201117175728243
5,20,2.485995978318556e-5
5,21,-0.23228184163898113
5,22,-0.000506355175508233
5,23,-0.0010019279404538395
5,24,6.480055512181337e-5
5,25,-0.0017713712124605152
5,26,6.247273524717656e-5
5,27,-0.00048729240461575785
5,28,-0.00031491655283311104
5,29,-0.00030168580750089546
5,2,-0.00012592073537565085
5,30,-0.000601063169311189
5,3,-0.0001436118922208962
5,4,-0.0007495314444225798
5,5,-0.0002660418248119356
5,6,-0.0005423653528797701
5,7,-0.0006071964053750989
5,8,-0.00034022220792895297
5,9,-0.0010401058377125239
6,10,-0.0007916976162514189
6,11,0.0012045348063267625
6,12,-0.0003436508701586405
6,13,-1.7352731057131517e-5
6,14,0.0002976247286845535
6,15,0.007025379099005136
6,16,-0.0012428095784544624
6,17,-0.0005172048920174532
6,18,8.197305974277924e-5
6,19,-0.000393245975006451
6,1,0.00048824389403723245
6,20,-0.0795957055461094
6,21,0.0001287176826201275
6,22,-0.0004478238705729609
6,23,-0.0009371047811708166
6,24,1.7500652942814554e-5
6,25,-0.0018364124965568607
6,26,0.0003545402980744683
6,27,-0.0005643278103324434
6,28,0.00012650319594136603
6,29,-0.0001048318245162605
6,2,-0.00016956076200536074
6,30,-0.0007654991469330241
6,3,-0.000612673879448522
6,4,-0.0006105008931278633
6,5,-0.00018611984324046205
6,6,-0.0005783859275236836
6,7,-0.0005784468797322972
6,8,0.0003420539549878754
6,9,-0.0012414576898116536
7,10,-0.0005772934382681782
7,11,-0.0003410216136829902
7,12,0.0002782603516617854
7,13,4.648863563736324e-5
7,14,0.00044450449080990495
7,15,0.0071098047628064265
7,16,-3.448046884635403e-5
7,17,3.370667818014539e-5
7,18,-5.706210105405063e-5
7,19,-0.000463084278605308
7,1,-0.0006530264819692988
7,20,-0.00039846715779567887
7,21,0.0006765980483702805
7,22,0.00010551301948957814
7,23,-8.136065173935947e-5
7,24,8.72701538785492e-5
7,25,-0.00029733418096888897
7,26,0.0002210115371816812
7,27,0.2855394241751634
7,28,3.8226278651798395e-5
7,29,-0.00034106233352382276
7,2,-1.1415624507904454e-6
7,30,-0.0006961879301128349
7,3,-0.0008439991517663614
7,4,-0.0005429293802654556
7,5,0.0004952242777669369
7,6,-0.000583208327336493
7,7,-0.0007376076581424584
7,8,0.00019680347200680035
7,9,-0.0007701304683669363
8,10,-0.0005641694126676811
8,11,-0.0003822301156404251
8,12,-0.0003782484667587127
8,13,4.2189068928483566e-5
8,14,-0.00016480592462464472
8,15,-0.00047379976941197555
8,16,-0.000240689728461696
8,17,0.00010715939575090097
8,18,-0.00010026392217454827
8,19,-0.0004203588664131175
8,1,0.0005550919156824818
8,20,-0.0003791103421901809
8,21,0.0002494335550133897
8,22,-0.00033567382656762845
8,23,-0.001075639711148213
8,24,0.0290198218763702
8,25,-0.0009340728812619048
8,26,-0.000623754254198694
8,27,0.28567266654820145
8,28,0.00016561720303176486
8,29,0.00021173628389625776
8,2,-0.00017503853433886718
8,30,-0.0005478159065859245
8,3,-0.00036526550594029317
8,4,-0.0007926335936065954
8,5,-0.00022599196225137064
8,6,-0.0006849730993998548
8,7,-0.0006109238498162028
8,8,0.00022574030492161426
8,9,0.008373915788489228
9,10,-0.0005314001719849415
9,11,-0.00047784550651730484
9,12,-0.0004077016702694891
9,13,5.93620312335891e-5
9,14,-9.703261613580594e-5
9,15,-0.0005103666744439295
9,16,-0.0011477992072190801
9,17,-0.00020430405368987437
9,18,0.0007930560905968775
9,19,-0.05516149825506034
9,1,0.0003277000486789916
9,20,4.57784021250518e-5
9,21,-0.00046877324839744716
9,22,-0.00035444253125316294
9,23,-0.0010017370460158048
9,24,5.7780511711236215e-5
9,25,-0.0017511281004001233
9,26,-0.0006010464926298198
9,27,-0.0007584817715509118
9,28,8.815769623637948e-5
9,29,0.00020369524048913235
9,2,0.0012566543675376352
9,30,-0.0004851593854180436
9,3,-0.0010560638704912861
9,4,-0.0007299755631491323
9,5,-0.00028049335432456246
9,6,-0.0006169889145342111
9,7,-0.0005698200089492289
9,8,0.0006596808330356918
9,9,-0.001977409259013463
10,10,0.00043191623785610034
10,11,-0.000330413730051049
10,12,0.0002312080671851291
10,13,-1.2803053143324084e-5
10,14,0.00014907117900542493
10,15,-0.00018539700266284598
10,16,2.7542048474771263e-5
10,17,-0.0005012978445080307
10,18,-0.00020312879790385097
10,19,-0.0003080384210667475
10,1,0.0008742582896843487
