Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
H2,1,11,-327.59897999477096,-5.558675866728045e-6,-1.1401993102489586e-7
H2,1,12,-5.936697687876682e-6,-8.397840663434679e-6,-8.14749287055909e-7
H2,1,13,-1.6141679046550794e-5,-5.558675181575373e-6,-1.0878039734704937e-7
H2,1,19,-467.998452053205,-5.558675349552144e-6,-8.536648907772252e-8
H2,1,1,-6.692442376149502e-6,-5.558674894257874e-6,-2.2193125706778353e-7
H2,1,22,-8.173693774107653e-6,-5.55867528207779e-6,-1.9434270376672447e-7
H2,1,23,-6.206258493617483e-6,-7.591092442959418e-6,-5.221468294750965e-7
H2,1,24,-5.892445538555089e-6,-9.360445482346031e-6,-8.220098530597124e-7
H2,1,26,-6.3770669649210114e-6,-1.1217123118949671e-5,-6.00781630300246e-7
H2,1,27,-6.165655055952785e-6,-8.512374247628224e-6,-5.633560030894146e-7
H2,1,29,-5.846254112311418e-6,-8.262985775005024e-6,-8.346959699672463e-7
H2,1,30,-5.558676611039471e-6,-88.08780567784349,-1.93682563554241e-6
H2,1,4,-2.4242408485456265e-5,-5.558677674509143e-6,-2.2612066686934914e-7
H2,1,7,-9.747455073954431e-6,-5.55867615394777e-6,-1.5977263505555402e-7
H2,1,8,-5.558677762949459e-6,-60.05984193223814,-1.5570524730722847e-6
H2,2,11,-171.6492892294956,-5.558677432975143e-6,-7.678986716238525e-8
H2,2,12,-6.1217955618949715e-6,-9.03604893082349e-6,-1.0713707086211238e-6
H2,2,13,-5.558679572938792e-6,-40.03989582802075,-1.1508647847605564e-7
H2,2,19,-5.622349675868117e-6,-0.0002850903082968555,-1.1466859909044899e-7
H2,2,1,-6.33791162266698e-6,-5.558675748138764e-6,-1.8550696937367995e-7
H2,2,22,-1.446408400023502e-5,-5.558675614347016e-6,-1.0021265009329713e-7
H2,2,23,-6.468101258869704e-6,-8.187873441753218e-6,-4.962522174984802e-7
H2,2,24,-5.874573561330929e-6,-8.837670180626228e-6,-1.5083307392474889e-6
H2,2,26,-5.843101925180398e-6,-1.0136211976136445e-5,-1.9306806294530296e-6
H2,2,27,-6.45220331260186e-6,-1.0534225121948363e-5,-5.917225684495919e-7
H2,2,29,-6.640946299417736e-6,-9.972127848123112e-6,-8.449713165784982e-7
H2,2,30,-5.709361571583318e-6,-5.558676062285198e-6,-1.3992972050916865e-6
H2,2,4,-1.989890656393055e-5,-5.558675678362792e-6,-1.015853996304266e-7
H2,2,7,-40.0931443739653,-5.558677352167489e-6,-8.956386352229423e-8
H2,2,8,-1.1377845162215247e-5,-5.558678670608173e-6,-3.5498858132510265e-7
H2,3,11,-155.99950094782207,-5.5586777629923595e-6,-6.13743946601828e-8
H2,3,12,-6.30641514543437e-6,-9.728367842191845e-6,-1.2552509190562278e-6
H2,3,13,-5.55867482161172e-6,-320.31915022494553,-2.1462070480044503e-7
H2,3,19,-5.683076198046123e-6,-0.00013798786619311334,-1.402673967031708e-7
H2,3,1,-7.257019932661907e-6,-5.558677674479849e-6,-1.6244019285735555e-7
H2,3,22,-70.79171243650362,-5.558675960765508e-6,-6.718121486661456e-8
H2,3,23,-5.796872587367803e-6,-7.1494818231780986e-6,-7.955765632341109e-7
H2,3,24,-5.809287618974574e-6,-9.335057444190387e-6,-14.749499426345347
H2,3,26,-5.952471700737979e-6,-1.0861548222808258e-5,-8.579970551010872
H2,3,27,-5.920669205357576e-6,-9.199079439613556e-6,-7.859940208628044e-7
H2,3,29,-6.077247907283741e-6,-8.944900303073264e-6,-1.0350976120716317e-6
H2,3,30,-5.629337966878675e-6,-5.558675062570354e-6,-1.0975708802808479e-6
H2,3,4,-2.597694218490438e-5,-5.558677085898792e-6,-7.734492475186244e-8
H2,3,7,-9.587480648906553,-5.558679313115887e-6,-6.773618405188624e-8
H2,3,8,-1.311370354231762e-5,-5.558676595376327e-6,-1.362474988350017e-7
H2,4,11,-5.671454917050814e-6,-0.00016515006975517644,-6.811378246773588e-8
H2,4,12,-5.9306337141224705e-6,-9.384661440433299e-6,-2.7389144540972735e-6
H2,4,13,-5.558676117426216e-6,-110.10972719015098,-3.054215828482766e-7
H2,4,19,-7.082664450659779e-5,-5.714256436289934e-6,-8.407906142542646e-8
H2,4,1,-1.863503576818564e-5,-5.558676350089687e-6,-1.0174593391622822e-7
H2,4,22,-5.558682117782244e-6,-5.558681867893403e-6,-6.718120287853121e-8
H2,4,23,-6.2744346276361556e-6,-8.251606893830424e-6,-8.305875000019517e-7
H2,4,24,-5.55870414377177e-6,-5.558675709194432e-6,-0.4449954065331191
H2,4,26,-5.3258417289228546e-5,-5.558676322897598e-6,-1.2642776331933924e-7
H2,4,27,-5.8561565170278535e-6,-9.175088992404435e-6,-1.2870481810103439e-6
H2,4,29,-5.73669703990253e-6,-8.3522805577642e-6,-7.413639436585744e-6
H2,4,30,-5.3439044276226255e-5,-5.557944522171184e-6,-5.407189364232699e-8
H2,4,4,-5.558675813657975e-6,-130.1295056187015,-8.855812957020642e-8
H2,4,7,-11.330417723364016,-5.558678517694562e-6,-5.258929359523276e-8
H2,4,8,-5.5586765562043805e-6,-90.08974910118769,-1.8346442911433214e-7
H2,5,11,-5.751058461094126e-6,-9.466389162886139e-5,-7.292221401638678e-8
H2,5,12,-5.902645694493802e-6,-9.949315413008004e-6,-8.57996486232164
H2,5,13,-5.558674978238405e-6,-260.26616103097916,-5.467699098015193
H2,5,19,-5.730865721462028e-6,-0.0001022389804831897,-9.258254136140964e-8
H2,5,1,-7.813339340384542e-6,-5.558678557379776e-6,-9.448674449670699e-8
H2,5,22,-5.558682366329866e-6,-5.5586774417299e-6,-6.718117509700282e-8
H2,5,23,-6.3515126803465546e-6,-8.609724174601902e-6,-8.576282620952864e-7
H2,5,24,-5.558689906473574e-6,-5.558675813628024e-6,-0.3012324789470179
