Storage,Scenario,dualcvarstorage
H2,11,9.502722001012967e-13
H2,12,8.020298683918523e-13
H2,13,0.03333333333163636
H2,19,1.3974583916709402e-12
H2,1,0.03333333333148091
H2,22,0.033333333331264405
H2,23,1.7664623762831848e-12
H2,24,0.03333333332816371
H2,26,4.1671187868599656e-12
H2,27,0.016666665047774212
H2,29,0.03333333333067667
H2,30,0.03333333332563614
H2,4,0.03333333332985855
H2,7,8.063630607033915e-13
H2,8,1.4054207110791548e-12
BESS,11,4.106992989260845e-12
BESS,12,2.7932334122696958e-12
BESS,13,0.033333333331615
BESS,19,3.190756616488509e-12
BESS,1,0.03333333332970039
BESS,22,0.03333333333193754
BESS,23,1.6485687817220612e-12
BESS,24,0.03333333332930832
BESS,26,0.0333333333195899
BESS,27,3.8579363940486015e-12
BESS,29,0.03333333333068606
BESS,30,0.01666667546513871
BESS,4,0.03333333332913929
BESS,7,6.971982275130075e-13
BESS,8,1.556246858397519e-11
