Time,Scenario,Residual
1,11,0.0012771774028119687
1,12,0.00018111604963477745
1,13,0.001032978417433661
1,19,0.0010114929902997893
1,1,0.0007816565411151721
1,22,0.0008165233001746763
1,23,0.00016334691106445476
1,24,0.00011318106718016807
1,26,0.000212140219678858
1,27,0.0008313727623443512
1,29,0.00020688864648343852
1,30,-0.0015993648322529808
1,4,0.0006120219975658259
1,7,0.00038873306344200387
1,8,-0.0015803398456557538
2,11,-0.0007451303274028653
2,12,0.00024127600139722816
2,13,-0.001638595582907687
2,19,0.00025882791031550667
2,1,0.0012234796025540895
2,22,0.0002208399471590461
2,23,0.00018720507985436896
2,24,0.00034914304064193047
2,26,0.00015573499980225947
2,27,0.0002761438501468483
2,29,0.00019395641234964955
2,30,0.00011653292898738954
2,4,0.0012729116916223582
2,7,0.0019263095130197527
2,8,0.0018899592878738325
3,11,0.002678742709851356
3,12,6.303995488021741e-5
3,13,-0.0016586559098437093
3,19,0.000284625343343059
3,1,0.000297556474071925
3,22,0.0016565517659037354
3,23,0.0001385901742474438
3,24,0.00010300411194696935
3,26,0.00028192782445435327
3,27,4.717153702005206e-5
3,29,0.00019129716948640407
3,30,0.0011260718118801805
3,4,0.0008265337045019194
3,7,0.0007728275385066041
3,8,0.0008289569439341449
4,11,-0.001408918671300441
4,12,0.00032608188409621874
4,13,-0.0016461026900507214
4,19,0.0020157205117667942
4,1,0.000787062745449596
4,22,0.00014266032739262968
4,23,0.0002316919993017308
4,24,0.0007880945827793973
4,26,0.0008317626110416754
4,27,0.00042768391468950284
4,29,0.00022517049147863233
4,30,0.0013143286951251554
4,4,-0.001509976164941751
4,7,0.0011823798135117691
4,8,-0.0013705403856092424
5,11,-0.0010389499935365976
5,12,0.00016282573035786285
5,13,-0.006985400642918638
5,19,0.00041143120826792057
5,1,0.0010496979578729082
5,22,0.0018764924410135109
5,23,8.18441739931508e-5
5,24,0.0005521027407477952
5,26,0.0008403983715714602
5,27,9.805202173973626e-5
5,29,0.00010732979847816182
5,30,-0.0002307015590727879
5,4,-0.0016602750141392342
5,7,0.00019020940215019877
5,8,-0.0016131601173481336
6,11,0.10111625394179669
6,12,0.002430979220915397
6,13,0.0003020213492734847
6,19,8.217613017924563e-5
6,1,0.0009108600017473378
6,22,-0.0014273181440245253
6,23,0.0013647780580035018
6,24,0.0007435647115050514
6,26,0.001280599241103797
6,27,0.0004339662711743131
6,29,0.00252490304193298
6,30,-0.0015845178723852271
6,4,-0.0014720583919243246
6,7,0.00018728943897494688
6,8,0.0008832033888097612
7,11,3.1551733044655412
7,12,0.001488882799037139
7,13,0.10745855889040223
7,19,0.00033606619246917546
7,1,-0.0008949822821424647
7,22,0.0009778001218831989
7,23,0.0006382578370205394
7,24,0.0003690293354101648
7,26,0.0015528310189107941
7,27,0.001395515644301959
7,29,0.0008129288929996648
7,30,-0.0008847561859068875
7,4,0.0020146864137369214
7,7,0.00017488119924635726
7,8,0.000287708492254346
8,11,1.8813616866553207
8,12,0.0018627750346800198
8,13,0.0010132224973093962
8,19,0.0004490368535070566
8,1,0.0012989207872902142
8,22,0.0020282731905938434
8,23,0.00011090769796506805
8,24,0.0004725118530366501
8,26,0.0002648748462563688
8,27,0.002011387900817674
8,29,0.00017987990461243442
8,30,-0.0015904175117515962
8,4,-0.0016473932613325637
8,7,0.0001899712042341406
8,8,0.005071901937205858
9,11,3.153129702611005
9,12,0.0013469990245078556
9,13,0.007025993930099617
9,19,0.0029410284257807007
9,1,0.0009410469973318847
9,22,-0.000860306707868741
9,23,0.0003644075212960729
9,24,0.0004907665600253353
9,26,0.0006100057595164188
9,27,6.320998360065389e-5
9,29,0.0003597629805582869
9,30,-0.0007777386651768303
9,4,-0.0016496653774620285
9,7,0.00021854978527047209
9,8,0.0007981295526575671
10,11,-0.0012214493778484048
10,12,0.001607773138884827
10,13,0.0010320082741803738
10,19,0.0004417411851158626
10,1,0.001650646145414214
10,22,-0.001570116469884475
10,23,0.00013440338359238524
10,24,0.000665353213138431
10,26,6.389818820107251e-5
10,27,0.001353531525272178
10,29,0.0006277933793334967
10,30,0.0011010940320641538
10,4,0.0013997583562326277
10,7,0.00011072112960874847
10,8,0.00516424116067693
11,11,-9.630250263903406e-6
11,12,0.0009980176386492623
11,13,0.0033444886501792226
11,19,0.0003743374571927305
11,1,0.0010092518141382456
11,22,-0.0009037754791707542
11,23,0.0022235891979223155
11,24,0.0006614500739439144
