Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
H2,1,11,-327.6012697997122,-2.1219891906050722e-7,-4.4486235655957135e-9
H2,1,12,-2.1696785630959104e-7,-2.8018151088439084e-7,-3.858403725322902e-8
H2,1,13,-6.545773433491937e-7,-2.1219917451811695e-7,-4.12311664055702e-9
H2,1,19,-468.00156137249996,-2.1219911185692726e-7,-3.3092185275901447e-9
H2,1,1,-2.5677093422265663e-7,-2.1219928162400546e-7,-8.712405040647039e-9
H2,1,22,-2.6176406311470304e-7,-2.1219913704583973e-7,-1.0611873248133516e-8
H2,1,23,-2.1741478924512625e-7,-2.5876606105325506e-7,-3.1087051337688894e-8
H2,1,24,-2.2026668554045572e-7,-3.330735813415203e-7,-3.858920822898325e-8
H2,1,26,-2.3246736961509034e-7,-3.4988060129631e-7,-2.6333802744056425e-8
H2,1,27,-5.07577832264553e-7,-2.1998370171130192e-7,-1.0246154074647294e-8
H2,1,29,-2.1668695267134526e-7,-2.840084326732127e-7,-3.790976729911132e-8
H2,1,30,-2.1048856592234207e-7,-121.3960787616507,-1.4320545182616347e-7
H2,1,4,-2.064168328964075e-5,-2.1085373506098463e-7,-7.749363489242834e-9
H2,1,7,-2.698478005118977e-7,-2.12198812053733e-7,-9.787093874786247e-9
H2,1,8,-2.104886109119359e-7,-60.060433388905594,-9.700631138156548e-8
H2,2,11,-2.1658070683082695e-7,-4.1654928975688124e-7,-4.838904063046717e-9
H2,2,12,-2.2146973583560682e-7,-2.946015910087313e-7,-5.689019834168637e-8
H2,2,13,-2.104886553656391e-7,-40.040265295704366,-4.36150794652571e-9
H2,2,19,-2.1251942411535639e-7,-4.7997544907955165e-6,-4.4428796231495595e-9
H2,2,1,-2.362146218311938e-7,-2.121989633396039e-7,-7.436465065931715e-9
H2,2,22,-5.606388351515483e-7,-2.121990131974408e-7,-4.472974573240163e-9
H2,2,23,-2.2315572726153525e-7,-2.509671528989299e-7,-3.191406641398524e-8
H2,2,24,-2.2078437765082924e-7,-2.635506101726631e-7,-4.797081290222636e-8
H2,2,26,-2.1781332319852123e-7,-3.345242912945422e-7,-8.634309937174273e-8
H2,2,27,-2.259956090765634e-7,-6.427846027934597e-7,-1.1397984232367265e-8
H2,2,29,-2.384369320280163e-7,-3.138750734072333e-7,-3.8638577415707154e-8
H2,2,30,-2.1219844886520958e-7,-2.121985885119423e-7,-1.432044820316944e-7
H2,2,4,-2.596763910216051e-7,-2.12198989325953e-7,-5.934625612768128e-9
H2,2,7,-40.08911350115724,-2.1219836541316124e-7,-4.321040797917241e-9
H2,2,8,-2.308177689414238e-7,-2.108536748556975e-7,-4.951618756141489e-8
H2,3,11,-156.0012620388073,-2.1085372978658416e-7,-3.415619731339473e-9
H2,3,12,-2.2730675066071456e-7,-2.944143492977672e-7,-6.757676944239568e-8
