Storage,Time,Scenario,Discharge,Charge,energy_level
H2,1,11,1.5087603497760576,1.0157703441319318e-8,88.77268784860512
H2,1,12,0.18475961426243823,0.6750071786547814,150.6138331182076
H2,1,13,0.9840667994096827,3.3997641110505737e-9,85.54668080814305
H2,1,19,1.5087603528263434,7.109631564949575e-9,64.08388195860176
H2,1,1,0.20788531521472262,2.459356292751451e-9,128.61515601693642
H2,1,22,0.43910845166008555,3.728678365123435e-9,121.63015204171649
H2,1,23,0.2700764477129849,0.5618477488749122,143.153997190604
H2,1,24,0.10671090493916209,0.6494577676241171,151.85251386804288
H2,1,26,0.28895271545244344,0.9200866380474657,147.68551385828926
H2,1,27,0.20990420314956318,0.6600822523210755,147.26445033425367
H2,1,29,0.09515887907271552,0.537290515039217,152.06634312362124
H2,1,30,5.862566885946552e-9,1.508760344708737,157.9973555913786
H2,1,4,1.1981688880677765,1.1559037849367998e-8,124.59501226132636
H2,1,7,0.6989451840466241,1.184813762233784e-8,106.98480911975844
H2,1,8,2.1328815418945522e-8,1.508760304535068,156.94122279832143
H2,2,11,1.508760340542595,1.9387081123241907e-8,53.11107997583888
H2,2,12,0.21300117059752388,0.7570749704191495,152.89667509679225
H2,2,13,1.7772877309060816e-8,1.508760313771505,89.77120955744604
H2,2,19,0.011602214974799173,1.4624606711070096,89.14957029502897
H2,2,1,0.1623665298727506,5.254132016409461e-9,122.12049490293987
H2,2,22,1.0001473013501259,4.816158721231553e-9,77.9873607909861
H2,2,23,0.3047556127317439,0.6401589852145377,141.2461803512683
H2,2,24,0.09684901365857422,0.6473464974763319,157.11652908536374
H2,2,26,0.12437192819232641,0.8315459120025754,157.65215193465764
H2,2,27,0.26808022831197204,0.8040827412066005,147.7170862657363
H2,2,29,0.280333299598245,0.7228276188151818,152.04403767248238
H2,2,30,3.018483892857903e-8,5.369805427301793e-9,157.99735441555734
H2,2,4,1.0222224580420975,5.0257709317347275e-9,81.84752773320798
H2,2,7,1.5087602769472803,1.890751281833656e-8,65.83680176517966
H2,2,8,0.5567063536357763,2.6675143923235957e-8,143.782709227856
H2,3,11,1.5087603385992419,2.1330998885838028e-8,25.67907396880601
H2,3,12,0.24060178066572133,0.8117655034762256,154.07367772143525
H2,3,13,2.2216313123117214e-9,1.5087603541661625,123.5674413615096
H2,3,19,0.02054133477585201,1.4299225014120278,102.6399404691182
H2,3,1,0.2514688535009602,1.1559114511115795e-8,117.54833401110889
H2,3,22,1.5087603338252542,5.94998272599735e-9,36.839351749135815
H2,3,23,0.09975773579788264,0.44892272031856073,148.1553268954277
H2,3,24,0.07545371433844647,0.6346983794934122,162.64433437954034
H2,3,26,0.13600918264036171,0.9018620528714,162.6443341170153
H2,3,27,0.1273441763267923,0.6868536906031147,151.20676430896484
H2,3,29,0.15037291138540532,0.6377738378163477,153.94743799596017
H2,3,30,1.4460017163481826e-8,2.5730796660689486e-9,157.99735324004757
H2,3,4,1.196088216156572,9.632561342110572e-9,55.75105764343267
H2,3,7,1.5087600128413554,3.046008837766025e-8,35.661601742895236
H2,3,8,0.9231243110364141,1.4448664042285709e-8,103.5009213526409
H2,4,11,0.02341233270938876,1.4486211970847012,39.27961141308801
H2,4,12,0.13270371001502163,0.8006841451377854,158.54246972522142
H2,4,13,6.462895783906307e-9,1.5087603431492675,135.18489587450094
H2,4,19,1.508760189057949,1.7050254862594277e-7,58.74873687887911
H2,4,1,1.3328616982078174,7.224148028855812e-9,78.77417559870099
H2,4,22,2.6095580167397622e-8,2.52889912188208e-8,36.83935148143787
H2,4,23,0.2344679457745957,0.6596378872515919,148.65150320713994
