Y,T,Weights
25,1,10
25,2,11
25,3,12
25,4,12
25,5,10
25,6,19
25,7,5
25,8,30
25,9,8
25,10,10
25,11,15
25,12,11
25,13,15
25,14,9
25,15,12
25,16,10
25,17,15
25,18,9
25,19,15
25,20,9
25,21,14
25,22,10
25,23,15
25,24,9
25,25,20
25,26,14
25,27,28
25,28,10
25,29,15
25,30,9
25,31,14
25,32,10
25,33,16
25,34,8
25,35,16
25,36,8
25,37,15
25,38,11
25,39,13
25,40,13
25,41,20
25,42,15
25,43,9
25,44,14
25,45,18
25,46,9
25,47,9
25,48,12
25,49,10
25,50,15
25,51,48
25,52,9
25,53,15
25,54,9
25,55,12
25,56,12
25,57,15
25,58,9
25,59,15
25,60,9
25,61,18
25,62,16
25,63,38
25,64,7
25,65,19
25,66,13
25,67,9
25,68,16
25,69,8
25,70,15
25,71,9
25,72,15
25,73,11
25,74,13
25,75,12
25,76,21
25,77,19
25,78,10
25,79,10
25,80,9
25,81,14
25,82,12
25,83,6
25,84,16
25,85,14
25,86,47
25,87,4
25,88,15
25,89,16
25,90,15
25,91,9
25,92,9
25,93,30
25,94,9
25,95,14
25,96,23
25,97,27
25,98,10
25,99,7
25,100,7
25,101,8
25,102,16
25,103,8
25,104,14
25,105,12
25,106,13
25,107,5
25,108,6
25,109,7
25,110,18
25,111,5
25,112,18
25,113,7
25,114,15
25,115,16
25,116,8
25,117,10
25,118,9
25,119,5
25,120,16
25,121,8
25,122,9
25,123,17
25,124,6
25,125,17
25,126,9
25,127,16
25,128,6
25,129,40
25,130,8
25,131,18
25,132,6
25,133,16
25,134,9
25,135,15
25,136,16
25,137,9
25,138,13
25,139,11
25,140,9
25,141,14
25,142,18
25,143,6
25,144,8
25,145,8
25,146,7
25,147,17
25,148,8
25,149,10
25,150,16
25,151,6
25,152,15
25,153,27
25,154,6
25,155,17
25,156,8
25,157,14
25,158,11
25,159,16
25,160,8
25,161,13
25,162,11
25,163,15
25,164,7
25,165,16
25,166,9
25,167,16
25,168,31
25,169,18
25,170,7
25,171,17
25,172,12
25,173,12
25,174,9
25,175,6
25,176,22
25,177,9
25,178,10
25,179,16
25,180,6
25,181,17
25,182,9
25,183,15
25,184,7
25,185,7
25,186,8
25,187,11
25,188,15
25,189,6
25,190,8
25,191,10
25,192,8
25,193,16
25,194,8
25,195,15
25,196,9
25,197,16
25,198,9
25,199,15
25,200,8
25,201,16
25,202,8
25,203,15
25,204,9
25,205,16
25,206,7
25,207,40
25,208,9
25,209,14
25,210,10
25,211,30
25,212,8
25,213,11
25,214,13
25,215,11
25,216,15
25,217,8
25,218,16
25,219,10
25,220,14
25,221,7
25,222,17
25,223,9
25,224,15
25,225,8
25,226,16
25,227,7
25,228,15
25,229,10
25,230,16
25,231,6
25,232,18
25,233,8
25,234,15
25,235,11
25,236,12
25,237,13
25,238,13
25,239,9
25,240,13
25,241,9
25,242,17
25,243,9
25,244,13
25,245,12
25,246,13
25,247,10
25,248,14
25,249,9
25,250,16
25,251,8
25,252,16
25,253,9
25,254,13
25,255,12
25,256,12
25,257,11
25,258,13
25,259,11
25,260,15
25,261,7
25,262,17
25,263,8
25,264,14
25,265,16
25,266,8
25,267,11
25,268,13
25,269,16
25,270,8
25,271,11
25,272,13
25,273,9
25,274,16
25,275,9
25,276,17
25,277,8
25,278,14
25,279,10
25,280,15
25,281,9
25,282,13
25,283,11
25,284,13
25,285,10
25,286,16
25,287,8
25,288,16
25,289,9
25,290,16
25,291,9
25,292,12
25,293,11
25,294,5
25,295,10
25,296,10
25,297,12
25,298,11
25,299,13
25,300,12
25,301,12
25,302,11
25,303,14
25,304,10
25,305,14
25,306,9
25,307,14
25,308,10
25,309,16
25,310,8
25,311,16
