Y,T,Weights
5,1,19
5,2,14
5,3,37
5,4,9
5,5,15
5,6,9
5,7,14
5,8,10
5,9,14
5,10,12
5,11,13
5,12,12
5,13,11
5,14,10
5,15,7
5,16,8
5,17,9
5,18,15
5,19,9
5,20,14
5,21,10
5,22,14
5,23,10
5,24,15
5,25,11
5,26,12
5,27,34
5,28,15
5,29,9
5,30,8
5,31,8
5,32,8
5,33,16
5,34,8
5,35,14
5,36,10
5,37,15
5,38,40
5,39,7
5,40,10
5,41,14
5,42,10
5,43,15
5,44,9
5,45,13
5,46,13
5,47,5
5,48,7
5,49,10
5,50,14
5,51,12
5,52,6
5,53,12
5,54,6
5,55,22
5,56,13
5,57,11
5,58,16
5,59,8
5,60,15
5,61,9
5,62,15
5,63,9
5,64,15
5,65,11
5,66,13
5,67,11
5,68,22
5,69,15
5,70,9
5,71,16
5,72,8
5,73,16
5,74,10
5,75,12
5,76,10
5,77,15
5,78,13
5,79,12
5,80,10
5,81,7
5,82,17
5,83,14
5,84,10
5,85,12
5,86,12
5,87,5
5,88,9
5,89,8
5,90,15
5,91,11
5,92,6
5,93,41
5,94,7
5,95,18
5,96,7
5,97,16
5,98,8
5,99,16
5,100,7
5,101,31
5,102,9
5,103,16
5,104,10
5,105,6
5,106,11
5,107,20
5,108,9
5,109,15
5,110,9
5,111,16
5,112,8
5,113,14
5,114,12
5,115,7
5,116,5
5,117,10
5,118,13
5,119,12
5,120,19
5,121,7
5,122,6
5,123,15
5,124,16
5,125,8
5,126,14
5,127,58
5,128,8
5,129,56
5,130,8
5,131,8
5,132,16
5,133,9
5,134,6
5,135,12
5,136,7
5,137,14
5,138,16
5,139,8
5,140,8
5,141,41
5,142,7
5,143,16
5,144,8
5,145,16
5,146,9
5,147,6
5,148,9
5,149,16
5,150,8
5,151,10
5,152,14
5,153,10
5,154,17
5,155,11
5,156,10
5,157,10
5,158,13
5,159,15
5,160,14
5,161,21
5,162,7
5,163,6
5,164,12
5,165,13
5,166,8
5,167,9
5,168,7
5,169,10
5,170,15
5,171,23
5,172,12
5,173,5
5,174,17
5,175,9
5,176,16
5,177,8
5,178,15
5,179,8
5,180,18
5,181,6
5,182,16
5,183,6
5,184,18
5,185,8
5,186,16
5,187,8
5,188,16
5,189,9
5,190,17
5,191,6
5,192,16
5,193,8
5,194,16
5,195,8
5,196,15
5,197,9
5,198,16
5,199,8
5,200,17
5,201,8
5,202,14
5,203,9
5,204,17
5,205,7
5,206,16
5,207,8
5,208,17
5,209,6
5,210,18
5,211,7
5,212,16
5,213,8
5,214,16
5,215,10
5,216,12
5,217,11
5,218,5
5,219,8
5,220,11
5,221,13
5,222,11
5,223,13
5,224,10
5,225,18
5,226,6
5,227,16
5,228,8
5,229,16
5,230,9
5,231,15
5,232,8
5,233,16
5,234,8
5,235,16
5,236,8
5,237,40
5,238,7
5,239,16
5,240,9
5,241,14
5,242,10
5,243,16
5,244,8
5,245,14
5,246,10
5,247,16
5,248,9
5,249,15
5,250,9
5,251,15
5,252,8
5,253,15
5,254,9
5,255,16
5,256,9
5,257,13
5,258,9
5,259,15
5,260,11
5,261,15
5,262,8
5,263,16
5,264,8
5,265,16
5,266,8
5,267,16
5,268,9
5,269,15
5,270,10
5,271,14
5,272,9
5,273,13
5,274,10
5,275,16
5,276,8
5,277,14
5,278,11
5,279,15
5,280,8
5,281,15
5,282,9
5,283,15
5,284,9
5,285,17
5,286,8
5,287,15
5,288,9
5,289,13
5,290,11
5,291,15
5,292,7
5,293,16
5,294,11
5,295,13
5,296,12
5,297,11
5,298,10
5,299,19
5,300,6
5,301,13
5,302,12
5,303,12
5,304,13
5,305,11
5,306,13
5,307,12
5,308,9
5,309,14
5,310,11
5,311,15
5,312,8
5,313,14
5,314,11
5,315,15
5,316,9
5,317,13
5,318,11
5,319,15
5,320,9
5,321,17
5,322,5
5,323,16
5,324,10
5,325,15
5,326,8
5,327,17
5,328,8
5,329,13
5,330,12
5,331,12
5,332,12
5,333,4
5,334,9
5,335,9
5,336,16
5,337,8
5,338,17
5,339,8
5,340,16
5,341,8
5,342,13
5,343,11
5,344,13
5,345,11
5,346,13
5,347,10
5,348,6
5,349,8
5,350,11
5,351,14
5,352,11
5,353,13
5,354,10
5,355,13
5,356,11
5,357,13
5,358,11
5,359,13
5,360,11
5,361,13
5,362,13
5,363,11
5,364,11
5,365,14
5,366,10
5,367,15
5,368,8
5,369,15
5,370,10
5,371,16
5,372,7
5,373,16
5,374,8
5,375,16
5,376,9
5,377,15
5,378,7
5,379,17
5,380,10
5,381,13
5,382,9
5,383,16
5,384,9
5,385,15
5,386,9
5,387,15
5,388,8
5,389,16
5,390,8
5,391,14
5,392,11
5,393,15
5,394,8
5,395,16
5,396,9
5,397,13
5,398,9
5,399,17
5,400,9
5,401,15
5,402,9
5,403,15
5,404,9
5,405,16
5,406,8
5,407,15
5,408,9
5,409,14
5,410,9
5,411,16
5,412,7
5,413,15
5,414,11
5,415,13
5,416,11
5,417,14
5,418,9
5,419,15
5,420,10
5,421,15
5,422,9
5,423,15
5,424,8
5,425,16
5,426,9
5,427,15
5,428,8
5,429,15
5,430,9
5,431,14
5,432,10
5,433,16
5,434,9
5,435,15
5,436,8
5,437,16
5,438,8
5,439,16
5,440,8
5,441,16
5,442,8
5,443,16
5,444,9
5,445,15
