Y,T,Weights
15,1,12
15,2,10
15,3,11
15,4,12
15,5,11
15,6,13
15,7,37
15,8,20
15,9,11
15,10,14
15,11,16
15,12,8
15,13,15
15,14,9
15,15,16
15,16,15
15,17,9
15,18,32
15,19,16
15,20,8
15,21,15
15,22,9
15,23,11
15,24,53
15,25,8
15,26,16
15,27,18
15,28,29
15,29,8
15,30,17
15,31,8
15,32,15
15,33,9
15,34,15
15,35,9
15,36,16
15,37,8
15,38,14
15,39,12
15,40,14
15,41,10
15,42,36
15,43,10
15,44,15
15,45,9
15,46,14
15,47,10
15,48,15
15,49,9
15,50,14
15,51,12
15,52,29
15,53,17
15,54,15
15,55,9
15,56,16
15,57,8
15,58,16
15,59,8
15,60,16
15,61,8
15,62,16
15,63,10
15,64,7
15,65,7
15,66,9
15,67,13
15,68,10
15,69,15
15,70,9
15,71,88
15,72,58
15,73,6
15,74,17
15,75,8
15,76,17
15,77,7
15,78,16
15,79,8
15,80,7
15,81,9
15,82,7
15,83,7
15,84,11
15,85,12
15,86,11
15,87,7
15,88,16
15,89,16
15,90,8
15,91,16
15,92,8
15,93,15
15,94,10
15,95,8
15,96,15
15,97,15
15,98,10
15,99,8
15,100,16
15,101,8
15,102,15
15,103,9
15,104,31
15,105,8
15,106,39
15,107,9
15,108,16
15,109,9
15,110,7
15,111,17
15,112,9
15,113,14
15,114,10
15,115,14
15,116,9
15,117,17
15,118,29
15,119,8
15,120,9
15,121,9
15,122,17
15,123,14
15,124,10
15,125,12
15,126,12
15,127,13
15,128,9
15,129,9
15,130,17
15,131,6
15,132,16
15,133,11
15,134,13
15,135,15
15,136,11
15,137,13
15,138,11
15,139,8
15,140,16
15,141,6
15,142,18
15,143,6
15,144,17
15,145,9
15,146,16
15,147,7
15,148,34
15,149,7
15,150,7
15,151,17
15,152,7
15,153,17
15,154,6
15,155,17
15,156,8
15,157,16
15,158,7
15,159,12
15,160,15
15,161,15
15,162,7
15,163,15
15,164,9
15,165,16
15,166,12
15,167,12
15,168,8
15,169,16
15,170,7
15,171,17
15,172,8
15,173,17
15,174,8
15,175,15
15,176,8
15,177,16
15,178,7
15,179,18
15,180,7
15,181,17
15,182,6
15,183,18
15,184,7
15,185,16
15,186,8
15,187,16
15,188,8
15,189,17
15,190,4
15,191,9
15,192,35
15,193,7
15,194,17
15,195,10
15,196,28
15,197,9
15,198,8
15,199,16
15,200,8
15,201,16
15,202,8
15,203,16
15,204,8
15,205,16
15,206,7
15,207,17
15,208,9
15,209,14
15,210,9
15,211,16
15,212,9
15,213,15
15,214,13
15,215,11
15,216,8
15,217,17
15,218,6
15,219,17
15,220,8
15,221,6
15,222,8
15,223,9
15,224,17
15,225,8
15,226,17
15,227,8
15,228,15
15,229,6
15,230,18
15,231,8
15,232,41
15,233,9
15,234,13
15,235,9
15,236,16
15,237,9
15,238,13
15,239,11
15,240,15
15,241,8
15,242,16
15,243,8
15,244,15
15,245,9
15,246,15
15,247,9
15,248,16
15,249,9
15,250,14
15,251,10
15,252,14
15,253,9
15,254,15
15,255,9
15,256,16
15,257,9
15,258,15
15,259,7
15,260,17
15,261,8
15,262,15
15,263,9
15,264,16
15,265,8
15,266,16
15,267,10
15,268,14
15,269,11
15,270,12
15,271,10
15,272,14
15,273,10
15,274,15
15,275,8
15,276,17
15,277,8
15,278,13
15,279,12
15,280,15
15,281,9
15,282,14
15,283,11
15,284,11
15,285,13
15,286,12
15,287,9
15,288,14
15,289,12
15,290,12
15,291,11
15,292,14
15,293,11
15,294,13
15,295,12
15,296,11
15,297,12
15,298,13
15,299,10
15,300,13
15,301,12
15,302,13
15,303,9
15,304,16
15,305,8
15,306,14
15,307,14
15,308,12
15,309,6
15,310,18
15,311,8
15,312,14
15,313,13
15,314,12
15,315,9
15,316,15
15,317,10
15,318,15
15,319,7
15,320,5
15,321,11
15,322,10
15,323,15
15,324,10
15,325,11
15,326,4
15,327,6
15,328,5
15,329,11
15,330,11
15,331,13
15,332,11
15,333,12
15,334,11
15,335,13
15,336,13
15,337,11
15,338,13
15,339,11
15,340,12
15,341,14
15,342,9
15,343,15
15,344,10
15,345,13
15,346,9
15,347,15
15,348,10
15,349,14
15,350,11
15,351,12
15,352,10
15,353,16
15,354,8
15,355,14
15,356,12
15,357,12
15,358,12
15,359,14
15,360,8
15,361,16
15,362,8
15,363,15
15,364,11
15,365,14
15,366,9
15,367,14
15,368,10
15,369,15
15,370,9
15,371,13
15,372,12
15,373,13
15,374,11
15,375,13
15,376,11
15,377,12
15,378,11
15,379,13
15,380,10
15,381,16
15,382,8
15,383,16
15,384,9
15,385,14
15,386,9
15,387,16
15,388,8
15,389,15
15,390,9
15,391,16
15,392,11
15,393,11
15,394,13
15,395,11
15,396,11
15,397,14
15,398,10
15,399,17
15,400,6
15,401,16
15,402,8
15,403,16
15,404,9
15,405,13
15,406,10
15,407,16
15,408,9
15,409,13
15,410,10
15,411,16
15,412,8
15,413,15
15,414,12
15,415,13
15,416,8
15,417,16
15,418,25
15,419,9
15,420,13
15,421,10
15,422,15
15,423,8
15,424,16
15,425,9
15,426,15
15,427,8
15,428,16
15,429,7
15,430,17
15,431,7
15,432,16
15,433,9
15,434,10
15,435,6
15,436,7
15,437,16
15,438,10
