Storage,Scenario,dualcvarstorage
H2,11,1.1298718621760766e-10
H2,12,8.386237780409372e-11
H2,13,0.03333333289496704
H2,19,2.0692277871572569e-10
H2,1,0.03333333269237179
H2,22,0.033333332551631616
H2,23,1.8552496406769775e-10
H2,24,0.0333333322744851
H2,26,3.3479058382584277e-10
H2,27,0.03333322501125443
H2,29,0.0333333304280659
H2,30,0.01666678050576168
H2,4,0.03333333251301877
H2,7,7.859963240240782e-11
H2,8,1.231292301152534e-10
BESS,11,4.881147001917652e-11
BESS,12,5.134818013253119e-11
BESS,13,0.033333333118054385
BESS,19,0.030039540617133684
BESS,1,0.0333333328724438
BESS,22,0.03333333326927112
BESS,23,9.910001121804885e-11
BESS,24,0.03333333322615716
BESS,26,1.172927152052027e-10
BESS,27,0.019960458011973638
BESS,29,0.03333333312164813
BESS,30,2.1229455319353856e-9
BESS,4,0.033333333227551644
BESS,7,2.394440024999124e-11
BESS,8,5.783213796978408e-11
