Time,Scenario,dfix,dflex,dfix_RA,dflex_RA,diff_dfix,diff_dflex
1,1,55.94612409,6.201170148,55.94612409,6.200873837,0,0.000296311
1,2,45.2434149,5.018621634,45.2434149,5.018349162,0,0.000272471
1,3,56.6447409,6.283413164,56.6447409,6.282580893,0,0.000832271
2,1,58.06376487,6.435893102,58.06376487,6.435590438,0,0.000302663
2,2,53.28963081,5.911255298,53.28963081,5.910846444,0,0.000408854
2,3,76.56754347,8.495145985,76.56754347,8.494580052,0,0.000565933
3,1,51.53566689,5.712293248,51.53566689,5.712033672,0,0.000259576
3,2,58.86020007,6.530940109,58.86020007,6.530435263,0,0.000504846
3,3,52.6527414,5.840608122,52.6527414,5.839781567,0,0.000826555
4,1,75.2747139,8.343329746,75.2747139,8.343211153,0,0.000118593
4,2,74.6701011,8.284686311,74.6701011,8.284544168,0,0.000142143
4,3,69.10589466,7.665436585,69.10589466,7.664797691,0,0.000638893
5,1,52.22990187,5.789248877,52.22990187,5.788981421,0,0.000267456
5,2,54.98032851,6.09879968,54.98032851,6.098382531,0,0.000417149
5,3,64.69297074,7.177997389,64.69297074,7.177077708,0,0.000919681
6,1,77.56545276,8.600404014,77.56545276,8.600335368,0,6.86458E-05
6,2,76.78594233,8.519373015,76.78594233,8.519295517,0,7.74975E-05
6,3,50.91933519,5.648317241,50.91933519,5.647505748,0,0.000811493
7,1,55.8801423,6.19386347,55.8801423,6.193567302,0,0.000296168
7,2,55.94149719,6.205415251,55.94149719,6.204996501,0,0.000418749
7,3,66.53963133,7.380842958,66.53963133,7.380142784,0,0.000700173
8,1,77.4509472,8.584502321,77.4509472,8.584423592,0,7.87292E-05
8,2,69.12365913,7.669476832,69.12365913,7.669168288,0,0.000308544
8,3,54.7685424,6.075307575,54.7685424,6.074472886,0,0.000834689
9,1,53.61515532,5.942801289,53.61515532,5.942520375,0,0.000280915
9,2,77.47252164,8.593260891,77.47252164,8.593229089,0,3.18019E-05
9,3,80.49010167,8.930244014,80.49010167,8.929792175,0,0.00045184
10,1,77.26179717,8.566737245,77.26179717,8.566661967,0,7.52775E-05
10,2,55.39832568,6.145165392,55.39832568,6.144747279,0,0.000418113
10,3,55.69080561,6.177608017,55.69080561,6.176773167,0,0.00083485
11,1,55.9209924,6.198391414,55.9209924,6.198095048,0,0.000296365
11,2,61.84678986,6.862267667,61.84678986,6.861798781,0,0.000468886
11,3,79.17030216,8.781513929,79.17030216,8.781150034,0,0.000363895
12,1,76.21260282,8.452546305,76.21260282,8.452434721,0,0.000111584
12,2,52.17035148,5.78708836,52.17035148,5.786689124,0,0.000399236
12,3,61.44330582,6.815645147,61.44330582,6.814852854,0,0.000792293
13,1,79.13174346,8.773403613,79.13174346,8.773366741,0,3.68723E-05
13,2,63.25649559,7.016738562,63.25649559,7.016374657,0,0.000363905
13,3,79.01579484,8.764395708,79.01579484,8.764027311,0,0.000368397
14,1,56.29839408,6.242158112,56.29839408,6.241802149,0,0.000355964
14,2,74.27346021,8.240691519,74.27346021,8.240537074,0,0.000154445
14,3,53.48846322,5.93331357,53.48846322,5.932482491,0,0.000831079
15,1,64.07796294,7.107015989,64.07796294,7.106628794,0,0.000387195
15,2,53.45671392,5.92979137,53.45671392,5.92938129,0,0.00041008
15,3,76.41414675,8.478131355,76.41414675,8.477560559,0,0.000570795
16,1,62.73689778,6.958311439,62.73689778,6.957904707,0,0.000406732
16,2,73.75942557,8.183675605,73.75942557,8.183505206,0,0.000170399
16,3,52.44123348,5.817145572,52.44123348,5.816320436,0,0.000825136
17,1,52.28875377,5.797575092,52.28875377,5.797244789,0,0.000330302
17,2,64.13758578,7.11639175,64.13758578,7.115963208,0,0.000428541
17,3,78.32340144,8.689906651,78.32340144,8.689394576,0,0.000512075
18,1,79.52149242,8.819466881,79.52149242,8.819435689,0,3.11921E-05
18,2,73.34965863,8.138224823,73.34965863,8.138041727,0,0.000183097
