Y,T,Weights
7,1,4
7,2,6
7,3,2
7,4,4
7,5,5
7,6,2
7,7,3
7,8,5
7,9,2
7,10,7
7,11,4
7,12,2
7,13,4
7,14,5
7,15,2
7,16,7
7,17,3
7,18,2
7,19,2
7,20,3
7,21,5
7,22,1
7,23,2
7,24,7
7,25,2
7,26,2
7,27,1
7,28,2
7,29,9
7,30,8
7,31,3
7,32,2
7,33,4
7,34,5
7,35,2
7,36,1
7,37,2
7,38,4
7,39,3
7,40,2
7,41,2
7,42,8
7,43,1
7,44,2
7,45,1
7,46,3
7,47,2
7,48,3
7,49,2
7,50,2
7,51,8
7,52,1
7,53,2
7,54,1
7,55,2
7,56,3
7,57,4
7,58,2
7,59,1
7,60,3
7,61,2
7,62,2
7,63,1
7,64,3
7,65,4
7,66,3
7,67,2
7,68,2
7,69,2
7,70,3
7,71,5
7,72,3
7,73,6
7,74,4
7,75,2
7,76,1
7,77,4
7,78,3
7,79,1
7,80,2
7,81,2
7,82,6
7,83,3
7,84,2
7,85,1
7,86,5
7,87,4
7,88,2
7,89,4
7,90,3
7,91,2
7,92,2
7,93,2
7,94,2
7,95,2
7,96,6
7,97,1
7,98,4
7,99,3
7,100,2
7,101,2
7,102,2
7,103,8
7,104,1
7,105,3
7,106,4
7,107,5
7,108,2
7,109,1
7,110,3
7,111,5
7,112,3
7,113,4
7,114,3
7,115,3
7,116,2
7,117,1
7,118,8
7,119,3
7,120,5
7,121,2
7,122,3
7,123,2
7,124,1
7,125,8
7,126,3
7,127,6
7,128,4
7,129,2
7,130,1
7,131,8
7,132,3
7,133,4
7,134,3
7,135,3
7,136,2
7,137,1
7,138,3
7,139,7
7,140,1
7,141,5
7,142,2
7,143,3
7,144,2
7,145,4
7,146,7
7,147,1
7,148,4
7,149,3
7,150,2
7,151,2
7,152,2
7,153,8
7,154,2
7,155,1
7,156,5
7,157,5
7,158,2
7,159,1
7,160,3
7,161,5
7,162,2
7,163,2
7,164,4
7,165,2
7,166,3
7,167,2
7,168,1
7,169,8
7,170,3
7,171,5
7,172,5
7,173,2
7,174,1
7,175,8
7,176,3
7,177,4
7,178,3
7,179,3
7,180,2
7,181,1
7,182,8
7,183,2
7,184,1
7,185,4
7,186,1
7,187,2
7,188,2
7,189,2
7,190,2
7,191,10
7,192,1
7,193,4
7,194,1
7,195,2
7,196,2
7,197,2
7,198,3
7,199,4
7,200,5
7,201,1
7,202,5
7,203,2
7,204,4
7,205,2
7,206,8
7,207,2
7,208,1
7,209,1
7,210,3
7,211,1
7,212,1
7,213,3
7,214,2
7,215,2
7,216,3
7,217,5
7,218,2
7,219,1
7,220,4
7,221,1
7,222,2
7,223,2
7,224,2
7,225,2
7,226,8
7,227,2
7,228,1
7,229,4
7,230,1
7,231,2
7,232,4
7,233,2
7,234,8
7,235,2
7,236,1
7,237,1
7,238,3
7,239,1
7,240,1
7,241,1
7,242,3
7,243,2
7,244,1
7,245,8
7,246,2
7,247,1
7,248,4
7,249,1
7,250,1
7,251,4
7,252,2
7,253,4
7,254,6
7,255,1
7,256,1
7,257,4
7,258,1
7,259,2
7,260,4
7,261,2
7,262,5
7,263,5
7,264,1
7,265,1
7,266,3
7,267,1
7,268,1
7,269,4
7,270,2
7,271,1
7,272,8
7,273,2
7,274,1
7,275,1
7,276,3
7,277,1
7,278,1
7,279,1
7,280,2
7,281,2
7,282,2
7,283,3
7,284,4
7,285,1
7,286,2
7,287,5
7,288,3
7,289,3
7,290,2
7,291,1
7,292,3
7,293,4
7,294,1
7,295,3
7,296,3
7,297,2
7,298,2
7,299,3
7,300,2
7,301,1
7,302,5
7,303,3
7,304,2
7,305,6
7,306,2
7,307,3
7,308,2
7,309,1
7,310,3
7,311,5
7,312,2
7,313,1
7,314,5
7,315,2
7,316,3
7,317,2
7,318,1
7,319,2
7,320,2
7,321,2
7,322,1
7,323,2
7,324,1
7,325,8
7,326,3
7,327,2
7,328,4
7,329,4
7,330,3
7,331,1
7,332,5
7,333,2
7,334,4
7,335,2
7,336,8
7,337,1
7,338,2
7,339,4
7,340,2
7,341,4
7,342,2
7,343,1
7,344,4
7,345,3
7,346,1
7,347,1
7,348,2
7,349,5
7,350,1
7,351,4
7,352,2
7,353,1
7,354,8
7,355,2
7,356,1
7,357,4
7,358,1
7,359,1
7,360,4
7,361,2
7,362,1
7,363,8
7,364,1
7,365,1
7,366,1
7,367,4
7,368,1
7,369,1
7,370,1
7,371,4
7,372,2
7,373,3
7,374,5
7,375,2
7,376,3
7,377,3
7,378,2
7,379,3
7,380,2
7,381,5
7,382,3
7,383,2
7,384,1
7,385,1
7,386,2
7,387,3
7,388,1
7,389,1
7,390,3
7,391,2
7,392,3
7,393,2
7,394,2
7,395,2
7,396,1
7,397,1
7,398,1
7,399,2
7,400,2
7,401,1
7,402,2
7,403,1
7,404,2
7,405,2
7,406,6
7,407,2
7,408,1
7,409,2
7,410,2
7,411,3
7,412,2
7,413,2
7,414,2
7,415,2
7,416,4
7,417,5
7,418,1
7,419,1
7,420,1
7,421,3
7,422,2
7,423,1
7,424,2
7,425,2
7,426,2
7,427,1
7,428,5
7,429,3
7,430,1
7,431,1
7,432,1
7,433,4
7,434,1
7,435,1
7,436,1
7,437,3
7,438,2
7,439,1
7,440,8
7,441,1
7,442,1
7,443,1
7,444,4
7,445,1
7,446,2
7,447,3
7,448,2
7,449,1
7,450,8
7,451,1
7,452,2
7,453,5
7,454,2
7,455,3
7,456,2
7,457,1
7,458,3
7,459,2
7,460,2
7,461,3
7,462,1
7,463,3
7,464,2
7,465,2
7,466,4
7,467,2
7,468,3
7,469,2
7,470,2
7,471,3
7,472,1
7,473,5
7,474,3
7,475,2
7,476,2
7,477,9
7,478,1
7,479,2
7,480,5
7,481,1
7,482,4
7,483,2
7,484,1
7,485,8
7,486,1
7,487,1
7,488,1
7,489,4
7,490,1
7,491,1
7,492,4
7,493,2
7,494,1
7,495,5
7,496,3
7,497,1
7,498,1
7,499,1
7,500,1
7,501,3
7,502,1
7,503,1
7,504,1
7,505,4
7,506,2
7,507,8
7,508,1
7,509,1
7,510,1
7,511,1
7,512,3
7,513,1
7,514,1
7,515,1
7,516,3
7,517,2
7,518,1
7,519,8
7,520,1
7,521,1
7,522,1
7,523,4
7,524,1
7,525,1
7,526,1
7,527,3
7,528,2
7,529,1
7,530,9
7,531,1
7,532,1
7,533,4
7,534,2
7,535,2
7,536,2
7,537,2
7,538,6
7,539,5
7,540,1
7,541,4
7,542,2
7,543,2
7,544,2
7,545,2
7,546,9
7,547,2
7,548,2
7,549,4
7,550,1
7,551,2
7,552,3
7,553,2
7,554,8
7,555,2
7,556,1
7,557,4
7,558,1
7,559,1
7,560,1
7,561,4
7,562,2
7,563,8
7,564,1
7,565,1
7,566,1
7,567,4
7,568,1
7,569,1
7,570,1
7,571,3
7,572,2
7,573,1
7,574,8
7,575,1
7,576,1
7,577,1
7,578,1
7,579,3
7,580,1
7,581,1
7,582,1
7,583,4
7,584,2
7,585,8
7,586,1
7,587,1
7,588,1
7,589,4
7,590,1
7,591,1
7,592,1
7,593,3
7,594,2
7,595,4
7,596,5
7,597,1
7,598,1
7,599,1
7,600,4
7,601,1
7,602,1
7,603,1
7,604,3
7,605,2
7,606,4
7,607,6
7,608,1
7,609,1
7,610,4
7,611,1
7,612,1
7,613,1
7,614,4
7,615,2
7,616,8
7,617,1
7,618,1
7,619,1
7,620,4
7,621,1
7,622,1
7,623,1
7,624,4
7,625,1
7,626,1
7,627,8
7,628,2
7,629,5
7,630,2
7,631,2
7,632,3
7,633,1
7,634,1
7,635,8
7,636,1
7,637,2
7,638,5
7,639,2
7,640,4
7,641,2
7,642,8
7,643,1
7,644,1
7,645,1
7,646,4
7,647,2
7,648,1
7,649,4
7,650,2
7,651,3
7,652,5
7,653,1
7,654,1
7,655,1
7,656,4
7,657,1
7,658,1
7,659,1
7,660,4
7,661,2
7,662,3
7,663,6
7,664,1
7,665,1
7,666,4
7,667,1
7,668,2
7,669,4
7,670,2
7,671,5
7,672,4
7,673,2
7,674,4
7,675,2
7,676,5
7,677,2
7,678,8
7,679,1
7,680,1
7,681,1
7,682,5
7,683,1
7,684,1
7,685,4
7,686,2
7,687,8
7,688,1
7,689,1
7,690,1
7,691,4
7,692,1
7,693,2
7,694,4
7,695,2
7,696,8
7,697,2
7,698,2
7,699,4
7,700,1
7,701,1
7,702,4
7,703,2
7,704,8
7,705,1
7,706,2
7,707,4
7,708,1
7,709,2
7,710,4
7,711,2
7,712,8
7,713,2
7,714,1
7,715,5
7,716,2
7,717,3
7,718,2
7,719,1
7,720,8
7,721,1
7,722,1
7,723,1
7,724,4
7,725,1
7,726,2
7,727,4
7,728,2
7,729,3
7,730,6
7,731,1
7,732,1
7,733,4
7,734,2
7,735,1
7,736,4
7,737,2
7,738,8
7,739,1
7,740,1
7,741,1
7,742,4
7,743,2
7,744,1
7,745,4
7,746,2
7,747,8
7,748,1
7,749,1
7,750,1
7,751,1
7,752,3
7,753,1
7,754,1
7,755,1
7,756,4
7,757,2
7,758,3
7,759,5
7,760,1
7,761,1
7,762,2
7,763,4
7,764,1
7,765,1
7,766,4
7,767,2
7,768,8
7,769,1
7,770,1
7,771,1
7,772,4
7,773,1
7,774,1
7,775,1
7,776,1
7,777,3
7,778,2
7,779,5
7,780,3
7,781,1
7,782,1
7,783,1
7,784,4
7,785,1
7,786,1
7,787,1
7,788,4
7,789,2
7,790,8
7,791,1
